District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-10-17,001902,541,NA,NA,NA,1,NA,NA,NA
ELKHART ISD,2021-10-17,001903,1167,NA,NA,10,0,0,0,10
FRANKSTON ISD,2021-10-17,001904,756,NA,NA,NA,NA,NA,NA,NA
NECHES ISD,2021-10-17,001906,338,NA,NA,5,0,0,4,1
PALESTINE ISD,2021-10-17,001907,3347,NA,NA,NA,1,NA,NA,NA
WESTWOOD ISD,2021-10-17,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-10-17,001909,360,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-10-17,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-10-17,003801,920,NA,NA,NA,0,NA,NA,NA
HUDSON ISD,2021-10-17,003902,2762,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2021-10-17,003903,7297,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-10-17,003904,1569,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-10-17,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-10-17,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-10-17,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-10-17,004901,2989,NA,NA,NA,1,NA,NA,NA
ARCHER CITY ISD,2021-10-17,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-10-17,005902,1064,NA,NA,NA,1,NA,NA,NA
WINDTHORST ISD,2021-10-17,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-10-17,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-10-17,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-10-17,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-10-17,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-10-17,007905,3304,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-10-17,007906,1518,NA,NA,6,1,4,3,0
BELLVILLE ISD,2021-10-17,008901,2206,NA,NA,NA,1,NA,NA,NA
SEALY ISD,2021-10-17,008902,2788,NA,NA,5,0,0,1,4
BRAZOS ISD,2021-10-17,008903,761,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2021-10-17,009901,1309,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2021-10-17,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-10-17,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-10-17,011901,11423,NA,NA,NA,0,NA,NA,NA
ELGIN ISD,2021-10-17,011902,4670,NA,NA,NA,0,NA,NA,NA
SMITHVILLE ISD,2021-10-17,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-10-17,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-10-17,012901,625,NA,NA,NA,0,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-10-17,013801,376,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-10-17,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-10-17,013902,296,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-10-17,013903,361,NA,NA,NA,NA,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-10-17,013905,792,NA,NA,NA,0,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-10-17,014801,1943,NA,NA,NA,0,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-10-17,014803,846,NA,NA,NA,NA,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-10-17,014804,1867,NA,NA,NA,0,NA,NA,NA
ACADEMY ISD,2021-10-17,014901,1730,NA,NA,NA,0,NA,NA,NA
BARTLETT ISD,2021-10-17,014902,386,NA,NA,NA,0,NA,NA,NA
BELTON ISD,2021-10-17,014903,12757,NA,NA,39,7,14,15,17
HOLLAND ISD,2021-10-17,014905,656,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2021-10-17,014906,43634,NA,NA,93,14,0,0,107
ROGERS ISD,2021-10-17,014907,890,NA,NA,NA,NA,NA,NA,NA
SALADO ISD,2021-10-17,014908,2141,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2021-10-17,014909,8363,NA,NA,11,5,0,0,16
TROY ISD,2021-10-17,014910,1576,NA,NA,NA,NA,NA,NA,NA
POR VIDA ACADEMY,2021-10-17,015801,134,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2021-10-17,015802,811,NA,NA,NA,NA,NA,NA,NA
NEW FRONTIERS PUBLIC SCHOOLS INC,2021-10-17,015805,474,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF EXCELLENCE IN EDUCATION,2021-10-17,015806,346,NA,NA,NA,NA,NA,NA,NA
SOUTHWEST PREPARATORY SCHOOL,2021-10-17,015807,860,NA,NA,NA,NA,NA,NA,NA
INSPIRE ACADEMIES,2021-10-17,015808,575,NA,NA,NA,NA,NA,NA,NA
BEXAR COUNTY ACADEMY,2021-10-17,015809,258,NA,NA,NA,NA,NA,NA,NA
POSITIVE SOLUTIONS CHARTER SCHOOL,2021-10-17,015814,121,NA,NA,NA,NA,NA,NA,NA
HERITAGE ACADEMY,2021-10-17,015815,611,NA,NA,NA,NA,NA,NA,NA
JUBILEE ACADEMIES,2021-10-17,015822,6124,NA,NA,6,1,7,0,0
LIGHTHOUSE PUBLIC SCHOOLS,2021-10-17,015825,287,NA,NA,NA,NA,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY,2021-10-17,015827,3243,NA,NA,NA,0,NA,NA,NA
HARMONY SCIENCE ACAD (SAN ANTONIO),2021-10-17,015828,4473,NA,NA,NA,0,NA,NA,NA
BROOKS ACADEMIES OF TEXAS,2021-10-17,015830,2844,NA,NA,NA,0,NA,NA,NA
SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,2021-10-17,015831,4792,NA,NA,13,0,0,0,13
HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,2021-10-17,015833,97,NA,NA,NA,NA,NA,NA,NA
BASIS TEXAS,2021-10-17,015834,2988,NA,NA,NA,1,NA,NA,NA
GREAT HEARTS TEXAS,2021-10-17,015835,6529,NA,NA,10,1,0,0,11
ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,2021-10-17,015836,467,NA,NA,NA,NA,NA,NA,NA
COMPASS ROSE ACADEMY,2021-10-17,015838,1124,NA,NA,NA,NA,NA,NA,NA
PROMESA ACADEMY CHARTER SCHOOL,2021-10-17,015839,191,NA,NA,NA,NA,NA,NA,NA
SAN ANTONIO PREPARATORY CHARTER SCHOOL,2021-10-17,015840,200,NA,NA,NA,NA,NA,NA,NA
THE GATHERING PLACE,2021-10-17,015841,365,NA,NA,NA,NA,NA,NA,NA
ROYAL PUBLIC SCHOOLS,2021-10-17,015842,0,NA,NA,NA,NA,NA,NA,NA
PRELUDE PREPARATORY CHARTER SCHOOL,2021-10-17,015843,0,NA,NA,NA,NA,NA,NA,NA
ALAMO HEIGHTS ISD,2021-10-17,015901,4824,NA,NA,5,1,0,6,0
HARLANDALE ISD,2021-10-17,015904,12032,NA,NA,25,4,1,10,18
EDGEWOOD ISD,2021-10-17,015905,8814,NA,NA,17,2,0,0,19
