District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-05-08,001902,573,,,,,,,
ELKHART ISD,2022-05-08,001903,1185,,,,,,,
FRANKSTON ISD,2022-05-08,001904,822,,,,,,,
NECHES ISD,2022-05-08,001906,345,,,,,,,
PALESTINE ISD,2022-05-08,001907,3392,,,,,,,
WESTWOOD ISD,2022-05-08,001908,1339,,,,,,,
SLOCUM ISD,2022-05-08,001909,369,,,,,,,
ANDREWS ISD,2022-05-08,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-05-08,003801,999,,,,,,,
HUDSON ISD,2022-05-08,003902,2834,,,,,,,
LUFKIN ISD,2022-05-08,003903,7523,,,,0,,,
HUNTINGTON ISD,2022-05-08,003904,1643,,,,,,,
DIBOLL ISD,2022-05-08,003905,1762,,,,,,,
ZAVALLA ISD,2022-05-08,003906,308,,,,,,,
CENTRAL ISD,2022-05-08,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-05-08,004901,3026,,,,,,,
ARCHER CITY ISD,2022-05-08,005901,513,,,,,,,
HOLLIDAY ISD,2022-05-08,005902,1133,,,,0,,,
WINDTHORST ISD,2022-05-08,005904,531,,,,,,,
CLAUDE ISD,2022-05-08,006902,314,,,,,,,
CHARLOTTE ISD,2022-05-08,007901,401,,,,,,,
JOURDANTON ISD,2022-05-08,007902,1588,,,,,,,
LYTLE ISD,2022-05-08,007904,1762,,,,,,,
PLEASANTON ISD,2022-05-08,007905,3459,,,,,,,
POTEET ISD,2022-05-08,007906,1690,,,,,,,
BELLVILLE ISD,2022-05-08,008901,2217,,,,,,,
SEALY ISD,2022-05-08,008902,2830,,,,,,,
BRAZOS ISD,2022-05-08,008903,770,,,,,,,
MULESHOE ISD,2022-05-08,009901,1372,,,,,,,
MEDINA ISD,2022-05-08,010901,265,,,,,,,
BANDERA ISD,2022-05-08,010902,2321,,,,,,,
BASTROP ISD,2022-05-08,011901,12101,,,,,,,
ELGIN ISD,2022-05-08,011902,4825,,,,,,,
SMITHVILLE ISD,2022-05-08,011904,1824,,,,,,,
MCDADE ISD,2022-05-08,011905,322,,,,,,,
SEYMOUR ISD,2022-05-08,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-05-08,013801,410,,,,0,,,
BEEVILLE ISD,2022-05-08,013901,3021,,,,1,,,
PAWNEE ISD,2022-05-08,013902,499,,,,,,,
PETTUS ISD,2022-05-08,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-05-08,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-05-08,014801,1722,,,,,,,
PRIORITY CHARTER SCHOOLS,2022-05-08,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-05-08,014804,1921,,,,0,,,
ACADEMY ISD,2022-05-08,014901,1771,,,,,,,
BARTLETT ISD,2022-05-08,014902,390,,,,,,,
BELTON ISD,2022-05-08,014903,13431,,,,0,,,
HOLLAND ISD,2022-05-08,014905,646,,,,,,,
