District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-08-22,001902,541,NA,NA,NA,2,NA,NA,NA
ELKHART ISD,2021-08-22,001903,1167,NA,NA,NA,0,NA,NA,NA
FRANKSTON ISD,2021-08-22,001904,756,NA,NA,7,8,0,0,15
NECHES ISD,2021-08-22,001906,338,NA,NA,0,1,1,0,0
PALESTINE ISD,2021-08-22,001907,3347,NA,NA,NA,2,NA,NA,NA
WESTWOOD ISD,2021-08-22,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-08-22,001909,360,NA,NA,NA,0,NA,NA,NA
ANDREWS ISD,2021-08-22,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-08-22,003801,920,NA,NA,7,0,0,6,1
HUDSON ISD,2021-08-22,003902,2762,NA,NA,8,2,0,0,10
LUFKIN ISD,2021-08-22,003903,7297,NA,NA,43,15,0,0,58
HUNTINGTON ISD,2021-08-22,003904,1569,NA,NA,NA,1,NA,NA,NA
DIBOLL ISD,2021-08-22,003905,1698,NA,NA,NA,9,NA,NA,NA
ZAVALLA ISD,2021-08-22,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-08-22,003907,1442,NA,NA,NA,0,NA,NA,NA
ARANSAS COUNTY ISD,2021-08-22,004901,2989,NA,NA,25,6,2,2,27
ARCHER CITY ISD,2021-08-22,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-08-22,005902,1064,NA,NA,NA,1,NA,NA,NA
WINDTHORST ISD,2021-08-22,005904,438,NA,NA,0,1,0,0,1
CLAUDE ISD,2021-08-22,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-08-22,007901,419,NA,NA,NA,3,NA,NA,NA
JOURDANTON ISD,2021-08-22,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-08-22,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-08-22,007905,3304,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-08-22,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-08-22,008901,2206,NA,NA,6,2,0,0,8
SEALY ISD,2021-08-22,008902,2788,NA,NA,NA,NA,NA,NA,NA
BRAZOS ISD,2021-08-22,008903,761,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2021-08-22,009901,1309,NA,NA,0,1,0,1,0
MEDINA ISD,2021-08-22,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-08-22,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-08-22,011901,11423,NA,NA,30,12,20,2,20
ELGIN ISD,2021-08-22,011902,4670,NA,NA,6,3,0,0,9
SMITHVILLE ISD,2021-08-22,011904,1687,NA,NA,13,7,0,0,20
MCDADE ISD,2021-08-22,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-08-22,012901,625,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-08-22,013801,376,NA,NA,NA,0,NA,NA,NA
BEEVILLE ISD,2021-08-22,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-08-22,013902,296,NA,NA,NA,0,NA,NA,NA
PETTUS ISD,2021-08-22,013903,361,NA,NA,NA,NA,NA,NA,NA
