District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-09-05,001902,541,NA,NA,NA,NA,NA,NA,NA
ELKHART ISD,2021-09-05,001903,1167,NA,NA,11,1,0,0,12
FRANKSTON ISD,2021-09-05,001904,756,NA,NA,7,4,0,0,11
NECHES ISD,2021-09-05,001906,338,NA,NA,NA,NA,NA,NA,NA
PALESTINE ISD,2021-09-05,001907,3347,NA,NA,62,9,0,19,52
WESTWOOD ISD,2021-09-05,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-09-05,001909,360,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-09-05,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-09-05,003801,920,NA,NA,NA,NA,NA,NA,NA
HUDSON ISD,2021-09-05,003902,2762,NA,NA,NA,NA,NA,NA,NA
LUFKIN ISD,2021-09-05,003903,7297,NA,NA,NA,NA,NA,NA,NA
HUNTINGTON ISD,2021-09-05,003904,1569,NA,NA,NA,NA,NA,NA,NA
DIBOLL ISD,2021-09-05,003905,1698,NA,NA,NA,NA,NA,NA,NA
ZAVALLA ISD,2021-09-05,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-09-05,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-09-05,004901,2989,NA,NA,NA,NA,NA,NA,NA
ARCHER CITY ISD,2021-09-05,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-09-05,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-09-05,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-09-05,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-09-05,007901,419,NA,NA,NA,NA,NA,NA,NA
JOURDANTON ISD,2021-09-05,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-09-05,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-09-05,007905,3304,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-09-05,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-09-05,008901,2206,NA,NA,NA,NA,NA,NA,NA
SEALY ISD,2021-09-05,008902,2788,NA,NA,42,9,5,1,45
BRAZOS ISD,2021-09-05,008903,761,NA,NA,NA,NA,NA,NA,NA
MULESHOE ISD,2021-09-05,009901,1309,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2021-09-05,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-09-05,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-09-05,011901,11423,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2021-09-05,011902,4670,NA,NA,NA,7,NA,NA,NA
SMITHVILLE ISD,2021-09-05,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-09-05,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-09-05,012901,625,NA,NA,NA,NA,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-09-05,013801,376,NA,NA,NA,NA,NA,NA,NA
BEEVILLE ISD,2021-09-05,013901,3072,NA,NA,NA,NA,NA,NA,NA
PAWNEE ISD,2021-09-05,013902,296,NA,NA,NA,NA,NA,NA,NA
PETTUS ISD,2021-09-05,013903,361,NA,NA,NA,NA,NA,NA,NA
SKIDMORE-TYNAN ISD,2021-09-05,013905,792,NA,NA,NA,NA,NA,NA,NA
