District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-08-29,001902,541,NA,NA,6,1,2,2,3
ELKHART ISD,2021-08-29,001903,1167,NA,NA,7,2,0,1,8
FRANKSTON ISD,2021-08-29,001904,756,NA,NA,NA,6,NA,NA,NA
NECHES ISD,2021-08-29,001906,338,NA,NA,NA,1,NA,NA,NA
PALESTINE ISD,2021-08-29,001907,3347,NA,NA,40,12,0,5,47
WESTWOOD ISD,2021-08-29,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-08-29,001909,360,NA,NA,NA,NA,NA,NA,NA
ANDREWS ISD,2021-08-29,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-08-29,003801,920,NA,NA,15,1,0,0,16
HUDSON ISD,2021-08-29,003902,2762,NA,NA,72,12,0,0,84
LUFKIN ISD,2021-08-29,003903,7297,NA,NA,107,16,0,0,123
HUNTINGTON ISD,2021-08-29,003904,1569,NA,NA,23,1,0,0,24
DIBOLL ISD,2021-08-29,003905,1698,NA,NA,6,3,2,0,7
ZAVALLA ISD,2021-08-29,003906,308,NA,NA,NA,NA,NA,NA,NA
CENTRAL ISD,2021-08-29,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-08-29,004901,2989,NA,NA,NA,12,NA,NA,NA
ARCHER CITY ISD,2021-08-29,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-08-29,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-08-29,005904,438,NA,NA,NA,0,NA,NA,NA
CLAUDE ISD,2021-08-29,006902,301,NA,NA,NA,NA,NA,NA,NA
CHARLOTTE ISD,2021-08-29,007901,419,NA,NA,34,1,0,0,35
JOURDANTON ISD,2021-08-29,007902,1517,NA,NA,NA,NA,NA,NA,NA
LYTLE ISD,2021-08-29,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-08-29,007905,3304,NA,NA,NA,NA,NA,NA,NA
POTEET ISD,2021-08-29,007906,1518,NA,NA,NA,NA,NA,NA,NA
BELLVILLE ISD,2021-08-29,008901,2206,NA,NA,NA,0,NA,NA,NA
SEALY ISD,2021-08-29,008902,2788,NA,NA,31,3,0,2,32
BRAZOS ISD,2021-08-29,008903,761,NA,NA,5,0,0,0,5
MULESHOE ISD,2021-08-29,009901,1309,NA,NA,NA,NA,NA,NA,NA
MEDINA ISD,2021-08-29,010901,259,NA,NA,NA,NA,NA,NA,NA
BANDERA ISD,2021-08-29,010902,2155,NA,NA,NA,NA,NA,NA,NA
BASTROP ISD,2021-08-29,011901,11423,NA,NA,NA,NA,NA,NA,NA
ELGIN ISD,2021-08-29,011902,4670,NA,NA,25,6,5,0,26
SMITHVILLE ISD,2021-08-29,011904,1687,NA,NA,NA,NA,NA,NA,NA
MCDADE ISD,2021-08-29,011905,327,NA,NA,NA,NA,NA,NA,NA
SEYMOUR ISD,2021-08-29,012901,625,NA,NA,NA,0,NA,NA,NA
ST MARY'S ACADEMY CHARTER SCHOOL,2021-08-29,013801,376,NA,NA,NA,0,NA,NA,NA
BEEVILLE ISD,2021-08-29,013901,3072,NA,NA,NA,1,NA,NA,NA
PAWNEE ISD,2021-08-29,013902,296,NA,NA,6,2,0,5,3
PETTUS ISD,2021-08-29,013903,361,NA,NA,5,2,0,0,7
SKIDMORE-TYNAN ISD,2021-08-29,013905,792,NA,NA,NA,6,NA,NA,NA
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2021-08-29,014801,1943,NA,NA,NA,2,NA,NA,NA
PRIORITY CHARTER SCHOOLS,2021-08-29,014803,846,NA,NA,NA,6,NA,NA,NA
ORENDA CHARTER SCHOOL,2021-08-29,014804,1867,NA,NA,NA,2,NA,NA,NA
ACADEMY ISD,2021-08-29,014901,1730,NA,NA,NA,5,NA,NA,NA
BARTLETT ISD,2021-08-29,014902,386,NA,NA,NA,NA,NA,NA,NA
BELTON ISD,2021-08-29,014903,12757,NA,NA,127,24,22,52,77
HOLLAND ISD,2021-08-29,014905,656,NA,NA,NA,NA,NA,NA,NA
KILLEEN ISD,2021-08-29,014906,43634,NA,NA,145,36,0,0,181
ROGERS ISD,2021-08-29,014907,890,NA,NA,17,4,0,4,17
SALADO ISD,2021-08-29,014908,2141,NA,NA,NA,NA,NA,NA,NA
TEMPLE ISD,2021-08-29,014909,8363,NA,NA,NA,10,NA,NA,NA
TROY ISD,2021-08-29,014910,1576,NA,NA,NA,NA,NA,NA,NA
POR VIDA ACADEMY,2021-08-29,015801,134,NA,NA,NA,NA,NA,NA,NA
GEORGE GERVIN ACADEMY,2021-08-29,015802,811,NA,NA,NA,NA,NA,NA,NA
