District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2021-09-19,001902,541,NA,NA,0,2,0,2,0
ELKHART ISD,2021-09-19,001903,1167,NA,NA,10,2,0,1,11
FRANKSTON ISD,2021-09-19,001904,756,NA,NA,NA,3,NA,NA,NA
NECHES ISD,2021-09-19,001906,338,NA,NA,NA,0,NA,NA,NA
PALESTINE ISD,2021-09-19,001907,3347,NA,NA,9,2,0,4,7
WESTWOOD ISD,2021-09-19,001908,1333,NA,NA,NA,NA,NA,NA,NA
SLOCUM ISD,2021-09-19,001909,360,NA,NA,NA,1,NA,NA,NA
ANDREWS ISD,2021-09-19,002901,3992,NA,NA,NA,NA,NA,NA,NA
PINEYWOODS COMMUNITY ACADEMY,2021-09-19,003801,920,NA,NA,14,1,0,0,15
HUDSON ISD,2021-09-19,003902,2762,NA,NA,NA,3,NA,NA,NA
LUFKIN ISD,2021-09-19,003903,7297,NA,NA,50,3,0,0,53
HUNTINGTON ISD,2021-09-19,003904,1569,NA,NA,5,2,0,0,7
DIBOLL ISD,2021-09-19,003905,1698,NA,NA,7,2,0,1,8
ZAVALLA ISD,2021-09-19,003906,308,NA,NA,NA,2,NA,NA,NA
CENTRAL ISD,2021-09-19,003907,1442,NA,NA,NA,NA,NA,NA,NA
ARANSAS COUNTY ISD,2021-09-19,004901,2989,NA,NA,21,4,0,0,25
ARCHER CITY ISD,2021-09-19,005901,502,NA,NA,NA,NA,NA,NA,NA
HOLLIDAY ISD,2021-09-19,005902,1064,NA,NA,NA,NA,NA,NA,NA
WINDTHORST ISD,2021-09-19,005904,438,NA,NA,NA,NA,NA,NA,NA
CLAUDE ISD,2021-09-19,006902,301,NA,NA,5,1,0,0,6
CHARLOTTE ISD,2021-09-19,007901,419,NA,NA,NA,0,NA,NA,NA
JOURDANTON ISD,2021-09-19,007902,1517,NA,NA,13,1,0,1,13
LYTLE ISD,2021-09-19,007904,1689,NA,NA,NA,NA,NA,NA,NA
PLEASANTON ISD,2021-09-19,007905,3304,NA,NA,14,0,0,0,14
POTEET ISD,2021-09-19,007906,1518,NA,NA,22,0,20,2,0
