District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
CAYUGA ISD,2022-05-22,001902,573,,,,,,,
ELKHART ISD,2022-05-22,001903,1185,,,,,,,
FRANKSTON ISD,2022-05-22,001904,822,,,,,,,
NECHES ISD,2022-05-22,001906,345,,,,,,,
PALESTINE ISD,2022-05-22,001907,3392,,,,,,,
WESTWOOD ISD,2022-05-22,001908,1339,,,,,,,
SLOCUM ISD,2022-05-22,001909,369,,,,,,,
ANDREWS ISD,2022-05-22,002901,4213,,,,,,,
PINEYWOODS COMMUNITY ACADEMY,2022-05-22,003801,999,,,,,,,
HUDSON ISD,2022-05-22,003902,2834,,,,,,,
LUFKIN ISD,2022-05-22,003903,7523,,,6,2,0,0,8
HUNTINGTON ISD,2022-05-22,003904,1643,,,,,,,
DIBOLL ISD,2022-05-22,003905,1762,,,,,,,
ZAVALLA ISD,2022-05-22,003906,308,,,,,,,
CENTRAL ISD,2022-05-22,003907,1452,,,,,,,
ARANSAS COUNTY ISD,2022-05-22,004901,3026,,,0,2,0,0,2
ARCHER CITY ISD,2022-05-22,005901,513,,,,,,,
HOLLIDAY ISD,2022-05-22,005902,1133,,,,,,,
WINDTHORST ISD,2022-05-22,005904,531,,,,,,,
CLAUDE ISD,2022-05-22,006902,314,,,,,,,
CHARLOTTE ISD,2022-05-22,007901,401,,,,,,,
JOURDANTON ISD,2022-05-22,007902,1588,,,,,,,
LYTLE ISD,2022-05-22,007904,1762,,,,,,,
PLEASANTON ISD,2022-05-22,007905,3459,,,,,,,
POTEET ISD,2022-05-22,007906,1690,,,,,,,
BELLVILLE ISD,2022-05-22,008901,2217,,,,,,,
SEALY ISD,2022-05-22,008902,2830,,,,1,,,
BRAZOS ISD,2022-05-22,008903,770,,,,,,,
MULESHOE ISD,2022-05-22,009901,1372,,,,,,,
MEDINA ISD,2022-05-22,010901,265,,,,,,,
BANDERA ISD,2022-05-22,010902,2321,,,,,,,
BASTROP ISD,2022-05-22,011901,12101,,,,,,,
ELGIN ISD,2022-05-22,011902,4825,,,0,2,0,0,2
SMITHVILLE ISD,2022-05-22,011904,1824,,,,,,,
MCDADE ISD,2022-05-22,011905,322,,,,,,,
SEYMOUR ISD,2022-05-22,012901,632,,,,,,,
ST MARY'S ACADEMY CHARTER SCHOOL,2022-05-22,013801,410,,,,,,,
BEEVILLE ISD,2022-05-22,013901,3021,,,0,1,0,0,1
PAWNEE ISD,2022-05-22,013902,499,,,,,,,
PETTUS ISD,2022-05-22,013903,373,,,,,,,
SKIDMORE-TYNAN ISD,2022-05-22,013905,794,,,,,,,
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),2022-05-22,014801,1722,,,,,,,
PRIORITY CHARTER SCHOOLS,2022-05-22,014803,880,,,,,,,
ORENDA CHARTER SCHOOL,2022-05-22,014804,1921,,,,0,,,
ACADEMY ISD,2022-05-22,014901,1771,,,,,,,
BARTLETT ISD,2022-05-22,014902,390,,,,,,,
BELTON ISD,2022-05-22,014903,13431,,,,8,,,
HOLLAND ISD,2022-05-22,014905,646,,,,,,,
KILLEEN ISD,2022-05-22,014906,41565,,,12,0,0,0,12
ROGERS ISD,2022-05-22,014907,901,,,,,,,
SALADO ISD,2022-05-22,014908,2275,,,,,,,
