County,Race/Ethnicity,Vaccination_Type,At_Least_One_Vaccinated,Fully_Vaccinated,Boosted,Doses_Administered,Population_Total
Galveston,Other,all,62876,59525,185033,37449,29550
Galveston,Unknown,all,4789,3412,7926,416,
Galveston,White,all,82096,73797,194705,31165,197559
Garza,Asian,all,17,14,26,2,23
Garza,Black,all,68,62,116,12,396
Garza,Hispanic,all,2309,2209,3901,525,3089
Garza,Other,all,224,188,476,57,435
Garza,Unknown,all,36,31,65,4,
Garza,White,all,791,738,1676,159,2241
Gillespie,Asian,all,110,94,240,35,149
Gillespie,Black,all,32,27,77,12,120
Gillespie,Hispanic,all,1987,1665,4249,502,6779
Gillespie,Other,all,3533,3309,10349,2106,1435
Gillespie,Unknown,all,796,619,1480,81,
Gillespie,White,all,10438,9407,26641,4708,19911
Glasscock,Asian,all,3,3,7,1,2
Glasscock,Black,all,2,,2,0,29
Glasscock,Hispanic,all,216,183,439,45,444
Glasscock,Other,all,182,165,412,54,50
Glasscock,Unknown,all,19,13,34,2,
Glasscock,White,all,303,262,643,83,659
Goliad,Asian,all,15,13,39,7,38
Goliad,Black,all,74,67,191,37,292
Goliad,Hispanic,all,983,866,2308,363,2598
Goliad,Other,all,731,679,2084,417,494
Goliad,Unknown,all,223,184,461,43,
Goliad,White,all,1731,1560,4228,740,4106
Gonzales,Asian,all,42,40,106,21,101
Gonzales,Black,all,529,472,1230,215,1126
Gonzales,Hispanic,all,4303,3859,9229,1315,10324
Gonzales,Other,all,2430,2171,5907,1055,1335
Gonzales,Unknown,all,622,463,1141,116,
Gonzales,White,all,4379,3968,10444,1806,7826
Gray,Asian,all,68,62,162,26,132
Gray,Black,all,395,361,919,189,1088
Gray,Hispanic,all,2166,1875,4805,652,6481
Gray,Other,all,1510,1333,3533,588,2231
Gray,Unknown,all,714,550,1366,99,
Gray,White,all,5162,4703,12420,2105,12742
Grayson,Asian,all,704,588,1522,258,1998
Grayson,Black,all,2915,2474,6373,1039,8135
Grayson,Hispanic,all,8599,7153,17610,2064,20872
Grayson,Other,all,11748,10462,29465,5022,16806
Grayson,Unknown,all,3968,3094,7420,669,
Grayson,White,all,42668,37535,100125,17612,102801
Gregg,Asian,all,912,771,2067,318,1585
Gregg,Black,all,10380,9037,24666,3859,25222
Gregg,Hispanic,all,11823,10199,25368,2907,24955
Gregg,Other,all,11388,10396,30199,5480,10889
Gregg,Unknown,all,2937,2144,5561,479,
Gregg,White,all,30637,27399,73125,11811,69552
Grimes,Asian,all,81,69,186,38,135
Grimes,Black,all,2210,2019,5306,998,4288
Grimes,Hispanic,all,3568,3088,7911,1129,7500
Grimes,Other,all,3263,2964,8466,1619,2252
Grimes,Unknown,all,1194,934,2287,181,
Grimes,White,all,8209,7455,20033,3554,17809
Guadalupe,Asian,all,1696,1422,3798,614,3365
Guadalupe,Black,all,5810,4799,13179,2053,13952
Guadalupe,Hispanic,all,31490,27122,70069,10270,69735
Guadalupe,Other,all,26826,24101,70772,13328,20639
Guadalupe,Unknown,all,5388,3989,9906,859,
Guadalupe,White,all,38050,33600,87193,14136,85240
Hale,Asian,all,61,54,133,18,151
Hale,Black,all,492,442,1002,153,1595
Hale,Hispanic,all,8225,7265,18124,2636,19887
Hale,Other,all,2724,2395,6379,1104,2489
Hale,Unknown,all,572,413,1008,56,
Hale,White,all,4344,3967,10120,1697,10125
Hall,Asian,all,2,1,3,0,6
Hall,Black,all,69,59,140,16,247
Hall,Hispanic,all,431,374,921,138,989
Hall,Other,all,207,186,537,114,251
Hall,Unknown,all,27,19,48,3,
Hall,White,all,691,622,1673,310,1538
Hamilton,Asian,all,14,13,41,7,63
Hamilton,Black,all,11,9,19,3,72
Hamilton,Hispanic,all,588,522,1314,185,1188
Hamilton,Other,all,370,346,1009,211,571
Hamilton,Unknown,all,136,108,268,21,
Hamilton,White,all,3591,3323,9414,1781,6770
Hansford,Asian,all,6,6,16,4,19
Hansford,Black,all,9,4,15,2,38
Hansford,Hispanic,all,1120,999,2246,317,2572
Hansford,Other,all,123,104,281,45,367
Hansford,Unknown,all,161,128,303,13,
Hansford,White,all,1102,1012,2466,432,2459
Hardeman,Asian,all,17,14,38,6,22
Hardeman,Black,all,74,63,166,27,205
Hardeman,Hispanic,all,355,317,753,102,909
Hardeman,Other,all,90,81,205,32,408
Hardeman,Unknown,all,123,110,246,16,
Hardeman,White,all,1321,1222,3228,595,2312
Hardin,Asian,all,206,177,463,69,488
Hardin,Black,all,1214,1062,2782,430,3161
Hardin,Hispanic,all,1450,1218,3109,376,3856
Hardin,Other,all,4684,4301,11811,1916,3619
Hardin,Unknown,all,1265,957,2343,189,
Hardin,White,all,16460,14646,38321,5845,48364
Harris,Asian,all,237086,204465,547810,99697,339530
Harris,Black,all,406252,346958,921288,141316,903508
