Public Health Region (PHR),County Name,Age Group,Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,Date,County,People Vaccinated with at Least One Dose
1,Armstrong,16-49 years,86,54,32,2021-03-03,NA,NA
1,Armstrong,50-64 years,130,78,52,2021-03-03,NA,NA
1,Armstrong,65-79 years,294,166,128,2021-03-03,NA,NA
1,Armstrong,80+ years,93,57,36,2021-03-03,NA,NA
1,Armstrong,Unknown,1,1,0,2021-03-03,NA,NA
1,Bailey,16-49 years,783,446,337,2021-03-03,NA,NA
1,Bailey,50-64 years,814,459,355,2021-03-03,NA,NA
1,Bailey,65-79 years,811,437,374,2021-03-03,NA,NA
1,Bailey,80+ years,299,168,131,2021-03-03,NA,NA
1,Briscoe,16-49 years,81,56,25,2021-03-03,NA,NA
1,Briscoe,50-64 years,116,84,32,2021-03-03,NA,NA
1,Briscoe,65-79 years,247,160,87,2021-03-03,NA,NA
1,Briscoe,80+ years,99,62,37,2021-03-03,NA,NA
1,Carson,16-49 years,254,153,101,2021-03-03,NA,NA
1,Carson,50-64 years,361,219,142,2021-03-03,NA,NA
1,Carson,65-79 years,594,334,260,2021-03-03,NA,NA
1,Carson,80+ years,205,120,85,2021-03-03,NA,NA
1,Castro,16-49 years,301,191,110,2021-03-03,NA,NA
1,Castro,50-64 years,375,245,130,2021-03-03,NA,NA
1,Castro,65-79 years,727,429,298,2021-03-03,NA,NA
1,Castro,80+ years,340,198,142,2021-03-03,NA,NA
1,Childress,16-49 years,469,296,173,2021-03-03,NA,NA
1,Childress,50-64 years,390,268,122,2021-03-03,NA,NA
1,Childress,65-79 years,595,383,212,2021-03-03,NA,NA
1,Childress,80+ years,245,162,83,2021-03-03,NA,NA
1,Childress,Unknown,2,2,0,2021-03-03,NA,NA
1,Cochran,16-49 years,191,132,59,2021-03-03,NA,NA
1,Cochran,50-64 years,200,147,53,2021-03-03,NA,NA
1,Cochran,65-79 years,192,125,67,2021-03-03,NA,NA
1,Cochran,80+ years,66,44,22,2021-03-03,NA,NA
1,Cochran,Unknown,3,2,1,2021-03-03,NA,NA
1,Collingsworth,16-49 years,128,74,54,2021-03-03,NA,NA
1,Collingsworth,50-64 years,184,120,64,2021-03-03,NA,NA
1,Collingsworth,65-79 years,285,190,95,2021-03-03,NA,NA
1,Collingsworth,80+ years,129,85,44,2021-03-03,NA,NA
1,Collingsworth,Unknown,3,3,0,2021-03-03,NA,NA
1,Crosby,16-49 years,421,326,95,2021-03-03,NA,NA
1,Crosby,50-64 years,530,419,111,2021-03-03,NA,NA
1,Crosby,65-79 years,629,472,157,2021-03-03,NA,NA
1,Crosby,80+ years,222,169,53,2021-03-03,NA,NA
1,Dallam,16-49 years,1549,937,612,2021-03-03,NA,NA
1,Dallam,50-64 years,722,421,301,2021-03-03,NA,NA
1,Dallam,65-79 years,602,356,246,2021-03-03,NA,NA
1,Dallam,80+ years,228,129,99,2021-03-03,NA,NA
1,Deaf Smith,16-49 years,676,451,225,2021-03-03,NA,NA
1,Deaf Smith,50-64 years,853,578,275,2021-03-03,NA,NA
1,Deaf Smith,65-79 years,1134,726,408,2021-03-03,NA,NA
1,Deaf Smith,80+ years,418,285,133,2021-03-03,NA,NA
1,Dickens,16-49 years,53,47,6,2021-03-03,NA,NA
1,Dickens,50-64 years,114,99,15,2021-03-03,NA,NA
1,Dickens,65-79 years,209,176,33,2021-03-03,NA,NA
1,Dickens,80+ years,68,58,10,2021-03-03,NA,NA
1,Donley,16-49 years,65,48,17,2021-03-03,NA,NA
1,Donley,50-64 years,117,77,40,2021-03-03,NA,NA
1,Donley,65-79 years,335,219,116,2021-03-03,NA,NA
1,Donley,80+ years,166,106,60,2021-03-03,NA,NA
1,Floyd,16-49 years,269,190,79,2021-03-03,NA,NA
1,Floyd,50-64 years,353,273,80,2021-03-03,NA,NA
1,Floyd,65-79 years,533,387,146,2021-03-03,NA,NA
1,Floyd,80+ years,266,181,85,2021-03-03,NA,NA
1,Garza,16-49 years,124,98,26,2021-03-03,NA,NA
1,Garza,50-64 years,196,158,38,2021-03-03,NA,NA
1,Garza,65-79 years,321,256,65,2021-03-03,NA,NA
1,Garza,80+ years,126,100,26,2021-03-03,NA,NA
1,Gray,16-49 years,762,462,300,2021-03-03,NA,NA
1,Gray,50-64 years,767,502,265,2021-03-03,NA,NA
1,Gray,65-79 years,1302,860,442,2021-03-03,NA,NA
1,Gray,80+ years,561,370,191,2021-03-03,NA,NA
1,Hale,16-49 years,1445,933,512,2021-03-03,NA,NA
1,Hale,50-64 years,1435,1015,420,2021-03-03,NA,NA
1,Hale,65-79 years,1996,1343,653,2021-03-03,NA,NA
1,Hale,80+ years,695,475,220,2021-03-03,NA,NA
1,Hall,16-49 years,132,92,40,2021-03-03,NA,NA
1,Hall,50-64 years,211,166,45,2021-03-03,NA,NA
1,Hall,65-79 years,405,273,132,2021-03-03,NA,NA
1,Hall,80+ years,140,96,44,2021-03-03,NA,NA
1,Hall,Unknown,4,4,0,2021-03-03,NA,NA
1,Hansford,16-49 years,176,111,65,2021-03-03,NA,NA
1,Hansford,50-64 years,280,195,85,2021-03-03,NA,NA
1,Hansford,65-79 years,529,322,207,2021-03-03,NA,NA
1,Hansford,80+ years,261,152,109,2021-03-03,NA,NA
1,Hartley,16-49 years,884,537,347,2021-03-03,NA,NA
1,Hartley,50-64 years,530,302,228,2021-03-03,NA,NA
1,Hartley,65-79 years,517,296,221,2021-03-03,NA,NA
1,Hartley,80+ years,179,101,78,2021-03-03,NA,NA
1,Hartley,Unknown,2,1,1,2021-03-03,NA,NA
1,Hemphill,16-49 years,327,207,120,2021-03-03,NA,NA
1,Hemphill,50-64 years,263,178,85,2021-03-03,NA,NA
1,Hemphill,65-79 years,417,261,156,2021-03-03,NA,NA
1,Hemphill,80+ years,131,80,51,2021-03-03,NA,NA
1,Hockley,16-49 years,1649,1038,611,2021-03-03,NA,NA
1,Hockley,50-64 years,1569,1048,521,2021-03-03,NA,NA
1,Hockley,65-79 years,1862,1209,653,2021-03-03,NA,NA
1,Hockley,80+ years,589,390,199,2021-03-03,NA,NA
1,Hutchinson,16-49 years,645,455,190,2021-03-03,NA,NA
1,Hutchinson,50-64 years,969,672,297,2021-03-03,NA,NA
1,Hutchinson,65-79 years,1644,1005,639,2021-03-03,NA,NA
1,Hutchinson,80+ years,488,318,170,2021-03-03,NA,NA
1,King,16-49 years,8,5,3,2021-03-03,NA,NA
1,King,50-64 years,13,12,1,2021-03-03,NA,NA
1,King,65-79 years,13,9,4,2021-03-03,NA,NA
1,King,80+ years,1,1,0,2021-03-03,NA,NA
1,Lamb,16-49 years,826,523,303,2021-03-03,NA,NA
1,Lamb,50-64 years,1058,680,378,2021-03-03,NA,NA
1,Lamb,65-79 years,1050,679,371,2021-03-03,NA,NA
1,Lamb,80+ years,513,344,169,2021-03-03,NA,NA
1,Lipscomb,16-49 years,82,59,23,2021-03-03,NA,NA
1,Lipscomb,50-64 years,159,116,43,2021-03-03,NA,NA
1,Lipscomb,65-79 years,292,195,97,2021-03-03,NA,NA
1,Lipscomb,80+ years,138,87,51,2021-03-03,NA,NA
1,Lubbock,16-49 years,33270,21297,11973,2021-03-03,NA,NA
1,Lubbock,50-64 years,24516,16141,8375,2021-03-03,NA,NA
1,Lubbock,65-79 years,28517,18066,10451,2021-03-03,NA,NA
1,Lubbock,80+ years,8705,5727,2978,2021-03-03,NA,NA
1,Lubbock,Unknown,34,30,4,2021-03-03,NA,NA
1,Lynn,16-49 years,431,277,154,2021-03-03,NA,NA
1,Lynn,50-64 years,434,306,128,2021-03-03,NA,NA
1,Lynn,65-79 years,419,282,137,2021-03-03,NA,NA
1,Lynn,80+ years,168,123,45,2021-03-03,NA,NA
1,Moore,16-49 years,2148,1657,491,2021-03-03,NA,NA
1,Moore,50-64 years,1680,1258,422,2021-03-03,NA,NA
1,Moore,65-79 years,1557,1035,522,2021-03-03,NA,NA
1,Moore,80+ years,426,285,141,2021-03-03,NA,NA
1,Motley,16-49 years,24,18,6,2021-03-03,NA,NA
1,Motley,50-64 years,28,19,9,2021-03-03,NA,NA
1,Motley,65-79 years,96,73,23,2021-03-03,NA,NA
1,Motley,80+ years,63,46,17,2021-03-03,NA,NA
1,Ochiltree,16-49 years,346,203,143,2021-03-03,NA,NA
1,Ochiltree,50-64 years,328,203,125,2021-03-03,NA,NA
1,Ochiltree,65-79 years,656,410,246,2021-03-03,NA,NA
1,Ochiltree,80+ years,234,134,100,2021-03-03,NA,NA
1,Oldham,16-49 years,96,60,36,2021-03-03,NA,NA
1,Oldham,50-64 years,156,92,64,2021-03-03,NA,NA
1,Oldham,65-79 years,167,98,69,2021-03-03,NA,NA
1,Oldham,80+ years,75,41,34,2021-03-03,NA,NA
1,Parmer,16-49 years,553,334,219,2021-03-03,NA,NA
1,Parmer,50-64 years,719,428,291,2021-03-03,NA,NA
1,Parmer,65-79 years,850,476,374,2021-03-03,NA,NA
1,Parmer,80+ years,357,203,154,2021-03-03,NA,NA
1,Potter,16-49 years,7859,4872,2987,2021-03-03,NA,NA
1,Potter,50-64 years,8939,5465,3474,2021-03-03,NA,NA
1,Potter,65-79 years,10774,6166,4608,2021-03-03,NA,NA
1,Potter,80+ years,3900,2355,1545,2021-03-03,NA,NA
1,Potter,Unknown,26,22,4,2021-03-03,NA,NA
1,Randall,16-49 years,12479,7565,4914,2021-03-03,NA,NA
1,Randall,50-64 years,12553,7449,5104,2021-03-03,NA,NA
1,Randall,65-79 years,17338,9719,7619,2021-03-03,NA,NA
1,Randall,80+ years,4911,2817,2094,2021-03-03,NA,NA
1,Randall,Unknown,25,19,6,2021-03-03,NA,NA
1,Roberts,16-49 years,26,19,7,2021-03-03,NA,NA
1,Roberts,50-64 years,35,26,9,2021-03-03,NA,NA
1,Roberts,65-79 years,99,68,31,2021-03-03,NA,NA
1,Roberts,80+ years,23,16,7,2021-03-03,NA,NA
1,Sherman,16-49 years,266,176,90,2021-03-03,NA,NA
1,Sherman,50-64 years,261,157,104,2021-03-03,NA,NA
1,Sherman,65-79 years,216,140,76,2021-03-03,NA,NA
1,Sherman,80+ years,73,50,23,2021-03-03,NA,NA
1,Swisher,16-49 years,292,181,111,2021-03-03,NA,NA
1,Swisher,50-64 years,396,275,121,2021-03-03,NA,NA
1,Swisher,65-79 years,677,443,234,2021-03-03,NA,NA
1,Swisher,80+ years,263,182,81,2021-03-03,NA,NA
1,Swisher,Unknown,5,5,0,2021-03-03,NA,NA
1,Terry,16-49 years,875,547,328,2021-03-03,NA,NA
1,Terry,50-64 years,967,639,328,2021-03-03,NA,NA
1,Terry,65-79 years,1011,639,372,2021-03-03,NA,NA
1,Terry,80+ years,326,217,109,2021-03-03,NA,NA
1,Wheeler,16-49 years,250,154,96,2021-03-03,NA,NA
1,Wheeler,50-64 years,290,197,93,2021-03-03,NA,NA
1,Wheeler,65-79 years,514,342,172,2021-03-03,NA,NA
1,Wheeler,80+ years,203,128,75,2021-03-03,NA,NA
1,Yoakum,16-49 years,482,320,162,2021-03-03,NA,NA
1,Yoakum,50-64 years,455,313,142,2021-03-03,NA,NA
1,Yoakum,65-79 years,437,301,136,2021-03-03,NA,NA
1,Yoakum,80+ years,153,104,49,2021-03-03,NA,NA
2/3,Archer,16-49 years,543,313,230,2021-03-03,NA,NA
2/3,Archer,50-64 years,578,351,227,2021-03-03,NA,NA
2/3,Archer,65-79 years,1022,589,433,2021-03-03,NA,NA
2/3,Archer,80+ years,299,178,121,2021-03-03,NA,NA
2/3,Baylor,16-49 years,204,123,81,2021-03-03,NA,NA
2/3,Baylor,50-64 years,386,223,163,2021-03-03,NA,NA
2/3,Baylor,65-79 years,741,402,339,2021-03-03,NA,NA
2/3,Baylor,80+ years,241,130,111,2021-03-03,NA,NA
2/3,Baylor,Unknown,3,2,1,2021-03-03,NA,NA
2/3,Brown,16-49 years,1141,692,449,2021-03-03,NA,NA
2/3,Brown,50-64 years,1059,698,361,2021-03-03,NA,NA
2/3,Brown,65-79 years,1551,1208,343,2021-03-03,NA,NA
2/3,Brown,80+ years,475,388,87,2021-03-03,NA,NA
2/3,Callahan,16-49 years,547,325,222,2021-03-03,NA,NA
2/3,Callahan,50-64 years,607,385,222,2021-03-03,NA,NA
2/3,Callahan,65-79 years,838,593,245,2021-03-03,NA,NA
2/3,Callahan,80+ years,287,202,85,2021-03-03,NA,NA
2/3,Clay,16-49 years,686,382,304,2021-03-03,NA,NA
2/3,Clay,50-64 years,1240,659,581,2021-03-03,NA,NA
2/3,Clay,65-79 years,1982,1039,943,2021-03-03,NA,NA
2/3,Clay,80+ years,584,309,275,2021-03-03,NA,NA
2/3,Clay,Unknown,2,2,0,2021-03-03,NA,NA
2/3,Coleman,16-49 years,257,155,102,2021-03-03,NA,NA
2/3,Coleman,50-64 years,305,189,116,2021-03-03,NA,NA
2/3,Coleman,65-79 years,600,391,209,2021-03-03,NA,NA
2/3,Coleman,80+ years,224,146,78,2021-03-03,NA,NA
2/3,Coleman,Unknown,1,1,0,2021-03-03,NA,NA
2/3,Collin,16-49 years,71814,44930,26884,2021-03-03,NA,NA
2/3,Collin,50-64 years,52681,34197,18484,2021-03-03,NA,NA
2/3,Collin,65-79 years,73700,48964,24736,2021-03-03,NA,NA
2/3,Collin,80+ years,19076,12401,6675,2021-03-03,NA,NA
2/3,Collin,Unknown,134,120,14,2021-03-03,NA,NA
2/3,Comanche,16-49 years,474,273,201,2021-03-03,NA,NA
2/3,Comanche,50-64 years,620,368,252,2021-03-03,NA,NA
2/3,Comanche,65-79 years,1481,889,592,2021-03-03,NA,NA
2/3,Comanche,80+ years,693,401,292,2021-03-03,NA,NA
2/3,Cooke,16-49 years,1118,738,380,2021-03-03,NA,NA
2/3,Cooke,50-64 years,1518,1071,447,2021-03-03,NA,NA
2/3,Cooke,65-79 years,3044,2251,793,2021-03-03,NA,NA
2/3,Cooke,80+ years,1050,762,288,2021-03-03,NA,NA
2/3,Cooke,Unknown,3,3,0,2021-03-03,NA,NA
2/3,Cottle,16-49 years,22,17,5,2021-03-03,NA,NA
2/3,Cottle,50-64 years,78,63,15,2021-03-03,NA,NA
2/3,Cottle,65-79 years,119,88,31,2021-03-03,NA,NA
2/3,Cottle,80+ years,48,38,10,2021-03-03,NA,NA
2/3,Dallas,16-49 years,151128,95976,55152,2021-03-03,NA,NA
2/3,Dallas,50-64 years,107023,70218,36805,2021-03-03,NA,NA
2/3,Dallas,65-79 years,162486,105344,57142,2021-03-03,NA,NA
2/3,Dallas,80+ years,47422,30183,17239,2021-03-03,NA,NA
2/3,Dallas,Unknown,160,141,19,2021-03-03,NA,NA
2/3,Denton,16-49 years,53493,33338,20155,2021-03-03,NA,NA
2/3,Denton,50-64 years,38190,24923,13267,2021-03-03,NA,NA
2/3,Denton,65-79 years,54672,38197,16475,2021-03-03,NA,NA
2/3,Denton,80+ years,12926,8684,4242,2021-03-03,NA,NA
2/3,Denton,Unknown,24,23,1,2021-03-03,NA,NA
2/3,Eastland,16-49 years,554,340,214,2021-03-03,NA,NA
2/3,Eastland,50-64 years,546,351,195,2021-03-03,NA,NA
2/3,Eastland,65-79 years,804,531,273,2021-03-03,NA,NA
2/3,Eastland,80+ years,398,266,132,2021-03-03,NA,NA
2/3,Eastland,Unknown,2,1,1,2021-03-03,NA,NA
2/3,Ellis,16-49 years,8912,5520,3392,2021-03-03,NA,NA
2/3,Ellis,50-64 years,6706,4610,2096,2021-03-03,NA,NA
2/3,Ellis,65-79 years,12655,9740,2915,2021-03-03,NA,NA
2/3,Ellis,80+ years,3568,2634,934,2021-03-03,NA,NA
2/3,Ellis,Unknown,10,9,1,2021-03-03,NA,NA
2/3,Erath,16-49 years,1156,742,414,2021-03-03,NA,NA
2/3,Erath,50-64 years,1126,759,367,2021-03-03,NA,NA
2/3,Erath,65-79 years,2560,1947,613,2021-03-03,NA,NA
2/3,Erath,80+ years,1001,779,222,2021-03-03,NA,NA
2/3,Fannin,16-49 years,1139,681,458,2021-03-03,NA,NA
2/3,Fannin,50-64 years,1620,994,626,2021-03-03,NA,NA
2/3,Fannin,65-79 years,2836,1777,1059,2021-03-03,NA,NA
2/3,Fannin,80+ years,1111,682,429,2021-03-03,NA,NA
2/3,Fisher,16-49 years,93,62,31,2021-03-03,NA,NA
2/3,Fisher,50-64 years,175,115,60,2021-03-03,NA,NA
2/3,Fisher,65-79 years,396,246,150,2021-03-03,NA,NA
2/3,Fisher,80+ years,168,100,68,2021-03-03,NA,NA
2/3,Foard,16-49 years,70,52,18,2021-03-03,NA,NA
2/3,Foard,50-64 years,174,130,44,2021-03-03,NA,NA
2/3,Foard,65-79 years,210,161,49,2021-03-03,NA,NA
2/3,Foard,80+ years,77,53,24,2021-03-03,NA,NA
2/3,Grayson,16-49 years,5325,3093,2232,2021-03-03,NA,NA
2/3,Grayson,50-64 years,5167,3198,1969,2021-03-03,NA,NA
2/3,Grayson,65-79 years,7503,5241,2262,2021-03-03,NA,NA
2/3,Grayson,80+ years,2814,1901,913,2021-03-03,NA,NA
2/3,Grayson,Unknown,21,18,3,2021-03-03,NA,NA
2/3,Hardeman,16-49 years,348,222,126,2021-03-03,NA,NA
2/3,Hardeman,50-64 years,324,215,109,2021-03-03,NA,NA
2/3,Hardeman,65-79 years,541,375,166,2021-03-03,NA,NA
2/3,Hardeman,80+ years,149,99,50,2021-03-03,NA,NA
2/3,Haskell,16-49 years,229,164,65,2021-03-03,NA,NA
2/3,Haskell,50-64 years,292,223,69,2021-03-03,NA,NA
2/3,Haskell,65-79 years,539,394,145,2021-03-03,NA,NA
2/3,Haskell,80+ years,273,196,77,2021-03-03,NA,NA
2/3,Hood,16-49 years,1905,1284,621,2021-03-03,NA,NA
2/3,Hood,50-64 years,2444,1810,634,2021-03-03,NA,NA
2/3,Hood,65-79 years,5673,4351,1322,2021-03-03,NA,NA
2/3,Hood,80+ years,1916,1456,460,2021-03-03,NA,NA
2/3,Hood,Unknown,12,11,1,2021-03-03,NA,NA
2/3,Hunt,16-49 years,2529,1477,1052,2021-03-03,NA,NA
2/3,Hunt,50-64 years,2963,1815,1148,2021-03-03,NA,NA
2/3,Hunt,65-79 years,5806,3579,2227,2021-03-03,NA,NA
2/3,Hunt,80+ years,1931,1195,736,2021-03-03,NA,NA
2/3,Hunt,Unknown,10,6,4,2021-03-03,NA,NA
2/3,Jack,16-49 years,299,203,96,2021-03-03,NA,NA
2/3,Jack,50-64 years,408,309,99,2021-03-03,NA,NA
2/3,Jack,65-79 years,631,499,132,2021-03-03,NA,NA
2/3,Jack,80+ years,315,232,83,2021-03-03,NA,NA
2/3,Jack,Unknown,7,6,1,2021-03-03,NA,NA
2/3,Johnson,16-49 years,6994,4283,2711,2021-03-03,NA,NA
2/3,Johnson,50-64 years,5819,3757,2062,2021-03-03,NA,NA
2/3,Johnson,65-79 years,7802,5281,2521,2021-03-03,NA,NA
2/3,Johnson,80+ years,2228,1530,698,2021-03-03,NA,NA
2/3,Johnson,Unknown,23,18,5,2021-03-03,NA,NA
2/3,Jones,16-49 years,515,314,201,2021-03-03,NA,NA
2/3,Jones,50-64 years,603,381,222,2021-03-03,NA,NA
2/3,Jones,65-79 years,1054,683,371,2021-03-03,NA,NA
2/3,Jones,80+ years,360,241,119,2021-03-03,NA,NA
2/3,Kaufman,16-49 years,6335,3799,2536,2021-03-03,NA,NA
2/3,Kaufman,50-64 years,4841,3069,1772,2021-03-03,NA,NA
2/3,Kaufman,65-79 years,6886,4594,2292,2021-03-03,NA,NA
2/3,Kaufman,80+ years,1818,1177,641,2021-03-03,NA,NA
2/3,Kaufman,Unknown,11,8,3,2021-03-03,NA,NA
2/3,Kent,16-49 years,33,25,8,2021-03-03,NA,NA
2/3,Kent,50-64 years,34,28,6,2021-03-03,NA,NA
2/3,Kent,65-79 years,78,57,21,2021-03-03,NA,NA
2/3,Kent,80+ years,70,42,28,2021-03-03,NA,NA
2/3,Knox,16-49 years,185,129,56,2021-03-03,NA,NA
2/3,Knox,50-64 years,295,195,100,2021-03-03,NA,NA
2/3,Knox,65-79 years,347,234,113,2021-03-03,NA,NA
2/3,Knox,80+ years,227,143,84,2021-03-03,NA,NA
2/3,Mitchell,16-49 years,248,157,91,2021-03-03,NA,NA
2/3,Mitchell,50-64 years,273,191,82,2021-03-03,NA,NA
2/3,Mitchell,65-79 years,390,275,115,2021-03-03,NA,NA
2/3,Mitchell,80+ years,148,105,43,2021-03-03,NA,NA
2/3,Montague,16-49 years,612,354,258,2021-03-03,NA,NA
2/3,Montague,50-64 years,986,565,421,2021-03-03,NA,NA
2/3,Montague,65-79 years,2294,1252,1042,2021-03-03,NA,NA
2/3,Montague,80+ years,743,400,343,2021-03-03,NA,NA
2/3,Navarro,16-49 years,1969,1234,735,2021-03-03,NA,NA
2/3,Navarro,50-64 years,3127,2322,805,2021-03-03,NA,NA
2/3,Navarro,65-79 years,4682,3448,1234,2021-03-03,NA,NA
2/3,Navarro,80+ years,1301,950,351,2021-03-03,NA,NA
2/3,Navarro,Unknown,4,4,0,2021-03-03,NA,NA
2/3,Nolan,16-49 years,523,304,219,2021-03-03,NA,NA
2/3,Nolan,50-64 years,677,397,280,2021-03-03,NA,NA
2/3,Nolan,65-79 years,1600,887,713,2021-03-03,NA,NA
2/3,Nolan,80+ years,551,311,240,2021-03-03,NA,NA
2/3,Palo Pinto,16-49 years,578,375,203,2021-03-03,NA,NA
2/3,Palo Pinto,50-64 years,815,578,237,2021-03-03,NA,NA
2/3,Palo Pinto,65-79 years,1657,1215,442,2021-03-03,NA,NA
2/3,Palo Pinto,80+ years,470,344,126,2021-03-03,NA,NA
2/3,Palo Pinto,Unknown,5,5,0,2021-03-03,NA,NA
2/3,Parker,16-49 years,6658,3924,2734,2021-03-03,NA,NA
2/3,Parker,50-64 years,6093,3768,2325,2021-03-03,NA,NA
2/3,Parker,65-79 years,10505,6524,3981,2021-03-03,NA,NA
2/3,Parker,80+ years,3042,1892,1150,2021-03-03,NA,NA
2/3,Parker,Unknown,11,9,2,2021-03-03,NA,NA
2/3,Rockwall,16-49 years,6227,3931,2296,2021-03-03,NA,NA
2/3,Rockwall,50-64 years,5233,3470,1763,2021-03-03,NA,NA
2/3,Rockwall,65-79 years,8509,5694,2815,2021-03-03,NA,NA
2/3,Rockwall,80+ years,2120,1352,768,2021-03-03,NA,NA
2/3,Rockwall,Unknown,8,6,2,2021-03-03,NA,NA
2/3,Runnels,16-49 years,407,228,179,2021-03-03,NA,NA
2/3,Runnels,50-64 years,458,286,172,2021-03-03,NA,NA
2/3,Runnels,65-79 years,936,588,348,2021-03-03,NA,NA
2/3,Runnels,80+ years,393,263,130,2021-03-03,NA,NA
2/3,Scurry,16-49 years,871,537,334,2021-03-03,NA,NA
2/3,Scurry,50-64 years,1065,691,374,2021-03-03,NA,NA
2/3,Scurry,65-79 years,1471,868,603,2021-03-03,NA,NA
2/3,Scurry,80+ years,658,382,276,2021-03-03,NA,NA
2/3,Shackelford,16-49 years,84,53,31,2021-03-03,NA,NA
2/3,Shackelford,50-64 years,100,80,20,2021-03-03,NA,NA
2/3,Shackelford,65-79 years,285,219,66,2021-03-03,NA,NA
2/3,Shackelford,80+ years,91,72,19,2021-03-03,NA,NA
2/3,Somervell,16-49 years,363,228,135,2021-03-03,NA,NA
2/3,Somervell,50-64 years,350,253,97,2021-03-03,NA,NA
2/3,Somervell,65-79 years,704,537,167,2021-03-03,NA,NA
2/3,Somervell,80+ years,211,164,47,2021-03-03,NA,NA
2/3,Stephens,16-49 years,202,136,66,2021-03-03,NA,NA
2/3,Stephens,50-64 years,229,167,62,2021-03-03,NA,NA
2/3,Stephens,65-79 years,489,371,118,2021-03-03,NA,NA
2/3,Stephens,80+ years,236,188,48,2021-03-03,NA,NA
2/3,Stonewall,16-49 years,55,35,20,2021-03-03,NA,NA
2/3,Stonewall,50-64 years,71,52,19,2021-03-03,NA,NA
2/3,Stonewall,65-79 years,170,124,46,2021-03-03,NA,NA
2/3,Stonewall,80+ years,90,61,29,2021-03-03,NA,NA
2/3,Tarrant,16-49 years,120949,72316,48633,2021-03-03,NA,NA
2/3,Tarrant,50-64 years,97715,58923,38792,2021-03-03,NA,NA
2/3,Tarrant,65-79 years,127176,75671,51505,2021-03-03,NA,NA
2/3,Tarrant,80+ years,33053,20045,13008,2021-03-03,NA,NA
2/3,Tarrant,Unknown,154,123,31,2021-03-03,NA,NA
2/3,Taylor,16-49 years,10414,6257,4157,2021-03-03,NA,NA
2/3,Taylor,50-64 years,7978,5026,2952,2021-03-03,NA,NA
2/3,Taylor,65-79 years,9856,6500,3356,2021-03-03,NA,NA
2/3,Taylor,80+ years,3840,2524,1316,2021-03-03,NA,NA
2/3,Taylor,Unknown,14,9,5,2021-03-03,NA,NA
2/3,Throckmorton,16-49 years,141,83,58,2021-03-03,NA,NA
2/3,Throckmorton,50-64 years,176,105,71,2021-03-03,NA,NA
2/3,Throckmorton,65-79 years,225,134,91,2021-03-03,NA,NA
2/3,Throckmorton,80+ years,140,82,58,2021-03-03,NA,NA
2/3,Wichita,16-49 years,6979,4111,2868,2021-03-03,NA,NA
2/3,Wichita,50-64 years,7450,4470,2980,2021-03-03,NA,NA
2/3,Wichita,65-79 years,12607,7163,5444,2021-03-03,NA,NA
2/3,Wichita,80+ years,4557,2707,1850,2021-03-03,NA,NA
2/3,Wichita,Unknown,13,9,4,2021-03-03,NA,NA
2/3,Wilbarger,16-49 years,1221,723,498,2021-03-03,NA,NA
2/3,Wilbarger,50-64 years,966,664,302,2021-03-03,NA,NA
2/3,Wilbarger,65-79 years,1395,1011,384,2021-03-03,NA,NA
2/3,Wilbarger,80+ years,432,307,125,2021-03-03,NA,NA
2/3,Wilbarger,Unknown,5,4,1,2021-03-03,NA,NA
2/3,Wise,16-49 years,2175,1342,833,2021-03-03,NA,NA
2/3,Wise,50-64 years,2360,1572,788,2021-03-03,NA,NA
2/3,Wise,65-79 years,4814,3070,1744,2021-03-03,NA,NA
2/3,Wise,80+ years,1433,928,505,2021-03-03,NA,NA
2/3,Young,16-49 years,557,344,213,2021-03-03,NA,NA
2/3,Young,50-64 years,747,516,231,2021-03-03,NA,NA
2/3,Young,65-79 years,1683,1123,560,2021-03-03,NA,NA
2/3,Young,80+ years,672,456,216,2021-03-03,NA,NA
4/5N,Anderson,16-49 years,899,541,358,2021-03-03,NA,NA
4/5N,Anderson,50-64 years,1158,712,446,2021-03-03,NA,NA
4/5N,Anderson,65-79 years,2325,1474,851,2021-03-03,NA,NA
4/5N,Anderson,80+ years,712,452,260,2021-03-03,NA,NA
4/5N,Anderson,Unknown,1,1,0,2021-03-03,NA,NA
4/5N,Angelina,16-49 years,3717,2273,1444,2021-03-03,NA,NA
4/5N,Angelina,50-64 years,4322,2778,1544,2021-03-03,NA,NA
4/5N,Angelina,65-79 years,6255,4190,2065,2021-03-03,NA,NA
4/5N,Angelina,80+ years,2205,1498,707,2021-03-03,NA,NA
4/5N,Angelina,Unknown,11,9,2,2021-03-03,NA,NA
4/5N,Bowie,16-49 years,2568,1565,1003,2021-03-03,NA,NA
4/5N,Bowie,50-64 years,2491,1581,910,2021-03-03,NA,NA
4/5N,Bowie,65-79 years,3482,2417,1065,2021-03-03,NA,NA
4/5N,Bowie,80+ years,1421,942,479,2021-03-03,NA,NA
4/5N,Bowie,Unknown,10,8,2,2021-03-03,NA,NA
4/5N,Camp,16-49 years,376,225,151,2021-03-03,NA,NA
4/5N,Camp,50-64 years,371,240,131,2021-03-03,NA,NA
4/5N,Camp,65-79 years,731,489,242,2021-03-03,NA,NA
4/5N,Camp,80+ years,241,181,60,2021-03-03,NA,NA
4/5N,Cass,16-49 years,444,275,169,2021-03-03,NA,NA
4/5N,Cass,50-64 years,547,347,200,2021-03-03,NA,NA
