"County","Date","TPR_CMS","Tests"
"Lampasas",2020-08-19,0.061,NA
"Lavaca",2020-08-19,0.25,NA
"Lee",2020-08-19,0.105,NA
"Leon",2020-08-19,0.117,NA
"Liberty",2020-08-19,0.138,NA
"Limestone",2020-08-19,0.219,NA
"Lipscomb",2020-08-19,NA,NA
"Live Oak",2020-08-19,0.26,NA
"Llano",2020-08-19,0,NA
"Loving",2020-08-19,NA,NA
"Lubbock",2020-08-19,0.064,NA
"Lynn",2020-08-19,NA,NA
"Madison",2020-08-19,0.067,NA
"Marion",2020-08-19,0.261,NA
"Martin",2020-08-19,0.167,NA
"Mason",2020-08-19,0.118,NA
"Matagorda",2020-08-19,0.155,NA
"Maverick",2020-08-19,0.258,NA
"McCulloch",2020-08-19,0.045,NA
"McLennan",2020-08-19,0.093,NA
"McMullen",2020-08-19,NA,NA
"Medina",2020-08-19,0.253,NA
"Menard",2020-08-19,NA,NA
"Midland",2020-08-19,0.06,NA
"Milam",2020-08-19,0.193,NA
"Mills",2020-08-19,NA,NA
"Mitchell",2020-08-19,NA,NA
"Montague",2020-08-19,0.102,NA
"Montgomery",2020-08-19,0.086,NA
"Moore",2020-08-19,0.024,NA
"Morris",2020-08-19,0.095,NA
"Motley",2020-08-19,NA,NA
"Nacogdoches",2020-08-19,0.131,NA
"Navarro",2020-08-19,0.07,NA
"Newton",2020-08-19,0.105,NA
"Nolan",2020-08-19,0.3,NA
"Nueces",2020-08-19,0.171,NA
"Ochiltree",2020-08-19,NA,NA
"Oldham",2020-08-19,NA,NA
"Orange",2020-08-19,0.077,NA
"Palo Pinto",2020-08-19,0.198,NA
"Panola",2020-08-19,0.045,NA
"Parker",2020-08-19,0.116,NA
"Parmer",2020-08-19,0,NA
"Pecos",2020-08-19,0.043,NA
"Polk",2020-08-19,0.04,NA
"Potter",2020-08-19,0.085,NA
"Presidio",2020-08-19,0.036,NA
"Rains",2020-08-19,0.118,NA
"Randall",2020-08-19,0.059,NA
"Reagan",2020-08-19,0.167,NA
"Real",2020-08-19,0,NA
"Red River",2020-08-19,0,NA
"Reeves",2020-08-19,0.134,NA
"Refugio",2020-08-19,0.163,NA
"Roberts",2020-08-19,NA,NA
"Robertson",2020-08-19,0.14,NA
"Rockwall",2020-08-19,0.049,NA
"Runnels",2020-08-19,0.2,NA
"Rusk",2020-08-19,0.217,NA
"Sabine",2020-08-19,0.114,NA
"San Augustine",2020-08-19,0.2,NA
"San Jacinto",2020-08-19,0.026,NA
"San Patricio",2020-08-19,0.196,NA
"San Saba",2020-08-19,0.25,NA
"Schleicher",2020-08-19,0.286,NA
"Scurry",2020-08-19,NA,NA
"Shackelford",2020-08-19,NA,NA
"Shelby",2020-08-19,0.184,NA
"Sherman",2020-08-19,NA,NA
"Smith",2020-08-19,0.171,NA
"Somervell",2020-08-19,NA,NA
"Starr",2020-08-19,0.217,NA
"Stephens",2020-08-19,0,NA
"Sterling",2020-08-19,NA,NA
"Stonewall",2020-08-19,NA,NA
"Sutton",2020-08-19,0.304,NA
"Swisher",2020-08-19,0.118,NA
"Tarrant",2020-08-19,0.11,NA
"Taylor",2020-08-19,0.132,NA
"Terrell",2020-08-19,NA,NA
"Terry",2020-08-19,0.459,NA
"Throckmorton",2020-08-19,NA,NA
"Titus",2020-08-19,0.052,NA
"Tom Green",2020-08-19,0.139,NA
"Travis",2020-08-19,0.068,NA
"Trinity",2020-08-19,0.024,NA
"Tyler",2020-08-19,0.182,NA
"Upshur",2020-08-19,0.223,NA
"Upton",2020-08-19,NA,NA
"Uvalde",2020-08-19,0.231,NA
"Val Verde",2020-08-19,0.36,NA
"Van Zandt",2020-08-19,0.162,NA
"Victoria",2020-08-19,0.172,NA
"Walker",2020-08-19,0.127,NA
"Waller",2020-08-19,0.089,NA
"Ward",2020-08-19,0.017,NA
"Washington",2020-08-19,0.024,NA
"Webb",2020-08-19,0.2,NA
"Wharton",2020-08-19,0.159,NA
"Wheeler",2020-08-19,0.083,NA
"Wichita",2020-08-19,0.111,NA
"Wilbarger",2020-08-19,0.269,NA
"Willacy",2020-08-19,0.194,NA
"Williamson",2020-08-19,0.068,NA
"Wilson",2020-08-19,0.101,NA
"Winkler",2020-08-19,NA,NA
"Wise",2020-08-19,0.05,NA
"Wood",2020-08-19,0.143,NA
"Yoakum",2020-08-19,NA,NA
"Young",2020-08-19,0.1,NA
"Zapata",2020-08-19,0.076,NA
"Zavala",2020-08-19,0.041,NA
"Anderson",2020-08-26,0.193,NA
"Andrews",2020-08-26,0.211,NA
"Angelina",2020-08-26,0.098,NA
"Aransas",2020-08-26,0.034,NA
"Archer",2020-08-26,0.231,NA
"Armstrong",2020-08-26,NA,NA
"Atascosa",2020-08-26,0.174,NA
"Austin",2020-08-26,0.092,NA
"Bailey",2020-08-26,NA,NA
"Bandera",2020-08-26,0.128,NA
"Bastrop",2020-08-26,0.091,NA
"Baylor",2020-08-26,NA,NA
"Bee",2020-08-26,0.229,NA
"Bell",2020-08-26,0.067,NA
"Bexar",2020-08-26,0.132,NA
"Blanco",2020-08-26,0.107,NA
"Borden",2020-08-26,NA,NA
"Bosque",2020-08-26,0.099,NA
"Bowie",2020-08-26,0.115,NA
"Brazoria",2020-08-26,0.074,NA
"Brazos",2020-08-26,0.107,NA
"Brewster",2020-08-26,0.008,NA
"Briscoe",2020-08-26,NA,NA
"Brooks",2020-08-26,0.144,NA
"Brown",2020-08-26,0.131,NA
"Burleson",2020-08-26,0.107,NA
"Burnet",2020-08-26,0.431,NA
"Caldwell",2020-08-26,0.161,NA
"Calhoun",2020-08-26,0.152,NA
"Callahan",2020-08-26,0.1,NA
"Cameron",2020-08-26,0.216,NA
"Camp",2020-08-26,0.043,NA
"Carson",2020-08-26,NA,NA
"Cass",2020-08-26,0.117,NA
"Castro",2020-08-26,0.417,NA
"Chambers",2020-08-26,0.121,NA
"Cherokee",2020-08-26,0.154,NA
"Childress",2020-08-26,NA,NA
"Clay",2020-08-26,0.059,NA
"Cochran",2020-08-26,NA,NA
"Coke",2020-08-26,0.133,NA
"Coleman",2020-08-26,0.143,NA
"Collin",2020-08-26,0.051,NA
"Collingsworth",2020-08-26,0.2,NA
"Colorado",2020-08-26,0.058,NA
"Comal",2020-08-26,0.058,NA
"Comanche",2020-08-26,0.077,NA
"Concho",2020-08-26,0.45,NA
"Cooke",2020-08-26,0.125,NA
"Coryell",2020-08-26,0.227,NA
"Cottle",2020-08-26,NA,NA
"Crane",2020-08-26,0.025,NA
"Crockett",2020-08-26,0.2,NA
"Crosby",2020-08-26,NA,NA
"Culberson",2020-08-26,NA,NA
"Dallam",2020-08-26,0.154,NA
"Dallas",2020-08-26,0.105,NA
"Dawson",2020-08-26,0.069,NA
"Deaf Smith",2020-08-26,0.361,NA
"Delta",2020-08-26,0,NA
"Denton",2020-08-26,0.066,NA
"DeWitt",2020-08-26,0.359,NA
"Dickens",2020-08-26,NA,NA
"Dimmit",2020-08-26,0.242,NA
"Donley",2020-08-26,0.13,NA
"Duval",2020-08-26,0.158,NA
"Eastland",2020-08-26,0.062,NA
"Ector",2020-08-26,0.211,NA
"Edwards",2020-08-26,NA,NA
"El Paso",2020-08-26,0.062,NA
"Ellis",2020-08-26,0.077,NA
"Erath",2020-08-26,0.058,NA
"Falls",2020-08-26,0.15,NA
"Fannin",2020-08-26,0.032,NA
"Fayette",2020-08-26,0.037,NA
"Fisher",2020-08-26,NA,NA
"Floyd",2020-08-26,NA,NA
"Foard",2020-08-26,NA,NA
"Fort Bend",2020-08-26,0.057,NA
"Franklin",2020-08-26,0.025,NA
"Freestone",2020-08-26,0.228,NA
"Frio",2020-08-26,0.197,NA
"Gaines",2020-08-26,NA,NA
"Galveston",2020-08-26,0.079,NA
"Garza",2020-08-26,NA,NA
"Gillespie",2020-08-26,0.048,NA
"Glasscock",2020-08-26,NA,NA
"Goliad",2020-08-26,0.227,NA
"Gonzales",2020-08-26,0.185,NA
"Gray",2020-08-26,0.065,NA
"Grayson",2020-08-26,0.105,NA
"Gregg",2020-08-26,0.121,NA
"Grimes",2020-08-26,0.043,NA
"Guadalupe",2020-08-26,0.095,NA
