"County","Date","TPR_CMS","Tests"
"Pecos",2020-09-02,0.156,NA
"Polk",2020-09-02,0.087,NA
"Potter",2020-09-02,0.118,NA
"Presidio",2020-09-02,0.024,NA
"Rains",2020-09-02,0.088,NA
"Randall",2020-09-02,0.066,NA
"Reagan",2020-09-02,0.478,NA
"Real",2020-09-02,NA,NA
"Red River",2020-09-02,0.012,NA
"Reeves",2020-09-02,0.052,NA
"Refugio",2020-09-02,0.229,NA
"Roberts",2020-09-02,NA,NA
"Robertson",2020-09-02,0.051,NA
"Rockwall",2020-09-02,0.063,NA
"Runnels",2020-09-02,0.142,NA
"Rusk",2020-09-02,0.326,NA
"Sabine",2020-09-02,0.13,NA
"San Augustine",2020-09-02,0.259,NA
"San Jacinto",2020-09-02,0,NA
"San Patricio",2020-09-02,0.102,NA
"San Saba",2020-09-02,NA,NA
"Schleicher",2020-09-02,NA,NA
"Scurry",2020-09-02,NA,NA
"Shackelford",2020-09-02,NA,NA
"Shelby",2020-09-02,0.171,NA
"Sherman",2020-09-02,NA,NA
"Smith",2020-09-02,0.11,NA
"Somervell",2020-09-02,0,NA
"Starr",2020-09-02,0.134,NA
"Stephens",2020-09-02,0,NA
"Sterling",2020-09-02,0.438,NA
"Stonewall",2020-09-02,NA,NA
"Sutton",2020-09-02,0.059,NA
"Swisher",2020-09-02,0.052,NA
"Tarrant",2020-09-02,0.088,NA
"Taylor",2020-09-02,0.199,NA
"Terrell",2020-09-02,NA,NA
"Terry",2020-09-02,NA,NA
"Throckmorton",2020-09-02,NA,NA
"Titus",2020-09-02,0.031,NA
"Tom Green",2020-09-02,0.137,NA
"Travis",2020-09-02,0.086,NA
"Trinity",2020-09-02,0.029,NA
"Tyler",2020-09-02,0.265,NA
"Upshur",2020-09-02,0.092,NA
"Upton",2020-09-02,0.067,NA
"Uvalde",2020-09-02,0.22,NA
"Val Verde",2020-09-02,0.401,NA
"Van Zandt",2020-09-02,0.123,NA
"Victoria",2020-09-02,0.119,NA
"Walker",2020-09-02,0.177,NA
"Waller",2020-09-02,0.073,NA
"Ward",2020-09-02,0.111,NA
"Washington",2020-09-02,0.035,NA
"Webb",2020-09-02,0.16,NA
"Wharton",2020-09-02,0.082,NA
"Wheeler",2020-09-02,0.05,NA
"Wichita",2020-09-02,0.057,NA
"Wilbarger",2020-09-02,0.152,NA
"Willacy",2020-09-02,0.146,NA
"Williamson",2020-09-02,0.042,NA
"Wilson",2020-09-02,0.07,NA
"Winkler",2020-09-02,NA,NA
"Wise",2020-09-02,0.022,NA
"Wood",2020-09-02,0.106,NA
"Yoakum",2020-09-02,0.119,NA
"Young",2020-09-02,0.189,NA
"Zapata",2020-09-02,0.119,NA
"Zavala",2020-09-02,0.125,NA
"Anderson",2020-09-09,0.232,1157
"Andrews",2020-09-09,0.182,22
"Angelina",2020-09-09,0.076,806
"Aransas",2020-09-09,0.091,55
"Archer",2020-09-09,0.077,26
"Armstrong",2020-09-09,NA,NA
"Atascosa",2020-09-09,0.11,507
"Austin",2020-09-09,0.081,246
"Bailey",2020-09-09,NA,NA
"Bandera",2020-09-09,0.068,73
"Bastrop",2020-09-09,0.062,547
"Baylor",2020-09-09,NA,NA
"Bee",2020-09-09,0.24,413
"Bell",2020-09-09,0.062,2391
"Bexar",2020-09-09,0.096,18318
"Blanco",2020-09-09,0.054,56
"Borden",2020-09-09,NA,NA
"Bosque",2020-09-09,0.121,231
"Bowie",2020-09-09,0.14,848
"Brazoria",2020-09-09,0.052,6795
"Brazos",2020-09-09,0.088,4289
"Brewster",2020-09-09,0.05,281
"Briscoe",2020-09-09,NA,NA
"Brooks",2020-09-09,0.089,404
"Brown",2020-09-09,0.112,169
"Burleson",2020-09-09,0.022,45
"Burnet",2020-09-09,0.165,399
"Caldwell",2020-09-09,0.101,337
"Calhoun",2020-09-09,0.15,233
"Callahan",2020-09-09,0,29
"Cameron",2020-09-09,0.185,4373
"Camp",2020-09-09,0.081,136
"Carson",2020-09-09,0,30
"Cass",2020-09-09,0.049,473
"Castro",2020-09-09,0.185,27
"Chambers",2020-09-09,0.085,388
"Cherokee",2020-09-09,0.108,332
"Childress",2020-09-09,0.125,32
"Clay",2020-09-09,0.03,33
"Cochran",2020-09-09,NA,NA
"Coke",2020-09-09,0.113,53
"Coleman",2020-09-09,0.053,57
"Collin",2020-09-09,0.055,14858
"Collingsworth",2020-09-09,0.15,20
"Colorado",2020-09-09,0.102,137
"Comal",2020-09-09,0.075,1086
"Comanche",2020-09-09,0.134,67
"Concho",2020-09-09,0.245,49
"Cooke",2020-09-09,0.099,324
"Coryell",2020-09-09,0.213,5107
"Cottle",2020-09-09,NA,NA
"Crane",2020-09-09,0.023,213
"Crockett",2020-09-09,NA,NA
"Crosby",2020-09-09,NA,NA
"Culberson",2020-09-09,0.475,40
"Dallam",2020-09-09,0.15,20
"Dallas",2020-09-09,0.1,29814
"Dawson",2020-09-09,0.104,135
"Deaf Smith",2020-09-09,0.099,71
"Delta",2020-09-09,0.16,25
"Denton",2020-09-09,0.07,7094
"DeWitt",2020-09-09,0.247,215
"Dickens",2020-09-09,NA,NA
"Dimmit",2020-09-09,0.129,93
"Donley",2020-09-09,0.083,36
"Duval",2020-09-09,0.159,295
"Eastland",2020-09-09,0.204,103
"Ector",2020-09-09,0.129,839
"Edwards",2020-09-09,NA,NA
"Ellis",2020-09-09,0.081,2031
"El Paso",2020-09-09,0.075,7674
"Erath",2020-09-09,0.15,287
"Falls",2020-09-09,0.175,120
"Fannin",2020-09-09,0.099,283
"Fayette",2020-09-09,0.104,163
"Fisher",2020-09-09,0.542,24
"Floyd",2020-09-09,0.125,32
"Foard",2020-09-09,NA,NA
"Fort Bend",2020-09-09,0.06,8382
"Franklin",2020-09-09,0.05,119
"Freestone",2020-09-09,0.08,50
"Frio",2020-09-09,0.184,305
"Gaines",2020-09-09,0.061,33
"Galveston",2020-09-09,0.061,5682
"Garza",2020-09-09,NA,NA
"Gillespie",2020-09-09,0.067,297
"Glasscock",2020-09-09,NA,NA
"Goliad",2020-09-09,0.094,32
"Gonzales",2020-09-09,0.137,124
"Gray",2020-09-09,0.099,203
"Grayson",2020-09-09,0.112,1737
"Gregg",2020-09-09,0.082,1730
"Grimes",2020-09-09,0.016,371
"Guadalupe",2020-09-09,0.042,804
"Hale",2020-09-09,0.213,136
"Hall",2020-09-09,NA,NA
"Hamilton",2020-09-09,0.007,134
"Hansford",2020-09-09,0,20
"Hardeman",2020-09-09,NA,NA
"Hardin",2020-09-09,0.101,257
"Harris",2020-09-09,0.074,55995
"Harrison",2020-09-09,0.101,308
"Hartley",2020-09-09,NA,NA
"Haskell",2020-09-09,NA,NA
"Hays",2020-09-09,0.08,2936
"Hemphill",2020-09-09,0.023,86
"Henderson",2020-09-09,0.116,310
"Hidalgo",2020-09-09,0.182,7781
"Hill",2020-09-09,0.069,1176
"Hockley",2020-09-09,0.16,25
"Hood",2020-09-09,0.045,358
"Hopkins",2020-09-09,0.075,495
"Houston",2020-09-09,0.136,118
"Howard",2020-09-09,0.161,87
"Hudspeth",2020-09-09,0.182,22
"Hunt",2020-09-09,0.077,1069
"Hutchinson",2020-09-09,0.096,197
"Irion",2020-09-09,NA,NA
"Jack",2020-09-09,NA,NA
"Jackson",2020-09-09,0.199,171
"Jasper",2020-09-09,0.17,88
"Jeff Davis",2020-09-09,0.132,38
"Jefferson",2020-09-09,0.111,2366
"Jim Hogg",2020-09-09,0.028,141
"Jim Wells",2020-09-09,0.12,1395
"Johnson",2020-09-09,0.075,1461
"Jones",2020-09-09,0.267,30
"Karnes",2020-09-09,0.052,115
"Kaufman",2020-09-09,0.079,957
"Kendall",2020-09-09,0.019,428
"Kenedy",2020-09-09,NA,NA
"Kent",2020-09-09,NA,NA
"Kerr",2020-09-09,0.019,569
"Kimble",2020-09-09,0,61
"King",2020-09-09,NA,NA
"Kinney",2020-09-09,0.205,44
"Kleberg",2020-09-09,0.143,776
"Knox",2020-09-09,NA,NA
"Lamar",2020-09-09,0.101,119
"Lamb",2020-09-09,0.056,54
"Lampasas",2020-09-09,0.07,270
"La Salle",2020-09-09,0.057,53
"Lavaca",2020-09-09,0.111,287
"Lee",2020-09-09,0.138,87
"Leon",2020-09-09,0.059,101
"Liberty",2020-09-09,0.181,1732
"Limestone",2020-09-09,0.13,239
"Lipscomb",2020-09-09,NA,NA
"Live Oak",2020-09-09,0.165,85
"Llano",2020-09-09,0.016,128
"Loving",2020-09-09,NA,NA
"Lubbock",2020-09-09,0.169,1163
"Lynn",2020-09-09,NA,NA
"McCulloch",2020-09-09,0.216,74
"McLennan",2020-09-09,0.106,2805
"McMullen",2020-09-09,NA,NA
"Madison",2020-09-09,0.064,78
"Marion",2020-09-09,0.182,55
"Martin",2020-09-09,NA,NA
"Mason",2020-09-09,0.044,45
"Matagorda",2020-09-09,0.125,480
"Maverick",2020-09-09,0.201,1268
"Medina",2020-09-09,0.15,254
"Menard",2020-09-09,0.036,83
"Midland",2020-09-09,0.073,714
"Milam",2020-09-09,0.127,71
"Mills",2020-09-09,NA,NA
"Mitchell",2020-09-09,0.2,20
"Montague",2020-09-09,0.157,89
"Montgomery",2020-09-09,0.074,4877
"Moore",2020-09-09,0.043,115
"Morris",2020-09-09,0.031,159
"Motley",2020-09-09,NA,NA
"Nacogdoches",2020-09-09,0.163,915
"Navarro",2020-09-09,0.164,287
"Newton",2020-09-09,0.111,36
"Nolan",2020-09-09,0.317,101
"Nueces",2020-09-09,0.116,1949
"Ochiltree",2020-09-09,NA,NA
"Oldham",2020-09-09,NA,NA
"Orange",2020-09-09,0.075,345
"Palo Pinto",2020-09-09,0.17,212
"Panola",2020-09-09,0.194,170
"Parker",2020-09-09,0.083,914
"Parmer",2020-09-09,0.097,31
"Pecos",2020-09-09,0.141,320
"Polk",2020-09-09,0.077,349
"Potter",2020-09-09,0.119,833
"Presidio",2020-09-09,0.026,382
"Rains",2020-09-09,0.13,54
"Randall",2020-09-09,0.079,1119
"Reagan",2020-09-09,0.48,25
"Real",2020-09-09,NA,NA
"Red River",2020-09-09,0.013,152
"Reeves",2020-09-09,0.033,180
"Refugio",2020-09-09,0.2,55
"Roberts",2020-09-09,NA,NA
"Robertson",2020-09-09,0.062,81
"Rockwall",2020-09-09,0.051,1305
"Runnels",2020-09-09,0.129,224
"Rusk",2020-09-09,0.309,223
"Sabine",2020-09-09,0.064,47
"San Augustine",2020-09-09,0.216,51
"San Jacinto",2020-09-09,0.019,104
"San Patricio",2020-09-09,0.104,316
"San Saba",2020-09-09,NA,NA
"Schleicher",2020-09-09,NA,NA
"Scurry",2020-09-09,0.04,50
"Shackelford",2020-09-09,NA,NA
"Shelby",2020-09-09,0.119,337
"Sherman",2020-09-09,NA,NA
"Smith",2020-09-09,0.098,2403
"Somervell",2020-09-09,0.03,33
"Starr",2020-09-09,0.149,961
"Stephens",2020-09-09,0.038,26
"Sterling",2020-09-09,0.32,25
"Stonewall",2020-09-09,NA,NA
"Sutton",2020-09-09,0.045,22
"Swisher",2020-09-09,0.03,99
"Tarrant",2020-09-09,0.093,15780
"Taylor",2020-09-09,0.159,647
"Terrell",2020-09-09,NA,NA
"Terry",2020-09-09,NA,NA
"Throckmorton",2020-09-09,NA,NA
"Titus",2020-09-09,0.033,798
"Tom Green",2020-09-09,0.111,1636
"Travis",2020-09-09,0.092,13063
"Trinity",2020-09-09,0.04,101
"Tyler",2020-09-09,0.116,86
"Upshur",2020-09-09,0.099,352
"Upton",2020-09-09,NA,NA
"Uvalde",2020-09-09,0.179,229
"Val Verde",2020-09-09,0.16,752
"Van Zandt",2020-09-09,0.096,125
"Victoria",2020-09-09,0.116,440
"Walker",2020-09-09,0.146,1617
"Waller",2020-09-09,0.061,1070
"Ward",2020-09-09,0.072,125
"Washington",2020-09-09,0.013,239
"Webb",2020-09-09,0.162,7302
"Wharton",2020-09-09,0.072,636
"Wheeler",2020-09-09,0.071,28
"Wichita",2020-09-09,0.058,829
"Wilbarger",2020-09-09,0.128,117
"Willacy",2020-09-09,0.142,571
"Williamson",2020-09-09,0.041,4028
"Wilson",2020-09-09,0.083,338
"Winkler",2020-09-09,NA,NA
"Wise",2020-09-09,0.028,821
"Wood",2020-09-09,0.149,523
"Yoakum",2020-09-09,0.111,63
"Young",2020-09-09,0.116,69
"Zapata",2020-09-09,0.113,398
"Zavala",2020-09-09,0.164,73
"Anderson",2020-09-16,0.285,1258
"Andrews",2020-09-16,0.1,30
"Angelina",2020-09-16,0.06,1067
"Aransas",2020-09-16,0.082,85
"Archer",2020-09-16,0,22
"Armstrong",2020-09-16,NA,NA
"Atascosa",2020-09-16,0.126,469
"Austin",2020-09-16,0.053,379
"Bailey",2020-09-16,NA,NA
"Bandera",2020-09-16,0.08,87
"Bastrop",2020-09-16,0.036,603
"Baylor",2020-09-16,NA,NA
"Bee",2020-09-16,0.177,243
"Bell",2020-09-16,0.048,1727
"Bexar",2020-09-16,0.075,20052
"Blanco",2020-09-16,0.026,39
"Borden",2020-09-16,NA,NA
"Bosque",2020-09-16,0.133,309
"Bowie",2020-09-16,0.1,1339
"Brazoria",2020-09-16,0.045,7625
"Brazos",2020-09-16,0.063,5880
"Brewster",2020-09-16,0.054,147
"Briscoe",2020-09-16,NA,NA
"Brooks",2020-09-16,0.131,229
"Brown",2020-09-16,0.087,172
"Burleson",2020-09-16,0.016,63
"Burnet",2020-09-16,0.041,193
"Caldwell",2020-09-16,0.09,324
"Calhoun",2020-09-16,0.091,287
"Callahan",2020-09-16,0.041,49
"Cameron",2020-09-16,0.152,4185
"Camp",2020-09-16,0.093,162
"Carson",2020-09-16,0.05,40
"Cass",2020-09-16,0.075,557
"Castro",2020-09-16,0.041,148
"Chambers",2020-09-16,0.061,506
"Cherokee",2020-09-16,0.147,334
"Childress",2020-09-16,0.1,30
"Clay",2020-09-16,0.07,43
"Cochran",2020-09-16,NA,NA
"Coke",2020-09-16,0.081,37
"Coleman",2020-09-16,0.098,51
"Collin",2020-09-16,0.055,16697
"Collingsworth",2020-09-16,NA,NA
"Colorado",2020-09-16,0.033,184
"Comal",2020-09-16,0.056,1250
"Comanche",2020-09-16,0.115,52
"Concho",2020-09-16,0.031,96
"Cooke",2020-09-16,0.104,374
"Coryell",2020-09-16,0.173,2243
"Cottle",2020-09-16,NA,NA
"Crane",2020-09-16,0.019,261
"Crockett",2020-09-16,0.042,24
"Crosby",2020-09-16,0,28
"Culberson",2020-09-16,0.318,44
"Dallam",2020-09-16,0.143,28
"Dallas",2020-09-16,0.085,35568
"Dawson",2020-09-16,0.136,184
"DeWitt",2020-09-16,0.145,241
"Deaf Smith",2020-09-16,0.157,89
"Delta",2020-09-16,0.1,30
"Denton",2020-09-16,0.069,8444
"Dickens",2020-09-16,0.026,38
"Dimmit",2020-09-16,0.125,80
"Donley",2020-09-16,0.115,26
"Duval",2020-09-16,0.062,658
"Eastland",2020-09-16,0.105,86
"Ector",2020-09-16,0.082,985
"Edwards",2020-09-16,NA,NA
"El Paso",2020-09-16,0.065,9131
"Ellis",2020-09-16,0.08,2327
"Erath",2020-09-16,0.119,268
"Falls",2020-09-16,0.13,123
"Fannin",2020-09-16,0.057,317
"Fayette",2020-09-16,0.097,288
"Fisher",2020-09-16,NA,NA
"Floyd",2020-09-16,0.2,35
"Foard",2020-09-16,NA,NA
"Fort Bend",2020-09-16,0.047,9869
"Franklin",2020-09-16,0.093,107
"Freestone",2020-09-16,0.016,123
"Frio",2020-09-16,0.069,317
"Gaines",2020-09-16,0.156,45
"Galveston",2020-09-16,0.051,6982
"Garza",2020-09-16,NA,NA
"Gillespie",2020-09-16,0.051,351
"Glasscock",2020-09-16,NA,NA
"Goliad",2020-09-16,0.077,39
"Gonzales",2020-09-16,0.085,130
"Gray",2020-09-16,0.057,194
"Grayson",2020-09-16,0.071,2833
"Gregg",2020-09-16,0.078,1593
"Grimes",2020-09-16,0.028,396
"Guadalupe",2020-09-16,0.047,939
"Hale",2020-09-16,0.103,445
"Hall",2020-09-16,NA,NA
"Hamilton",2020-09-16,0.024,126
"Hansford",2020-09-16,0.2,20
"Hardeman",2020-09-16,NA,NA
"Hardin",2020-09-16,0.1,290
"Harris",2020-09-16,0.055,66143
"Harrison",2020-09-16,0.08,436
"Hartley",2020-09-16,NA,NA
"Haskell",2020-09-16,NA,NA
"Hays",2020-09-16,0.097,2833
"Hemphill",2020-09-16,0.014,74
"Henderson",2020-09-16,0.091,320
"Hidalgo",2020-09-16,0.153,7695
"Hill",2020-09-16,0.067,1756
"Hockley",2020-09-16,0.18,61
"Hood",2020-09-16,0.071,353
"Hopkins",2020-09-16,0.09,465
"Houston",2020-09-16,0.028,181
"Howard",2020-09-16,0.078,268
"Hudspeth",2020-09-16,0.065,31
"Hunt",2020-09-16,0.077,831
"Hutchinson",2020-09-16,0.077,300
"Irion",2020-09-16,NA,NA
"Jack",2020-09-16,0.037,27
"Jackson",2020-09-16,0.149,141
"Jasper",2020-09-16,0.169,201
"Jeff Davis",2020-09-16,NA,NA
"Jefferson",2020-09-16,0.085,3796
"Jim Hogg",2020-09-16,0.1,40
"Jim Wells",2020-09-16,0.095,1312
"Johnson",2020-09-16,0.064,1932
"Jones",2020-09-16,0.25,28
"Karnes",2020-09-16,0.088,91
"Kaufman",2020-09-16,0.082,1146
"Kendall",2020-09-16,0.032,249
"Kenedy",2020-09-16,NA,NA
"Kent",2020-09-16,NA,NA
"Kerr",2020-09-16,0.022,369
"Kimble",2020-09-16,0,88
"King",2020-09-16,NA,NA
"Kinney",2020-09-16,0.08,113
"Kleberg",2020-09-16,0.101,796
"Knox",2020-09-16,NA,NA
"La Salle",2020-09-16,0.099,81
"Lamar",2020-09-16,0.067,179
"Lamb",2020-09-16,0.129,70
"Lampasas",2020-09-16,0.082,305
"Lavaca",2020-09-16,0.185,195
"Lee",2020-09-16,0.132,106
"Leon",2020-09-16,0.033,92
"Liberty",2020-09-16,0.201,2398
"Limestone",2020-09-16,0.099,213
"Lipscomb",2020-09-16,NA,NA
"Live Oak",2020-09-16,0.087,69
"Llano",2020-09-16,0.034,87
"Loving",2020-09-16,NA,NA
"Lubbock",2020-09-16,0.147,2903
"Lynn",2020-09-16,0.048,21
"Madison",2020-09-16,0.081,124
"Marion",2020-09-16,0.02,51
"Martin",2020-09-16,NA,NA
"Mason",2020-09-16,0.032,31
"Matagorda",2020-09-16,0.095,610
"Maverick",2020-09-16,0.178,1312
"McCulloch",2020-09-16,0.08,112
"McLennan",2020-09-16,0.121,2614
"McMullen",2020-09-16,NA,NA
"Medina",2020-09-16,0.133,315
"Menard",2020-09-16,0.03,198
"Midland",2020-09-16,0.036,942
"Milam",2020-09-16,0.057,88
"Mills",2020-09-16,0,91
"Mitchell",2020-09-16,0.2,20
"Montague",2020-09-16,0.087,104
"Montgomery",2020-09-16,0.06,6630
"Moore",2020-09-16,0.047,128
"Morris",2020-09-16,0.051,137
"Motley",2020-09-16,NA,NA
"Nacogdoches",2020-09-16,0.13,1079
"Navarro",2020-09-16,0.107,347
"Newton",2020-09-16,0.145,69
"Nolan",2020-09-16,0.357,126
"Nueces",2020-09-16,0.07,2574
"Ochiltree",2020-09-16,0,24
"Oldham",2020-09-16,0.091,22
"Orange",2020-09-16,0.061,655
"Palo Pinto",2020-09-16,0.163,251
"Panola",2020-09-16,0.097,411
"Parker",2020-09-16,0.064,963
"Parmer",2020-09-16,0.077,26
"Pecos",2020-09-16,0.083,314
"Polk",2020-09-16,0.041,465
"Potter",2020-09-16,0.14,1203
"Presidio",2020-09-16,0.042,24
"Rains",2020-09-16,0.205,44
"Randall",2020-09-16,0.097,1353
"Reagan",2020-09-16,NA,NA
"Real",2020-09-16,NA,NA
"Red River",2020-09-16,0,155
"Reeves",2020-09-16,0.019,415
"Refugio",2020-09-16,0.05,80
"Roberts",2020-09-16,NA,NA
"Robertson",2020-09-16,0.032,311
"Rockwall",2020-09-16,0.044,1890
"Runnels",2020-09-16,0.157,185
"Rusk",2020-09-16,0.264,220
"Sabine",2020-09-16,0,82
"San Augustine",2020-09-16,0.042,236
"San Jacinto",2020-09-16,0.038,158
"San Patricio",2020-09-16,0.074,340
"San Saba",2020-09-16,0,24
"Schleicher",2020-09-16,NA,NA
"Scurry",2020-09-16,0.118,34
"Shackelford",2020-09-16,NA,NA
"Shelby",2020-09-16,0.043,773
"Sherman",2020-09-16,NA,NA
"Smith",2020-09-16,0.062,3035
"Somervell",2020-09-16,0.016,63
"Starr",2020-09-16,0.146,946
"Stephens",2020-09-16,0.08,25
"Sterling",2020-09-16,NA,NA
"Stonewall",2020-09-16,NA,NA
"Sutton",2020-09-16,0.276,29
"Swisher",2020-09-16,0.022,93
"Tarrant",2020-09-16,0.091,19340
"Taylor",2020-09-16,0.076,804
"Terrell",2020-09-16,NA,NA
"Terry",2020-09-16,0.087,23
"Throckmorton",2020-09-16,NA,NA
"Titus",2020-09-16,0.031,798
"Tom Green",2020-09-16,0.09,2082
"Travis",2020-09-16,0.055,14041
"Trinity",2020-09-16,0.024,127
"Tyler",2020-09-16,0.078,102
"Upshur",2020-09-16,0.088,375
"Upton",2020-09-16,NA,NA
"Uvalde",2020-09-16,0.101,227
"Val Verde",2020-09-16,0.115,940
"Van Zandt",2020-09-16,0.066,166
"Victoria",2020-09-16,0.116,510
"Walker",2020-09-16,0.13,2311
"Waller",2020-09-16,0.047,1072
"Ward",2020-09-16,0.031,129
"Washington",2020-09-16,0.016,183
"Webb",2020-09-16,0.166,6322
"Wharton",2020-09-16,0.09,525
"Wheeler",2020-09-16,0.05,20
"Wichita",2020-09-16,0.07,788
"Wilbarger",2020-09-16,0.122,123
"Willacy",2020-09-16,0.121,388
"Williamson",2020-09-16,0.04,5258
"Wilson",2020-09-16,0.076,314
"Winkler",2020-09-16,0.05,20
"Wise",2020-09-16,0.041,1084
"Wood",2020-09-16,0.179,604
"Yoakum",2020-09-16,0.089,146
"Young",2020-09-16,0.087,69
"Zapata",2020-09-16,0.094,286
"Zavala",2020-09-16,0.19,100
"Anderson",2020-09-23,0.11,344
"Andrews",2020-09-23,0.049,81
"Angelina",2020-09-23,0.071,1068
"Aransas",2020-09-23,0.082,85
"Archer",2020-09-23,0.143,35
"Armstrong",2020-09-23,0.038,26
"Atascosa",2020-09-23,0.05,1071
"Austin",2020-09-23,0.051,506
"Bailey",2020-09-23,NA,NA
"Bandera",2020-09-23,0.055,164
"Bastrop",2020-09-23,0.058,799
"Baylor",2020-09-23,NA,NA
"Bee",2020-09-23,0.152,329
"Bell",2020-09-23,0.029,6096
"Bexar",2020-09-23,0.061,28486
"Blanco",2020-09-23,0.011,87
"Borden",2020-09-23,NA,NA
"Bosque",2020-09-23,0.124,421
"Bowie",2020-09-23,0.105,1747
"Brazoria",2020-09-23,0.047,7163
"Brazos",2020-09-23,0.055,7240
"Brewster",2020-09-23,0.043,326
"Briscoe",2020-09-23,NA,NA
"Brooks",2020-09-23,0.089,463
"Brown",2020-09-23,0.067,341
"Burleson",2020-09-23,0.056,180
"Burnet",2020-09-23,0.034,499
"Caldwell",2020-09-23,0.069,394
"Calhoun",2020-09-23,0.081,344
"Callahan",2020-09-23,0.07,57
"Cameron",2020-09-23,0.133,5251
"Camp",2020-09-23,0.12,150
"Carson",2020-09-23,0.052,58
"Cass",2020-09-23,0.094,679
"Castro",2020-09-23,0.056,89
"Chambers",2020-09-23,0.061,593
"Cherokee",2020-09-23,0.123,416
"Childress",2020-09-23,0.086,35
"Clay",2020-09-23,0.022,46
"Cochran",2020-09-23,NA,NA
"Coke",2020-09-23,0.125,48
"Coleman",2020-09-23,0.074,94
"Collin",2020-09-23,0.049,21392
"Collingsworth",2020-09-23,0,20
"Colorado",2020-09-23,0.01,287
"Comal",2020-09-23,0.05,1650
"Comanche",2020-09-23,0.034,296
"Concho",2020-09-23,0.007,146
"Cooke",2020-09-23,0.091,503
"Coryell",2020-09-23,0.042,1093
"Cottle",2020-09-23,NA,NA
"Crane",2020-09-23,0.028,254
"Crockett",2020-09-23,0,24
"Crosby",2020-09-23,0.049,41
"Culberson",2020-09-23,0.178,90
"Dallam",2020-09-23,0.065,31
"Dallas",2020-09-23,0.074,47207
"Dawson",2020-09-23,0.213,239
"DeWitt",2020-09-23,0.188,186
"Deaf Smith",2020-09-23,0.149,101
"Delta",2020-09-23,0.105,38
"Denton",2020-09-23,0.059,11829
"Dickens",2020-09-23,NA,NA
"Dimmit",2020-09-23,0.119,118
"Donley",2020-09-23,0.147,34
"Duval",2020-09-23,0.055,975
"Eastland",2020-09-23,0.152,105
"Ector",2020-09-23,0.09,1472
"Edwards",2020-09-23,0,20
"El Paso",2020-09-23,0.079,12276
"Ellis",2020-09-23,0.073,3054
"Erath",2020-09-23,0.098,315
"Falls",2020-09-23,0.168,286
"Fannin",2020-09-23,0.023,1456
"Fayette",2020-09-23,0.094,352
"Fisher",2020-09-23,NA,NA
"Floyd",2020-09-23,0.163,43
"Foard",2020-09-23,NA,NA
"Fort Bend",2020-09-23,0.041,11569
"Franklin",2020-09-23,0.096,83
"Freestone",2020-09-23,0.019,268
"Frio",2020-09-23,0.056,358
"Gaines",2020-09-23,0.127,55
"Galveston",2020-09-23,0.042,7502
"Garza",2020-09-23,NA,NA
"Gillespie",2020-09-23,0.045,335
"Glasscock",2020-09-23,NA,NA
"Goliad",2020-09-23,0.065,31
"Gonzales",2020-09-23,0.025,438
"Gray",2020-09-23,0.104,230
"Grayson",2020-09-23,0.041,4109
"Gregg",2020-09-23,0.089,2237
"Grimes",2020-09-23,0.038,531
"Guadalupe",2020-09-23,0.051,1211
"Hale",2020-09-23,0.081,483
"Hall",2020-09-23,NA,NA
"Hamilton",2020-09-23,0.026,114
"Hansford",2020-09-23,0.02,150
"Hardeman",2020-09-23,NA,NA
"Hardin",2020-09-23,0.055,544
"Harris",2020-09-23,0.051,74447
"Harrison",2020-09-23,0.084,491
"Hartley",2020-09-23,NA,NA
"Haskell",2020-09-23,NA,NA
"Hays",2020-09-23,0.089,3825
"Hemphill",2020-09-23,0.017,60
"Henderson",2020-09-23,0.081,628
"Hidalgo",2020-09-23,0.098,11341
"Hill",2020-09-23,0.072,1848
"Hockley",2020-09-23,0.143,140
"Hood",2020-09-23,0.059,443
"Hopkins",2020-09-23,0.066,709
"Houston",2020-09-23,0.041,341
"Howard",2020-09-23,0.045,755
"Hudspeth",2020-09-23,0.083,24
"Hunt",2020-09-23,0.06,935
"Hutchinson",2020-09-23,0.051,315
"Irion",2020-09-23,NA,NA
"Jack",2020-09-23,0.029,34
"Jackson",2020-09-23,0.107,112
"Jasper",2020-09-23,0.156,377
"Jeff Davis",2020-09-23,NA,NA
"Jefferson",2020-09-23,0.062,4684
"Jim Hogg",2020-09-23,0.088,114
"Jim Wells",2020-09-23,0.084,1604
"Johnson",2020-09-23,0.073,2536
"Jones",2020-09-23,0.218,55
"Karnes",2020-09-23,0.039,127
"Kaufman",2020-09-23,0.065,1552
"Kendall",2020-09-23,0.023,606
"Kenedy",2020-09-23,NA,NA
"Kent",2020-09-23,NA,NA
"Kerr",2020-09-23,0.032,471
"Kimble",2020-09-23,0.023,88
"King",2020-09-23,NA,NA
"Kinney",2020-09-23,0.103,107
"Kleberg",2020-09-23,0.1,700
"Knox",2020-09-23,NA,NA
"La Salle",2020-09-23,0.064,219
"Lamar",2020-09-23,0.06,350
"Lamb",2020-09-23,0.082,85
"Lampasas",2020-09-23,0.067,435
"Lavaca",2020-09-23,0.174,218
"Lee",2020-09-23,0.058,155
"Leon",2020-09-23,0.055,181
"Liberty",2020-09-23,0.033,1379
"Limestone",2020-09-23,0.038,533
"Lipscomb",2020-09-23,NA,NA
"Live Oak",2020-09-23,0.08,112
"Llano",2020-09-23,0.028,322
"Loving",2020-09-23,NA,NA
"Lubbock",2020-09-23,0.129,5113
