county_names,sample_location,key_plot_id,population_served,first_sample_date,date_start,date_end,ptc_15d,percentile,detect_prop_15d
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-01,2021-03-15,-14,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-02,2021-03-16,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-02,2021-03-16,-14,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-03,2021-03-17,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-03,2021-03-17,-14,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-04,2021-03-18,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-04,2021-03-18,-5,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-05,2021-03-19,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-05,2021-03-19,4,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-06,2021-03-20,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-06,2021-03-20,4,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-07,2021-03-21,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-07,2021-03-21,4,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-08,2021-03-22,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-08,2021-03-22,4,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-09,2021-03-23,-3,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-09,2021-03-23,4,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-10,2021-03-24,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-10,2021-03-24,4,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-11,2021-03-25,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-11,2021-03-25,15,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-12,2021-03-26,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-12,2021-03-26,28,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-13,2021-03-27,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-13,2021-03-27,28,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-14,2021-03-28,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-14,2021-03-28,28,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-15,2021-03-29,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-15,2021-03-29,28,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-16,2021-03-30,-4,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-16,2021-03-30,28,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-17,2021-03-31,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-17,2021-03-31,28,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-18,2021-04-01,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-18,2021-04-01,2,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-19,2021-04-02,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-19,2021-04-02,-18,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-20,2021-04-03,,,
Denton,Treatment plant,NWSS_tx_1933_Treatment plant_raw wastewater,180097,2021-03-04,2021-03-20,2021-04-03,-18,,
Mclennan,Treatment plant,NWSS_tx_1934_Treatment plant_raw wastewater,193820,2021-03-09,2021-03-21,2021-04-04,,,
