"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"A W Brown Leadership Academy",2020-11-08,57816,"1343",557,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"A+ Academy",2020-11-08,57829,"1314",477,NA,NA,NA,NA,NA,NA,NA,1,0,1,2,0,3,1
"A+ Unlimited Potential",2020-11-08,101871,"152",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbott ISD",2020-11-08,109901,"288",266,0,0,1,0,0,1,0,0,0,1,0,0,1,0
"Abernathy ISD",2020-11-08,95901,"803",753,NA,NA,NA,NA,NA,NA,NA,2,1,11,7,0,9,12
"Abilene ISD",2020-11-08,221901,"15672",12933,2,5,34,25,0,26,40,10,14,112,112,0,127,121
"Academy For Academic Excellence",2020-11-08,57814,"294",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy ISD",2020-11-08,14901,"1749",1432,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,0,6
"Academy Of Accelerated Learning Inc",2020-11-08,101810,"857",149,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Academy Of Dallas",2020-11-08,57810,"294",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-11-08,101849,"236",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian ISD",2020-11-08,180903,"122",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advantage Academy",2020-11-08,57806,"1197",405,NA,NA,NA,NA,NA,NA,NA,2,1,4,6,0,4,9
"Agua Dulce ISD",2020-11-08,178901,"442",330,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,0,2,8
"Alamo Heights ISD",2020-11-08,15901,"4507",2782,2,3,1,2,0,8,0,6,6,7,10,3,26,0
"Alba-Golden ISD",2020-11-08,250906,"824",668,NA,NA,NA,NA,NA,NA,NA,1,0,7,2,0,1,9
"Albany ISD",2020-11-08,209901,"508",468,NA,NA,NA,NA,NA,NA,NA,0,1,11,3,0,0,15
"Aldine ISD",2020-11-08,101902,"63330",12669,NA,NA,NA,NA,NA,NA,NA,22,14,23,83,1,3,138
"Aledo ISD",2020-11-08,184907,"6737",5837,NA,NA,NA,NA,NA,NA,NA,3,0,33,11,0,10,37
"Alice ISD",2020-11-08,125901,"4711",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-11-08,101903,"41282",2011,3,1,1,1,1,5,0,11,3,13,49,1,75,0
"Alief Montessori Community School",2020-11-08,101815,"327",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD",2020-11-08,43901,"21539",10558,2,5,16,4,0,0,27,12,20,80,28,0,0,140
"Alpine ISD",2020-11-08,22901,"906",798,0,1,1,0,0,0,2,0,1,4,2,0,0,7
"Alto ISD",2020-11-08,37901,"636",527,NA,NA,NA,NA,NA,NA,NA,1,2,8,4,0,1,14
"Alvarado ISD",2020-11-08,126901,"3554",2018,0,0,1,2,0,0,3,2,0,13,10,2,7,16
"Alvin ISD",2020-11-08,20901,"26817",14563,1,4,5,10,0,20,0,6,19,56,36,0,117,0
"Alvord ISD",2020-11-08,249901,"720",678,2,2,9,9,7,1,14,2,3,12,15,8,4,20
"Amarillo ISD",2020-11-08,188901,"31379",25615,22,24,77,78,0,70,131,78,113,412,393,11,493,492
"Ambassadors Preparatory Academy",2020-11-08,84804,"250",125,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Amherst ISD",2020-11-08,140901,"131",126,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Amigos Por Vida-Friends For Life Pub Chtr Sch",2020-11-08,101819,"482",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anahuac ISD",2020-11-08,36901,"1320",1138,1,0,1,0,0,2,0,1,0,3,2,0,5,1
"Anderson-Shiro Cisd",2020-11-08,93901,"902",795,0,0,2,0,0,1,1,0,0,3,3,0,3,3
