"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"A W Brown Leadership Academy",2020-11-01,57816,"1343",557,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,2,0
"A+ Academy",2020-11-01,57829,"1314",477,NA,NA,NA,NA,NA,NA,NA,1,0,1,2,0,3,1
"A+ Unlimited Potential",2020-11-01,101871,"152",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbott ISD",2020-11-01,109901,"288",266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abernathy ISD",2020-11-01,95901,"803",753,NA,NA,NA,NA,NA,NA,NA,2,1,11,7,0,9,12
"Abilene ISD",2020-11-01,221901,"15672",12933,4,1,16,25,0,27,19,8,9,78,87,0,101,81
"Academy For Academic Excellence",2020-11-01,57814,"294",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy ISD",2020-11-01,14901,"1749",1432,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,0,0,6
"Academy Of Accelerated Learning Inc",2020-11-01,101810,"857",149,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Academy Of Dallas",2020-11-01,57810,"294",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-11-01,101849,"236",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian ISD",2020-11-01,180903,"122",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advantage Academy",2020-11-01,57806,"1197",405,NA,NA,NA,NA,NA,NA,NA,1,1,4,5,0,4,7
"Agua Dulce ISD",2020-11-01,178901,"442",330,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,0,2,8
"Alamo Heights ISD",2020-11-01,15901,"4507",2782,0,0,1,3,0,4,0,4,3,6,8,3,18,0
"Alba-Golden ISD",2020-11-01,250906,"824",668,0,0,2,0,0,0,2,1,0,7,2,0,1,9
"Albany ISD",2020-11-01,209901,"508",468,NA,NA,NA,NA,NA,NA,NA,0,1,11,3,0,0,15
"Aldine ISD",2020-11-01,101902,"63330",12669,7,5,10,14,0,0,36,22,14,23,82,1,3,137
"Aledo ISD",2020-11-01,184907,"6737",5837,1,0,12,4,0,4,13,3,0,33,11,0,10,37
"Alice ISD",2020-11-01,125901,"4711",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-11-01,101903,"41282",2011,1,0,1,3,0,5,0,7,2,7,45,0,61,0
"Alief Montessori Community School",2020-11-01,101815,"327",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD",2020-11-01,43901,"21539",10558,NA,NA,NA,NA,NA,NA,NA,6,10,54,18,0,0,88
"Alpine ISD",2020-11-01,22901,"906",798,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
"Alto ISD",2020-11-01,37901,"636",527,NA,NA,NA,NA,NA,NA,NA,1,2,8,4,0,1,14
"Alvarado ISD",2020-11-01,126901,"3554",2018,1,0,2,0,0,2,1,2,0,10,8,0,7,13
"Alvin ISD",2020-11-01,20901,"26817",14563,0,3,5,2,0,10,0,5,15,51,26,0,97,0
"Alvord ISD",2020-11-01,249901,"720",678,0,0,1,3,0,0,4,0,1,3,3,0,2,5
"Amarillo ISD",2020-11-01,188901,"31379",25615,15,9,43,65,0,66,66,56,89,335,315,11,423,361
"Ambassadors Preparatory Academy",2020-11-01,84804,"250",125,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Amherst ISD",2020-11-01,140901,"131",126,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Amigos Por Vida-Friends For Life Pub Chtr Sch",2020-11-01,101819,"482",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anahuac ISD",2020-11-01,36901,"1320",1138,0,0,1,0,0,0,1,0,0,2,2,0,3,1
"Anderson-Shiro Cisd",2020-11-01,93901,"902",795,0,0,0,2,0,2,0,0,0,1,3,0,2,2
"Andrews ISD",2020-11-01,2901,"4145",3389,0,4,7,5,0,16,0,4,11,26,29,0,69,1
"Angleton ISD",2020-11-01,20902,"6811",3554,1,0,1,3,0,5,0,9,7,9,21,14,32,0
"Anna ISD",2020-11-01,43902,"3930",2838,NA,NA,NA,NA,NA,NA,NA,0,0,4,4,0,0,8
"Anson ISD",2020-11-01,127901,"716",659,NA,NA,NA,NA,NA,NA,NA,0,2,0,5,0,4,3
"Anthony ISD",2020-11-01,71906,"796",397,5,5,6,1,1,15,1,7,5,12,3,1,24,2
