District,Date,County,LEA,Total_Enrollment,Approximate_Enrollment,Cases_Weekly_GRADE_EE_3,Cases_Weekly_GRADE_4_6,Cases_Weekly_GRADE_7_12,Cases_Weekly_Staff,Infections_Weekly_On_Campus,Infections_Weekly_Off_Campus,Infections_Weekly_Unknown,Cases_Cumulative_GRADE_EE_3,Cases_Cumulative_GRADE_4_6,Cases_Cumulative_GRADE_7_12,Cases_Cumulative_Staff,Infections_Cumulative_On_Campus,Infections_Cumulative_Off_Campus,Infections_Cumulative_Unknown
Huntington ISD,10/4/20,"Angelina,Nacogdoches",3904,1556,1366.19,0,0,0,1,0,1,0,0,1,2,2,0,5,0
Diboll ISD,10/4/20,"Angelina,Polk,Trinity",3905,1678,1208.16,1,0,1,0,0,1,1,2,0,4,1,0,2,5
Zavalla ISD,10/4/20,"Angelina,Jasper,Nacogdoches,Polk,San Augustine,Tyler",3906,308,261.76,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,3,0
Central ISD,10/4/20,"Angelina,Cherokee,Houston,Nacogdoches",3907,1361,1321.14,NA,NA,NA,NA,NA,NA,NA,2,0,1,4,0,7,0
Aransas County ISD,10/4/20,"Aransas,Calhoun,Nueces,Refugio,San Patricio",4901,2970,1795.02,0,0,1,0,0,0,1,1,1,5,0,0,1,6
Archer City ISD,10/4/20,"Archer,Clay,Jack,Wichita,Young",5901,504,461.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Holliday ISD,10/4/20,"Archer,Baylor,Wichita",5902,1068,1027.86,0,0,0,1,0,1,0,0,0,1,2,0,3,0
Windthorst ISD,10/4/20,"Archer,Clay",5904,433,417.2,NA,NA,NA,NA,NA,NA,NA,0,2,6,9,3,1,13
Claude ISD,10/4/20,"Armstrong,Briscoe,Carson,Donley,Potter,Randall,Swisher",6902,312,305.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte ISD,10/4/20,"Atascosa,Frio,La Salle",7901,416,242.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jourdanton ISD,10/4/20,Atascosa,7902,1539,930.35,NA,NA,NA,NA,NA,NA,NA,1,0,3,1,0,4,1
Lytle ISD,10/4/20,"Atascosa,Bexar,Medina",7904,1620,89.94,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,1
Pleasanton ISD,10/4/20,"Atascosa,Bexar,Karnes,Live Oak,McMullen,Wilson",7905,3325,1927.56,1,0,1,1,0,3,0,1,0,1,5,0,4,3
Poteet ISD,10/4/20,"Atascosa,Bexar,Frio,Medina",7906,532,172,NA,NA,NA,NA,NA,NA,NA,1,0,5,1,0,7,0
Bellville ISD,10/4/20,"Austin,Colorado,Fayette,Waller,Washington",8901,2143,1880.51,0,0,0,1,0,0,1,0,0,1,3,0,0,4
Sealy ISD,10/4/20,"Austin,Colorado,Fort Bend,Waller",8902,2697,1923.18,0,1,0,1,0,0,2,0,1,4,3,0,1,7
Brazos ISD,10/4/20,"Austin,Colorado,Fort Bend,Wharton",8903,812,566.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muleshoe ISD,10/4/20,"Bailey,Lamb,Parmer",9901,1294,1109.45,0,0,1,1,0,2,0,0,1,4,4,0,9,0
Medina ISD,10/4/20,"Bandera,Kerr,Medina",10901,275,258.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bandera ISD,10/4/20,"Bandera,Bexar,Kendall,Kerr,Medina",10902,2203,1600,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
Bastrop ISD,10/4/20,"Bastrop,Caldwell,Lee,Travis",11901,11255,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elgin ISD,10/4/20,"Bastrop,Lee,Travis,Williamson",11902,4550,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smithville ISD,10/4/20,"Bastrop,Caldwell,Fayette,Lee",11904,1722,947.67,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
Mcdade ISD,10/4/20,"Bastrop,Lee",11905,330,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seymour ISD,10/4/20,"Archer,Baylor,Foard,Haskell,Knox,Throckmorton,Wilbarger",12901,589,557.75,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"St Mary's Academy Charter
School",10/4/20,Bee,13801,399,187.53,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
Beeville ISD,10/4/20,"Bee,Goliad,Live Oak,Refugio",13901,3057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pawnee ISD,10/4/20,"Bee,Karnes,Live Oak",13902,154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pettus ISD,10/4/20,"Bee,Goliad,Karnes",13903,371,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Skidmore-Tynan ISD,10/4/20,"Bee,Live Oak,Refugio,San Patricio",13905,252,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richard Milburn Alter High
School (Killeen)",10/4/20,Bell,14801,1550,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Priority Charter Schools,10/4/20,Bell,14803,818,366.65,0,0,1,0,0,1,0,0,0,1,0,0,1,0
Orenda Charter School,10/4/20,Bell,14804,1838,161.24,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,0
Academy ISD,10/4/20,Bell,14901,1710,1347.3,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Bartlett ISD,10/4/20,"Bell,Milam,Williamson",14902,364,280.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belton ISD,10/4/20,"Bell,Coryell",14903,12407,8948.72,1,0,3,4,0,4,4,1,2,7,9,0,7,12
Holland ISD,10/4/20,"Bell,Milam",14905,637,582.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Killeen ISD,10/4/20,"Bell,Burnet,Coryell,Williamson",14906,40699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rogers ISD,10/4/20,"Bell,Falls,Milam",14907,282,250.98,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
Salado ISD,10/4/20,"Bell,Williamson",14908,2077,1759.91,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,2,1
Temple ISD,10/4/20,Bell,14909,8126,4836.47,0,1,8,0,0,0,9,0,3,13,5,0,2,19
Troy ISD,10/4/20,"Bell,Falls,McLennan",14910,1542,1341.4,1,0,0,1,0,1,1,2,0,0,2,0,1,3
Por Vida Academy,10/4/20,Bexar,15801,214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George Gervin Academy,10/4/20,Bexar,15802,843,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Frontiers Public
Schools Inc",10/4/20,Bexar,15805,493,52.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"School Of Excellence In
Education",10/4/20,Bexar,15806,120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Southwest Preparatory
School",10/4/20,Bexar,15807,773,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inspire Academies,10/4/20,Bexar,15808,581,161.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bexar County Academy,10/4/20,Bexar,15809,263,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Positive Solutions
Charter School",10/4/20,Bexar,15814,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heritage Academy,10/4/20,Bexar,15815,610,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jubilee Academies,10/4/20,Bexar,15822,5954,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lighthouse Public Schools,10/4/20,Bexar,15825,397,32.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"School Of Science And
Technology",10/4/20,Bexar,15827,3458,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harmony Science Acad (San
Antonio)",10/4/20,Bexar,15828,4410,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brooks Academies Of
Texas",10/4/20,Bexar,15830,NA,NA,0,0,0,1,0,1,0,0,0,0,1,0,1,0
"School Of Science And
Technology Discovery",10/4/20,Bexar,15831,4816,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Henry Ford Academy
Alameda School For Art +
Design",10/4/20,Bexar,15833,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basis Texas,10/4/20,Bexar,15834,3099,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Great Hearts Texas,10/4/20,Bexar,15835,967,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleanor Kolitz Hebrew
Language Academy",10/4/20,Bexar,15836,464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compass Rose Academy,10/4/20,Bexar,15838,1171,105.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Promesa Academy Charter
School",10/4/20,Bexar,15839,185,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Antonio Preparatory
Charter School",10/4/20,Bexar,15840,210,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Gathering Place,10/4/20,Bexar,15841,355,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alamo Heights ISD,10/4/20,Bexar,15901,4807,103.62,0,1,1,1,1,2,0,3,2,2,4,1,10,0
Harlandale ISD,10/4/20,Bexar,15904,12943,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edgewood ISD,10/4/20,Bexar,15905,8121,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randolph Field ISD,10/4/20,Bexar,15906,1409,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio ISD,10/4/20,Bexar,15907,43212,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South San Antonio ISD,10/4/20,Bexar,15908,6707,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somerset ISD,10/4/20,"Atascosa,Bexar",15909,3841,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North East ISD,10/4/20,Bexar,15910,59201,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Central ISD,10/4/20,"Bexar,Guadalupe,Wilson",15911,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southwest ISD,10/4/20,"Atascosa,Bexar,Medina",15912,13207,18.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lackland ISD,10/4/20,Bexar,15913,852,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ft Sam Houston ISD,10/4/20,Bexar,15914,1463,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northside ISD,10/4/20,"Bandera,Bexar,Medina",15915,101473,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Judson ISD,10/4/20,"Bexar,Comal,Guadalupe",15916,23551,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southside ISD,10/4/20,"Atascosa,Bexar,Wilson",15917,5428,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnson City ISD,10/4/20,"Blanco,Burnet,Gillespie,Hays,Llano,Travis",16901,609,505.47,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,0,3
Blanco ISD,10/4/20,"Blanco,Comal,Gillespie,Hays,Kendall",16902,1025,853.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borden County ISD,10/4/20,"Borden,Dawson,Garza,Howard,Lynn,Mitchell,Scurry",17901,237,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clifton ISD,10/4/20,"Bosque,Coryell,Hill",18901,940,724.68,0,2,2,0,0,3,1,1,2,3,0,0,3,3
Meridian ISD,10/4/20,"Bosque,Hill",18902,408,363.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
