"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Cayuga ISD",2021-01-31,1902,"535",489,NA,NA,236,208,NA,NA,NA,NA,NA,7,3,2,7,1
"Cayuga ISD",2021-01-31,1902,"535",489,NA,NA,133,126,NA,0,NA,NA,NA,10,4,2,6,6
"Cayuga ISD",2021-01-31,1902,"535",489,NA,NA,166,155,NA,2,NA,NA,NA,15,14,3,15,11
"Cayuga ISD Total",2021-01-31,1902,"535",489,NA,NA,535,489,NA,2,NA,NA,NA,32,21,7,28,18
"Elkhart ISD",2021-01-31,1903,"1200",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elkhart ISD",2021-01-31,1903,"1200",1092,NA,NA,266,231,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Elkhart ISD",2021-01-31,1903,"1200",1092,NA,NA,322,291,0,3,0,3,0,NA,9,NA,NA,NA
"Elkhart ISD",2021-01-31,1903,"1200",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,1,8
"Elkhart ISD",2021-01-31,1903,"1200",1092,NA,NA,268,260,NA,0,NA,NA,NA,7,4,0,2,9
"Elkhart ISD",2021-01-31,1903,"1200",1092,NA,NA,344,310,NA,1,NA,NA,NA,10,3,0,5,8
"Elkhart ISD Total",2021-01-31,1903,"1200",1092,NA,NA,1200,1092,NA,4,NA,NA,NA,21,28,0,14,35
"Frankston ISD",2021-01-31,1904,"836",768,NA,NA,200,189,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Frankston ISD",2021-01-31,1904,"836",768,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,2,1
"Frankston ISD",2021-01-31,1904,"836",768,NA,NA,343,310,NA,NA,NA,NA,NA,6,11,0,10,7
"Frankston ISD",2021-01-31,1904,"836",768,NA,NA,293,269,NA,NA,NA,NA,NA,18,6,4,11,9
"Frankston ISD Total",2021-01-31,1904,"836",768,NA,NA,836,768,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"Neches ISD",2021-01-31,1906,"339",339,NA,NA,95,95,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Neches ISD",2021-01-31,1906,"339",339,NA,NA,244,244,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Neches ISD",2021-01-31,1906,"339",339,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1
"Neches ISD Total",2021-01-31,1906,"339",339,NA,NA,339,339,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Palestine ISD",2021-01-31,1907,"3399",2908,NA,NA,439,387,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"Palestine ISD",2021-01-31,1907,"3399",2908,NA,NA,491,421,NA,NA,NA,NA,NA,0,5,0,5,0
"Palestine ISD",2021-01-31,1907,"3399",2908,NA,NA,220,206,NA,NA,NA,NA,NA,0,8,0,6,2
"Palestine ISD",2021-01-31,1907,"3399",2908,NA,NA,725,618,NA,NA,NA,NA,NA,0,5,0,3,2
"Palestine ISD",2021-01-31,1907,"3399",2908,NA,NA,508,428,NA,NA,NA,NA,NA,8,5,1,6,6
"Palestine ISD",2021-01-31,1907,"3399",2908,NA,NA,1016,848,NA,NA,NA,NA,NA,32,8,4,27,9
"Palestine ISD Total",2021-01-31,1907,"3399",2908,NA,NA,3399,2908,NA,NA,NA,NA,NA,NA,42,NA,NA,NA
"Westwood ISD",2021-01-31,1908,"1352",1185,NA,NA,199,176,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Westwood ISD",2021-01-31,1908,"1352",1185,NA,NA,346,315,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
"Westwood ISD",2021-01-31,1908,"1352",1185,NA,NA,373,330,NA,NA,NA,NA,NA,12,6,2,4,12
