"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"A W Brown Leadership Academy",2020-11-15,57816,"1382",556,NA,NA,NA,NA,NA,NA,NA,3,0,2,4,0,7,2
"A+ Academy",2020-11-15,57829,"1456",803,0,0,1,1,0,2,0,1,0,2,3,0,5,1
"A+ Unlimited Potential",2020-11-15,101871,"153",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbott ISD",2020-11-15,109901,"276",267,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Abernathy ISD",2020-11-15,95901,"805",744,NA,NA,NA,NA,NA,NA,NA,2,1,11,7,0,9,12
"Abilene ISD",2020-11-15,221901,"15844",13369,7,5,26,29,0,31,36,17,19,141,141,0,158,160
"Academy For Academic Excellence",2020-11-15,57814,"321",126,0,0,8,0,8,0,0,0,0,11,1,10,0,2
"Academy ISD",2020-11-15,14901,"1727",1549,0,0,2,1,0,0,3,0,0,5,5,0,0,10
"Academy Of Accelerated Learning Inc",2020-11-15,101810,"852",342,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Academy Of Dallas",2020-11-15,57810,"341",148,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
"Accelerated Intermediate Academy",2020-11-15,101849,"233",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian ISD",2020-11-15,180903,"122",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advantage Academy",2020-11-15,57806,"1208",472,1,0,2,2,1,3,1,3,1,6,8,1,7,10
"Agua Dulce ISD",2020-11-15,178901,"445",311,0,0,1,0,0,1,0,1,3,2,5,0,3,8
"Alamo Heights ISD",2020-11-15,15901,"4778",3519,1,2,1,1,0,5,0,7,8,8,11,3,31,0
"Alba-Golden ISD",2020-11-15,250906,"853",815,0,0,0,2,0,0,2,1,0,7,4,0,1,11
"Albany ISD",2020-11-15,209901,"503",485,NA,NA,NA,NA,NA,NA,NA,0,1,11,3,0,0,15
"Aldine ISD",2020-11-15,101902,"63449",27915,11,6,7,30,0,0,54,33,20,30,113,1,3,192
"Aledo ISD",2020-11-15,184907,"6716",6100,NA,NA,NA,NA,NA,NA,NA,3,0,33,11,0,10,37
"Alice ISD",2020-11-15,125901,"4671",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alief ISD",2020-11-15,101903,"43233",14447,5,2,12,2,11,9,1,18,6,26,57,12,94,1
"Alief Montessori Community School",2020-11-15,101815,"332",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD",2020-11-15,43901,"21656",11636,0,9,17,11,0,0,37,12,29,97,39,0,0,177
"Alpine ISD",2020-11-15,22901,"926",857,0,0,1,2,0,0,3,0,1,5,4,0,0,10
"Alto ISD",2020-11-15,37901,"609",602,0,0,1,2,0,0,3,1,2,9,6,0,1,17
"Alvarado ISD",2020-11-15,126901,"3464",2467,3,1,3,9,7,0,9,6,6,19,23,11,10,33
