"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Cayuga ISD",2020-12-13,1902,"535",489,NA,NA,236,208,NA,NA,NA,NA,NA,7,3,2,7,1
"Cayuga ISD",2020-12-13,1902,"535",489,NA,NA,133,126,NA,NA,NA,NA,NA,9,4,2,5,6
"Cayuga ISD",2020-12-13,1902,"535",489,NA,NA,166,155,NA,NA,NA,NA,NA,13,11,3,10,11
"Cayuga ISD Total",2020-12-13,1902,"535",489,NA,NA,535,489,NA,NA,NA,NA,NA,29,18,7,22,18
"Elkhart ISD",2020-12-13,1903,"1200",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elkhart ISD",2020-12-13,1903,"1200",1092,NA,NA,266,231,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Elkhart ISD",2020-12-13,1903,"1200",1092,NA,NA,268,260,NA,0,NA,NA,NA,NA,4,NA,NA,NA
"Elkhart ISD",2020-12-13,1903,"1200",1092,NA,NA,322,291,0,1,0,0,1,NA,6,NA,NA,NA
"Elkhart ISD",2020-12-13,1903,"1200",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,0,1,8
"Elkhart ISD",2020-12-13,1903,"1200",1092,NA,NA,344,310,NA,1,NA,NA,NA,6,2,0,0,8
"Elkhart ISD Total",2020-12-13,1903,"1200",1092,NA,NA,1200,1092,NA,2,NA,NA,NA,15,24,0,4,35
"Frankston ISD",2020-12-13,1904,"836",768,NA,NA,200,189,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Frankston ISD",2020-12-13,1904,"836",768,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1
"Frankston ISD",2020-12-13,1904,"836",768,NA,NA,343,310,NA,NA,NA,NA,NA,5,5,0,5,5
"Frankston ISD",2020-12-13,1904,"836",768,NA,NA,293,269,NA,0,NA,NA,NA,15,3,4,7,7
"Frankston ISD Total",2020-12-13,1904,"836",768,NA,NA,836,768,NA,0,NA,NA,NA,NA,13,NA,NA,NA
"Neches ISD",2020-12-13,1906,"339",339,NA,NA,95,95,NA,1,NA,NA,NA,NA,2,NA,NA,NA
"Neches ISD",2020-12-13,1906,"339",339,NA,NA,244,244,NA,0,NA,NA,NA,NA,4,NA,NA,NA
"Neches ISD",2020-12-13,1906,"339",339,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1
"Neches ISD Total",2020-12-13,1906,"339",339,NA,NA,339,339,NA,1,NA,NA,NA,NA,6,NA,NA,NA
"Palestine ISD",2020-12-13,1907,"3399",2908,NA,NA,439,387,0,1,0,0,1,NA,9,NA,NA,NA
"Palestine ISD",2020-12-13,1907,"3399",2908,NA,NA,491,421,NA,NA,NA,NA,NA,0,2,0,2,0
"Palestine ISD",2020-12-13,1907,"3399",2908,NA,NA,220,206,NA,NA,NA,NA,NA,0,7,0,5,2
"Palestine ISD",2020-12-13,1907,"3399",2908,NA,NA,725,618,0,2,0,1,1,0,5,0,3,2
"Palestine ISD",2020-12-13,1907,"3399",2908,NA,NA,508,428,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Palestine ISD",2020-12-13,1907,"3399",2908,NA,NA,1016,848,NA,0,NA,NA,NA,32,8,4,27,9
"Palestine ISD Total",2020-12-13,1907,"3399",2908,NA,NA,3399,2908,NA,3,NA,NA,NA,42,34,5,50,21
"Westwood ISD",2020-12-13,1908,"1352",1185,NA,NA,199,176,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Westwood ISD",2020-12-13,1908,"1352",1185,NA,NA,346,315,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
