"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"A W Brown Leadership Academy",2020-12-06,57816,"1382",556,NA,NA,611,175,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"A W Brown Leadership Academy",2020-12-06,57816,"1382",556,NA,NA,771,381,0,1,0,1,0,NA,7,NA,NA,NA
"A W Brown Leadership Academy Total",2020-12-06,57816,"1382",556,NA,NA,1382,556,0,1,0,1,0,NA,9,NA,NA,NA
"A+ Academy",2020-12-06,57829,"1456",803,NA,NA,660,312,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"A+ Academy",2020-12-06,57829,"1456",803,NA,NA,796,491,NA,0,NA,NA,NA,NA,4,NA,NA,NA
"A+ Academy Total",2020-12-06,57829,"1456",803,NA,NA,1456,803,NA,0,NA,NA,NA,NA,5,NA,NA,NA
"A+ Unlimited Potential",2020-12-06,101871,"153",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A+ Unlimited Potential",2020-12-06,101871,"153",58,NA,NA,153,58,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"A+ Unlimited Potential Total",2020-12-06,101871,"153",58,NA,NA,153,58,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Abbott ISD",2020-12-06,109901,"276",267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbott ISD",2020-12-06,109901,"276",267,NA,NA,276,267,NA,1,NA,NA,NA,9,5,4,8,2
"Abbott ISD Total",2020-12-06,109901,"276",267,NA,NA,276,267,NA,1,NA,NA,NA,9,5,4,8,2
"Abernathy ISD",2020-12-06,95901,"805",744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abernathy ISD",2020-12-06,95901,"805",744,NA,NA,163,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abernathy ISD",2020-12-06,95901,"805",744,NA,NA,392,364,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Abernathy ISD",2020-12-06,95901,"805",744,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,0,5,5
"Abernathy ISD",2020-12-06,95901,"805",744,NA,NA,250,229,NA,NA,NA,NA,NA,7,3,0,3,7
"Abernathy ISD Total",2020-12-06,95901,"805",744,NA,NA,805,744,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,49,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,587,534,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,512,460,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,529,433,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,133,133,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,464,421,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,487,429,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,664,611,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,402,341,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,283,230,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,585,501,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,517,445,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,397,359,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,459,396,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,442,399,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,699,658,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,197,122,0,1,0,1,0,NA,2,NA,NA,NA
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,65,56,NA,NA,NA,NA,NA,0,1,0,1,0
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,8,6,NA,NA,NA,NA,NA,0,1,0,1,0
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,0,17,4
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,346,214,NA,NA,NA,NA,NA,7,4,0,6,5
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,570,489,NA,NA,NA,NA,NA,7,8,0,13,2
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,742,612,NA,NA,NA,NA,NA,9,17,0,18,8
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,882,731,NA,NA,NA,NA,NA,13,10,0,12,11
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,943,800,NA,NA,NA,NA,NA,14,9,0,10,13
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,880,725,NA,NA,NA,NA,NA,15,4,0,7,12
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,1813,1451,NA,NA,NA,NA,NA,63,27,0,32,58
"Abilene ISD",2020-12-06,221901,"15844",13369,NA,NA,2175,1755,NA,NA,NA,NA,NA,69,22,0,30,61
"Abilene ISD Total",2020-12-06,221901,"15844",13369,NA,NA,15844,13369,0,1,0,1,0,229,223,0,253,199
"Academy For Academic Excellence",2020-12-06,57814,"321",126,NA,NA,16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy For Academic Excellence",2020-12-06,57814,"321",126,NA,NA,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy For Academic Excellence",2020-12-06,57814,"321",126,NA,NA,207,48,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
