"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Pineywoods Community Academy Total",2020-11-22,3801,"996",757,NA,NA,996,757,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Hudson ISD",2020-11-22,3902,"2783",2526,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hudson ISD",2020-11-22,3902,"2783",2526,NA,NA,619,585,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Hudson ISD",2020-11-22,3902,"2783",2526,NA,NA,676,620,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"Hudson ISD",2020-11-22,3902,"2783",2526,NA,NA,664,628,NA,0,NA,NA,NA,6,0,0,4,2
"Hudson ISD",2020-11-22,3902,"2783",2526,NA,NA,810,679,NA,1,NA,NA,NA,21,4,0,22,3
"Hudson ISD Total",2020-11-22,3902,"2783",2526,NA,NA,2783,2526,NA,1,NA,NA,NA,36,8,0,36,8
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,53,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,253,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,270,227,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,404,349,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,253,214,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,115,108,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,264,235,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,508,458,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,267,223,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,412,371,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,226,200,NA,NA,NA,NA,NA,0,1,0,1,0
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,209,175,NA,NA,NA,NA,NA,0,1,0,1,0
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,382,284,NA,NA,NA,NA,NA,5,1,0,3,3
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,2,4,12
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,1690,1310,NA,NA,NA,NA,NA,17,3,0,8,12
"Lufkin ISD",2020-11-22,3903,"7467",6179,NA,NA,2148,1737,NA,NA,NA,NA,NA,26,10,1,11,24
