"District","Date","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"A W Brown Leadership Academy",2020-10-25,57816,"1343",557,0,0,0,1,0,1,0,0,0,1,1,0,2,0
"A+ Academy",2020-10-25,57829,"1314",477,0,0,0,1,0,0,1,1,0,1,2,0,3,1
"A+ Unlimited Potential",2020-10-25,101871,"152",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbott ISD",2020-10-25,109901,"288",266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abernathy ISD",2020-10-25,95901,"803",753,2,0,4,2,0,3,5,2,1,11,7,0,9,12
"Abilene ISD",2020-10-25,221901,"15672",12933,0,1,12,10,0,11,12,4,8,62,62,0,74,62
"Academy For Academic Excellence",2020-10-25,57814,"294",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy ISD",2020-10-25,14901,"1749",1432,0,0,0,1,0,0,1,0,0,3,3,0,0,6
"Academy Of Accelerated Learning Inc",2020-10-25,101810,"857",149,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,2,0
"Academy Of Dallas",2020-10-25,57810,"294",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Accelerated Intermediate Academy",2020-10-25,101849,"236",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adrian ISD",2020-10-25,180903,"122",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advantage Academy",2020-10-25,57806,"1197",405,0,1,2,0,0,1,2,1,1,4,5,0,4,7
"Agua Dulce ISD",2020-10-25,178901,"442",330,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,0,2,8
"Alamo Heights ISD",2020-10-25,15901,"4507",2782,1,0,3,0,1,3,0,4,3,5,5,3,14,0
"Alba-Golden ISD",2020-10-25,250906,"824",668,NA,NA,NA,NA,NA,NA,NA,1,0,4,2,0,1,6
