State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"5,292",Share,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1729,0.5502,0.1003,0.1765,0.0002,0.0000,0.0000,2022-07-13
Texas,"5,292",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.6%,50.7%,9.0%,12.1%,0.0%,0.0%,0.0%,2022-07-13
Texas,"5,292",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.3%,59.3%,11.2%,24.4%,0.2%,0.0%,0.0%,2022-07-13
