State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.2.75.2 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BA.5.2.6 (Omicron),BF.7 (Omicron),BF.11 (Omicron),BN.1 (Omicron),BQ.1 (Omicron),BQ.1.1 (Omicron),XBB (Omicron),XBB.1.5 (Omircon),Other,P.1,P.2,Date
Texas,855,Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.011,0.008,0.000,0.002,0.125,0.015,0.047,0.002,0.029,0.256,0.426,0.054,0.020,0.000,0.000,0.000,2023-01-18
Texas,855,Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.3%,0.0%,0.0%,10.4%,0.8%,3.4%,0.0%,1.9%,20.5%,39.2%,4.0%,1.2%,0.0%,0.0%,0.0%,2023-01-18
Texas,855,Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.4%,0.0%,3.0%,1.7%,0.0%,1.0%,14.9%,2.6%,6.3%,0.8%,4.3%,31.3%,46.0%,7.1%,3.2%,0.0%,0.0%,0.0%,2023-01-18
