State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),Other,P.1,P.2,Date
Texas,"1,854",Share,0.000,0.000,0.000,0.409,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.585,0.005,0.001,0.000,0.000,2022-04-25
Texas,"1,854",Share Low,0.0%,0.0%,0.0%,37.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.5%,0.2%,0.0%,0.0%,0.0%,2022-04-25
Texas,"1,854",Share High,0.0%,0.0%,0.0%,44.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,1.2%,0.3%,0.0%,0.0%,2022-04-25
