State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BF.7 (Omicron),Other,P.1,P.2,Date
Texas,"5,004",Share,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0041,0.0075,0.0033,0.0619,0.0442,0.8769,0.0021,0.0000,0.0000,0.0000,2022-09-21
Texas,"5,004",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.5%,0.2%,5.4%,3.6%,86.3%,0.1%,0.0%,0.0%,0.0%,2022-09-21
Texas,"5,004",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,1.1%,0.5%,7.0%,5.4%,88.9%,0.4%,0.0%,0.0%,0.0%,2022-09-21
