State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"5,419",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.015,0.077,0.038,0.861,0.000,0.000,0.000,2022-09-08
Texas,"5,419",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,1.2%,6.4%,3.0%,85.1%,0.0%,0.0%,0.0%,2022-09-08
Texas,"5,419",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,1.9%,9.1%,4.7%,87.0%,0.0%,0.0%,0.0%,2022-09-08
