State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"4,485",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.082,0.132,0.020,0.747,0.000,0.000,0.000,2022-08-24
Texas,"4,485",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.5%,7.1%,12.2%,1.6%,73.4%,0.0%,0.0%,0.0%,2022-08-24
Texas,"4,485",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.3%,9.4%,14.2%,2.5%,76.0%,0.1%,0.0%,0.0%,2022-08-24
