State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BF.7 (Omicron),Other,P.1,P.2,Date
Texas,"4,990",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.003,0.005,0.042,0.071,0.872,0.006,0.000,0.000,0.000,2022-10-09
Texas,"4,990",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.2%,3.1%,6.4%,84.8%,0.3%,0.0%,0.0%,0.0%,2022-10-09
Texas,"4,990",Share High,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.5%,0.8%,5.6%,7.8%,89.3%,1.3%,0.0%,0.0%,0.0%,2022-10-09
