State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),Other,P.1,P.2,Date
Texas,"2,414",Share,0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.844,0.077,0.004,0.000,0.000,2022-05-22
Texas,"2,414",Share Low,0.0%,0.0%,0.0%,5.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,82.9%,4.8%,0.1%,0.0%,0.0%,2022-05-22
Texas,"2,414",Share High,0.0%,0.0%,0.0%,10.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,85.9%,11.5%,1.1%,0.0%,0.0%,2022-05-22
