State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.2.75.2 (Omicron),CH.1.1 (Omicron),BN.1 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BA.5.2.6 (Omicron),BF.7 (Omicron),BF.11 (Omicron),BQ.1 (Omicron),BQ.1.1 (Omicron),XBB (Omicron),XBB.1.5 (Omircon),Other,P.1,P.2,Date
Texas,"2,028",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.004,0.002,0.015,0.015,0.000,0.002,0.044,0.002,0.010,0.001,0.160,0.423,0.065,0.254,0.001,0.000,0.000,2023-02-22
Texas,"2,028",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.1%,1.0%,1.0%,0.0%,0.0%,3.6%,0.1%,0.6%,0.0%,14.4%,38.3%,5.2%,20.5%,0.0%,0.0%,0.0%,2023-02-22
Texas,"2,028",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,0.0%,0.8%,0.5%,2.1%,2.2%,0.0%,0.7%,5.4%,0.5%,1.5%,0.4%,17.7%,46.4%,8.0%,30.8%,0.3%,0.0%,0.0%,2023-02-22
