State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),Other,P.1,P.2,Date
Texas,"2,949",Share,0.000,0.000,0.000,0.895,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.001,0.000,0.000,2022-04-10
Texas,"2,949",Share Low,0.0%,0.0%,0.0%,85.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.9%,0.0%,0.0%,0.0%,2022-04-10
Texas,"2,949",Share High,0.0%,0.0%,0.0%,93.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,14.9%,0.3%,0.0%,0.0%,2022-04-10
