State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),Other,P.1,P.2,Date
Texas,"2,301",Share,0.0000,0.0000,0.0000,0.0221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.7402,0.2351,0.0022,0.0000,0.0000,2022-06-03
Texas,"2,301",Share Low,0.0%,0.0%,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,21.5%,0.0%,0.0%,0.0%,2022-06-03
Texas,"2,301",Share High,0.0%,0.0%,0.0%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,76.5%,25.6%,1.4%,0.0%,0.0%,2022-06-03
