State,Total Sequences ,,AY.1,AY.2,B.1.1.7,B.1.1.529,B.1.351,B.1.427/429,B.1.525,B.1.526,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,Other,P.1,P.2,Date
Texas,"4,669",Share,0.001,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.977,0.000,0.000,0.015,0.000,0.000,2022-01-01
Texas,"4,669",Share Low,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,92.8%,0.0%,0.0%,0.1%,0.0%,0.0%,2022-01-01
Texas,"4,669",Share High,0.2%,0.0%,0.0%,1.3%,0.0%,0.0%,0.0%,0.0%,0.0%,99.6%,0.0%,0.0%,6.7%,0.0%,0.0%,2022-01-01
