State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),Other,P.1,P.2,Date
Texas,"6,571",Share,0.000,0.000,0.000,0.685,0.000,0.000,0.000,0.000,0.000,0.310,0.000,0.000,0.005,0.000,0.000,2022-01-18
Texas,"6,571",Share Low,0.0%,0.0%,0.0%,50.3%,0.0%,0.0%,0.0%,0.0%,0.0%,16.1%,0.0%,0.0%,0.1%,0.0%,0.0%,2022-01-18
Texas,"6,571",Share High,0.0%,0.0%,0.0%,83.3%,0.0%,0.0%,0.0%,0.0%,0.0%,49.4%,0.0%,0.1%,1.8%,0.0%,0.0%,2022-01-18
