State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),Other,P.1,P.2,Date
Texas,"9,956",Share,0.000,0.000,0.000,0.862,0.000,0.000,0.000,0.000,0.000,0.129,0.000,0.000,0.009,0.000,0.000,2022-01-26
Texas,"9,956",Share Low,0.0%,0.0%,0.0%,75.9%,0.0%,0.0%,0.0%,0.0%,0.0%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2022-01-26
Texas,"9,956",Share High,0.0%,0.0%,0.0%,93.2%,0.0%,0.0%,0.0%,0.0%,0.0%,22.1%,0.0%,0.0%,4.2%,0.0%,0.0%,2022-01-26
