State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"4,292",Share,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0335,0.1955,0.1591,0.0105,0.6014,0.0000,0.0000,0.0000,2022-08-10
Texas,"4,292",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.7%,14.2%,14.8%,0.5%,54.8%,0.0%,0.0%,0.0%,2022-08-10
Texas,"4,292",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.1%,25.8%,17.0%,2.1%,65.3%,0.0%,0.0%,0.0%,2022-08-10
