State,Total Sequences ,,AY.1,AY.2,B.1.1.7,B.1.1.529,B.1.351,B.1.427/429,B.1.525,B.1.526,B.1.617.1,B.1.617.2,B.1.617.3,B.1.621,Other,P.1,P.2,Date
Texas,"4,360",Share,0.000,0.000,0.000,0.374,0.000,0.000,0.000,0.000,0.000,0.621,0.000,0.000,0.005,0.000,0.000,2022-01-14
Texas,"4,360",Share Low,0.0%,0.0%,0.0%,20.8%,0.0%,0.0%,0.0%,0.0%,0.0%,42.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2022-01-14
Texas,"4,360",Share High,0.2%,0.0%,0.0%,56.4%,0.0%,0.0%,0.0%,0.0%,0.0%,79.0%,0.0%,0.0%,2.1%,0.0%,0.0%,2022-01-14
