State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),Other,P.1,P.2,Date
Texas,"2,486",Share,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.631,0.339,0.001,0.000,0.000,2022-06-11
Texas,"2,486",Share Low,0.0%,0.0%,0.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,61.2%,32.1%,0.0%,0.0%,0.0%,2022-06-11
Texas,"2,486",Share High,0.0%,0.0%,0.0%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,65.0%,35.8%,0.6%,0.0%,0.0%,2022-06-11
