State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.2.75.2 (Omicron),CH.1.1 (Omicron),BN.1 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BA.5.2.6 (Omicron),BF.7 (Omicron),BF.11 (Omicron),BQ.1 (Omicron),BQ.1.1 (Omicron),XBB (Omicron),XBB.1.5 (Omircon),Other,P.1,P.2,Date
Texas,"1,803",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.003,0.002,0.013,0.014,0.000,0.001,0.036,0.001,0.007,0.000,0.131,0.390,0.056,0.345,0.001,0.000,0.000,2023-02-28
Texas,"1,803",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.8%,0.9%,0.0%,0.0%,2.8%,0.0%,0.3%,0.0%,11.6%,35.5%,4.0%,30.3%,0.0%,0.0%,0.0%,2023-02-28
Texas,"1,803",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.6%,0.5%,1.9%,2.1%,0.0%,0.4%,4.5%,0.4%,1.1%,0.3%,14.8%,42.6%,7.7%,38.8%,0.4%,0.0%,0.0%,2023-02-28
