State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),Other,P.1,P.2,Date
Texas,"2,518",Share,0.000,0.000,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.806,0.152,0.003,0.000,0.000,2022-05-25
Texas,"2,518",Share Low,0.0%,0.0%,0.0%,2.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.4%,10.9%,0.0%,0.0%,0.0%,2022-05-25
Texas,"2,518",Share High,0.0%,0.0%,0.0%,5.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,83.5%,20.4%,1.1%,0.0%,0.0%,2022-05-25
