State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"3,145",Share,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.403,0.527,0.029,0.039,0.000,0.000,0.000,2022-06-26
Texas,"3,145",Share Low,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.3%,50.9%,1.4%,2.6%,0.0%,0.0%,0.0%,2022-06-26
Texas,"3,145",Share High,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,54.4%,5.3%,5.5%,0.2%,0.0%,0.0%,2022-06-26
