State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429,B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"4,915",Share,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2458,0.5732,0.0766,0.1037,0.0002,0.0000,0.0000,2022-07-09
Texas,"4,915",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.8%,55.9%,6.9%,8.0%,0.0%,0.0%,0.0%,2022-07-09
Texas,"4,915",Share High,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,26.4%,58.7%,8.4%,13.2%,0.2%,0.0%,0.0%,2022-07-09
