State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BF.7 (Omicron),Other,P.1,P.2,Date
Texas,"4,750",Share,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0034,0.0044,0.0540,0.0534,0.8793,0.0023,0.0000,0.0000,0.0000,2022-09-22
Texas,"4,750",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.2%,0.2%,4.6%,4.7%,86.6%,0.1%,0.0%,0.0%,0.0%,2022-09-22
Texas,"4,750",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,0.5%,0.8%,6.3%,6.0%,89.2%,0.4%,0.0%,0.0%,0.0%,2022-09-22
