State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),Other,P.1,P.2,Date
Texas,"5,652",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.049,0.114,0.024,0.799,0.000,0.000,0.000,2022-08-29
Texas,"5,652",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,4.1%,10.6%,1.9%,77.9%,0.0%,0.0%,0.0%,2022-08-29
Texas,"5,652",Share High,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.6%,5.9%,12.3%,3.1%,81.7%,0.1%,0.0%,0.0%,2022-08-29
