State,Total Sequences ,,AY.1 (Delta),AY.2 (Delta),B.1.1.7 (Alpha),B.1.1.529 (Omicron),B.1.351,B.1.427/429 (Epsilon),B.1.525,B.1.526 (Iota),B.1.617.1,B.1.617.2 (Delta),B.1.617.3,B.1.621 (Mu),BA.2 (Omicron),BA.2.12.1 (Omicron),BA.2.75 (Omicron),BA.2.75.2 (Omicron),BA.4 (Omicron),BA.4.6 (Omicron),BA.5 (Omicron),BA.5.2.6 (Omicron),BF.7 (Omicron),BQ.1 (Omicron),BQ.1.1 (Omicron),Other,P.1,P.2,Date
Texas,"3,015",Share,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.007,0.004,0.021,0.092,0.824,0.008,0.018,0.017,0.006,0.000,0.000,0.000,2022-10-28
Texas,"3,015",Share Low,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.4%,0.1%,1.6%,8.2%,80.9%,0.5%,1.3%,1.1%,0.4%,0.0%,0.0%,0.0%,2022-10-28
Texas,"3,015",Share High,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.2%,1.2%,0.8%,2.6%,10.3%,83.7%,1.2%,2.3%,2.5%,1.0%,0.0%,0.0%,0.0%,2022-10-28
