County,County2,Date,sample_location,key_plot_id,population_served,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Bexar,,2022-07-09,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-10,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,92.0,50.0,100.0
Bexar,,2022-07-10,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.75,-16.0,100.0
Bexar,,2022-07-10,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,86.0,27.0,100.0
Bexar,,2022-07-11,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.667,25.0,100.0
Bexar,,2022-07-11,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.333,-14.0,100.0
Bexar,,2022-07-11,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,91.0,26.0,100.0
Bexar,,2022-07-12,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.667,25.0,100.0
Bexar,,2022-07-12,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.333,-14.0,100.0
Bexar,,2022-07-12,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,91.0,26.0,100.0
Bexar,,2022-07-13,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
Bexar,,2022-07-13,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.667,139.0,100.0
Bexar,,2022-07-13,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,94.0,38.0,100.0
Bexar,,2022-07-14,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
Bexar,,2022-07-14,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.667,139.0,100.0
Bexar,,2022-07-14,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,94.0,38.0,100.0
Bexar,,2022-07-15,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
Bexar,,2022-07-15,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.667,139.0,100.0
Bexar,,2022-07-15,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,94.0,38.0,100.0
Bexar,,2022-07-16,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,93.333,-32.0,100.0
Bexar,,2022-07-16,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.667,139.0,100.0
Bexar,,2022-07-16,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,94.0,38.0,100.0
Bexar,,2022-07-17,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,89.75,-40.0,100.0
Bexar,,2022-07-17,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.25,18.0,100.0
Bexar,,2022-07-17,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,95.0,46.0,100.0
Bexar,,2022-07-18,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,89.75,-40.0,100.0
Bexar,,2022-07-18,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.25,18.0,100.0
Bexar,,2022-07-18,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,95.0,46.0,100.0
Bexar,,2022-07-19,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,88.2,-36.0,100.0
Bexar,,2022-07-19,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.4,4.0,100.0
Bexar,,2022-07-19,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,93.8,9.0,100.0
Bexar,,2022-07-20,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,88.2,-41.0,100.0
Bexar,,2022-07-20,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.4,-47.0,100.0
Bexar,,2022-07-20,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,93.8,-15.0,100.0
Bexar,,2022-07-21,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,88.2,-41.0,100.0
Bexar,,2022-07-21,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.4,-47.0,100.0
Bexar,,2022-07-21,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,93.8,-15.0,100.0
Bexar,,2022-07-22,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,88.2,-41.0,100.0
Bexar,,2022-07-22,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.4,-47.0,100.0
Bexar,,2022-07-22,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,93.8,-15.0,100.0
Bexar,,2022-07-23,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,88.2,-41.0,100.0
Bexar,,2022-07-23,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,90.4,-47.0,100.0
Bexar,,2022-07-23,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,93.8,-15.0,100.0
Bexar,,2022-07-24,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,83.8,-39.0,100.0
Bexar,,2022-07-24,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.0,-38.0,100.0
Bexar,,2022-07-24,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,88.0,-55.0,100.0
Bexar,,2022-07-25,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,83.8,-39.0,100.0
Bexar,,2022-07-25,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,91.0,-38.0,100.0
Bexar,,2022-07-25,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,88.0,-55.0,100.0
Bexar,,2022-07-26,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,74.0,-50.0,100.0
Bexar,,2022-07-26,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.6,-48.0,100.0
Bexar,,2022-07-26,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,87.6,-43.0,100.0
Bexar,,2022-07-27,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,74.0,-50.0,100.0
Bexar,,2022-07-27,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.6,-48.0,100.0
Bexar,,2022-07-27,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,87.6,-43.0,100.0
Bexar,,2022-07-28,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,74.0,-57.0,100.0
Bexar,,2022-07-28,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.6,-36.0,100.0
Bexar,,2022-07-28,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,87.6,-51.0,100.0
Bexar,,2022-07-29,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,74.0,-57.0,100.0
Bexar,,2022-07-29,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.6,-36.0,100.0
Bexar,,2022-07-29,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,87.6,-51.0,100.0
Bexar,,2022-07-30,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,74.0,-57.0,100.0
Bexar,,2022-07-30,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,86.6,-36.0,100.0
Bexar,,2022-07-30,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,87.6,-51.0,100.0
Bexar,,2022-07-31,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.8,-30.0,100.0
Bexar,,2022-07-31,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.0,-38.0,100.0
Bexar,,2022-07-31,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,88.2,19.0,100.0
Bexar,,2022-08-01,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.8,-29.0,100.0
Bexar,,2022-08-01,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.0,-45.0,100.0
Bexar,,2022-08-01,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,88.2,109.0,100.0
Bexar,,2022-08-02,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.4,-8.0,100.0
Bexar,,2022-08-02,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.4,-20.0,100.0
Bexar,,2022-08-02,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.4,31.0,100.0
Bexar,,2022-08-03,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.4,53.0,100.0
Bexar,,2022-08-03,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.4,0.0,100.0
Bexar,,2022-08-03,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.4,103.0,100.0
Bexar,,2022-08-04,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.4,53.0,100.0
Bexar,,2022-08-04,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.4,0.0,100.0
Bexar,,2022-08-04,Treatment plant,CDC_BIOBOT_tx_848_Treatment plant_raw wastewater,630000,84.4,103.0,100.0
Bexar,,2022-08-05,Treatment plant,CDC_BIOBOT_tx_847_Treatment plant_raw wastewater,230000,71.4,53.0,100.0
Bexar,,2022-08-05,Treatment plant,CDC_BIOBOT_tx_811_Treatment plant_raw wastewater,415000,81.4,0.0,100.0
