County,Date,normalized_levels_15d,normalized_levels_pct_difference_15d,pct_samples_with_detectable_levels_15d
Bexar,2022-06-26,84.70196078431373,-15.466666666666667,100.0
Bexar,2022-06-27,84.70196078431373,-15.466666666666667,100.0
Bexar,2022-06-28,86.65724313725491,27.133333333333333,100.0
Bexar,2022-06-29,86.65724313725491,27.133333333333333,100.0
Bexar,2022-06-30,86.65724313725491,27.133333333333333,100.0
Bexar,2022-07-01,86.65724313725491,27.133333333333333,100.0
Bexar,2022-07-02,86.65724313725491,27.133333333333333,100.0
Bexar,2022-07-03,86.65724313725491,27.133333333333333,100.0
Bexar,2022-07-04,86.65724313725491,27.133333333333333,100.0
Bexar,2022-07-05,87.3264705882353,11.6,100.0
Bexar,2022-07-06,87.3264705882353,17.152941176470588,100.0
Bexar,2022-07-07,87.3264705882353,17.152941176470588,100.0
Bexar,2022-07-08,87.3264705882353,17.152941176470588,100.0
Bexar,2022-07-09,87.3264705882353,17.152941176470588,100.0
Bexar,2022-07-10,87.3264705882353,17.152941176470588,100.0
Bexar,2022-07-11,91.58949411764706,12.8,100.0
Bexar,2022-07-12,91.58949411764706,12.8,100.0
Bexar,2022-07-13,93.12030980392157,58.247058823529414,100.0
Bexar,2022-07-14,93.12030980392157,58.247058823529414,100.0
Bexar,2022-07-15,93.12030980392157,58.247058823529414,100.0
Bexar,2022-07-16,93.12030980392157,58.247058823529414,100.0
Bexar,2022-07-17,92.50686274509803,21.372549019607842,100.0
Bexar,2022-07-18,92.50686274509803,21.372549019607842,100.0
Bexar,2022-07-19,91.68313725490196,-0.7450980392156863,100.0
Bexar,2022-07-20,91.68313725490196,-30.105882352941176,100.0
Bexar,2022-07-21,91.68313725490196,-30.105882352941176,100.0
Bexar,2022-07-22,91.68313725490196,-30.105882352941176,100.0
Bexar,2022-07-23,91.68313725490196,-30.105882352941176,100.0
Bexar,2022-07-24,88.21882352941176,-46.58039215686274,100.0
Bexar,2022-07-25,88.21882352941176,-46.58039215686274,100.0
Bexar,2022-07-26,84.82117647058824,-45.89019607843137,100.0
Bexar,2022-07-27,84.82117647058824,-45.89019607843137,100.0
Bexar,2022-07-28,84.82117647058824,-47.2,100.0
Bexar,2022-07-29,84.82117647058824,-47.2,100.0
Bexar,2022-07-30,84.82117647058824,-47.2,100.0
Bexar,2022-07-31,82.89803921568627,-8.392156862745098,100.0
Bexar,2022-08-01,82.89803921568627,33.98039215686274,100.0
Bexar,2022-08-02,81.07843137254902,7.364705882352941,100.0
Bexar,2022-08-03,81.07843137254902,60.45490196078431,100.0
Bexar,2022-08-04,81.07843137254902,60.45490196078431,100.0
Bexar,2022-08-05,81.07843137254902,60.45490196078431,100.0
Bexar,2022-08-06,81.07843137254902,60.45490196078431,100.0
Bexar,2022-08-07,78.54901960784314,23.48627450980392,100.0
Bexar,2022-08-08,78.54901960784314,-3.588235294117647,100.0
Bexar,2022-08-09,79.56392156862745,-8.019607843137255,100.0
Bexar,2022-08-10,79.56392156862745,-27.63529411764706,100.0
Bexar,2022-08-11,79.56392156862745,-27.63529411764706,100.0
Bexar,2022-08-12,79.56392156862745,-27.63529411764706,100.0
Bexar,2022-08-13,79.56392156862745,-27.63529411764706,100.0
Bexar,2022-08-14,75.88470588235295,-42.31372549019608,100.0
Bexar,2022-08-15,75.88470588235295,-39.615686274509805,100.0
Bexar,2022-08-16,70.88235294117646,-39.654901960784315,100.0
Bexar,2022-08-17,70.88235294117646,-40.76862745098039,100.0
Bexar,2022-08-18,70.88235294117646,-40.76862745098039,100.0
Bexar,2022-08-19,70.88235294117646,-40.76862745098039,100.0
Bexar,2022-08-20,70.88235294117646,-40.76862745098039,100.0
Bexar,2022-08-21,63.29803921568627,-50.63921568627451,100.0
Bexar,2022-08-22,63.29803921568627,-54.423529411764704,100.0
Bexar,2022-08-23,60.87921568627451,-33.79607843137255,100.0
Bexar,2022-08-24,60.87921568627451,-4.63921568627451,100.0
Bexar,2022-08-25,60.87921568627451,-4.63921568627451,100.0
Bexar,2022-08-26,60.87921568627451,-4.63921568627451,100.0
Bexar,2022-08-27,60.87921568627451,-4.63921568627451,100.0
Bexar,2022-08-28,57.74901960784314,8.094117647058823,100.0
Bexar,2022-08-29,57.74901960784314,15.337254901960785,100.0
Bexar,2022-08-30,62.80156862745098,70.75294117647059,100.0
Bexar,2022-08-31,62.80156862745098,245.03529411764706,100.0
Bexar,2022-09-01,62.80156862745098,245.03529411764706,100.0
Bexar,2022-09-02,62.80156862745098,245.03529411764706,100.0
Bexar,2022-09-03,62.80156862745098,245.03529411764706,100.0
Bexar,2022-09-04,62.80156862745098,245.03529411764706,100.0
Bexar,2022-09-05,67.40392156862745,7.2823529411764705,100.0
Bexar,2022-09-06,67.40392156862745,7.2823529411764705,100.0
Bexar,2022-09-07,64.10098039215686,-38.36470588235294,100.0
Bexar,2022-09-08,64.10098039215686,-38.36470588235294,100.0
Bexar,2022-09-09,64.10098039215686,-38.36470588235294,100.0
Bexar,2022-09-10,64.10098039215686,-38.36470588235294,100.0
Bexar,2022-09-11,60.01882352941176,-40.188235294117646,100.0
Bexar,2022-09-12,60.01882352941176,-58.909803921568624,100.0
Bexar,2022-09-13,61.015686274509804,-33.0,100.0
Bexar,2022-09-14,61.015686274509804,47.219607843137254,100.0
Bexar,2022-09-15,61.015686274509804,47.219607843137254,100.0
Bexar,2022-09-16,61.015686274509804,47.219607843137254,100.0
Bexar,2022-09-17,61.015686274509804,47.219607843137254,100.0
Bexar,2022-09-18,61.015686274509804,47.219607843137254,100.0
