Date,zipcode,population_served,positivity_rate,viral_load_log10,viral_load_pct_vs_baseline
2020-07-06,77002,15613,0.171911723341029,12.6686168935902,100
2020-07-13,77002,15613,0.153873690263162,12.5832242166375,82
2020-07-20,77002,15613,0.136206622626719,12.5025670768874,68
2020-07-27,77002,15613,0.119281485873122,12.431713836313,58
2020-08-03,77002,15613,0.103469245443795,12.3755664445021,51
2020-08-10,77002,15613,0.0891408667801629,12.3390268510425,47
2020-08-17,77002,15613,0.0766673153236477,12.3265998247985,45
2020-08-24,77002,15613,0.0663620040232141,12.3359425797321,46
2020-08-31,77002,15613,0.0583081358579889,12.3589358146856,49
2020-09-07,77002,15613,0.0525313613146401,12.3872792197305,52
2020-09-14,77002,15613,0.0490573308798355,12.4126724849379,55
2020-09-21,77002,15613,0.0479116950402427,12.4268153003793,57
2020-09-28,77002,15613,0.0491201042825296,12.4245482083814,57
2020-10-05,77002,15613,0.0525716245844699,12.4137133931353,56
2020-10-12,77002,15613,0.0576089838882617,12.4055175990188,55
2020-10-19,77002,15613,0.0634383256272089,12.4111675810445,55
2020-10-26,77002,15613,0.0692657932346154,12.4418700942249,59
2020-11-02,77002,15613,0.0742975301437853,12.508742454679,69
2020-11-09,77002,15613,0.0777396797880225,12.6139944280804,88
2020-11-16,77002,15613,0.0790296295378967,12.7434715243469,119
2020-11-23,77002,15613,0.0785297425130406,12.8812628236715,163
2020-11-30,77002,15613,0.0768336257703527,13.0114574062472,220
2020-12-07,77002,15613,0.0745348863667313,13.1181443522667,282
2020-12-14,77002,15613,0.0722271313590749,13.1875217792337,330
2020-12-21,77002,15613,0.0705039678042819,13.2197559853059,356
2020-12-28,77002,15613,0.0697751509803635,13.2206877546906,357
2021-01-04,77002,15613,0.0697150290497823,13.1961741004791,337
2021-01-11,77002,15613,0.0698140983961138,13.1520720357626,304
2021-01-18,77002,15613,0.0695628554029334,13.0942362647802,266
2021-01-25,77002,15613,0.0684517964538165,13.0280113320575,229
2021-02-01,77002,15613,0.0659714179323385,12.9576678420158,195
2021-02-08,77002,15613,0.061802684139307,12.88734410017,165
2021-02-15,77002,15613,0.0563884310444579,12.8211784120347,142
2021-02-22,77002,15613,0.0503619625347593,12.7633090831246,124
2021-03-01,77002,15613,0.0443565824971791,12.7177793917605,112
2021-03-08,77002,15613,0.0390055948186854,12.6850013746475,104
2021-03-15,77002,15613,0.0349423033862463,12.6606972914364,98
2021-03-22,77002,15613,0.032579691269215,12.6402780398895,94
2021-03-29,77002,15613,0.0314494582664861,12.619154517769,89
2021-04-05,77002,15613,0.0308629833593396,12.5927376228371,84
2021-04-12,77002,15613,0.0301316455290552,12.5576615873373,77
2021-04-19,77002,15613,0.0285668237569129,12.5160118602476,70
2021-04-26,77002,15613,0.0254798970241924,12.4713921188823,64
2021-05-03,77002,15613,0.0204814206694186,12.4274061076919,57
2021-05-10,77002,15613,0.0143786554600961,12.3876575711272,52
2021-05-17,77002,15613,0.0082780385209745,12.3557808390538,49
2021-05-24,77002,15613,0.0032860069768032,12.3366552475973,47
2021-05-31,77002,15613,0.000508997952332,12.3368113880318,47
2021-06-07,77002,15613,0.0010534485723103,12.3628937545383,49
2021-06-14,77002,15613,0.0056728441407558,12.4215468412979,57
2021-06-21,77002,15613,0.0137088626787592,12.5194151424918,71
2021-06-28,77002,15613,0.0241502303866791,12.6593080481899,98
2021-07-05,77002,15613,0.0359856734648743,12.8263354636004,144
2021-07-12,77002,15613,0.0482039181137034,13.0005046879118,215
2021-07-19,77002,15613,0.0597936905335254,13.1618225409246,311
2021-07-26,77002,15613,0.0698668822843947,13.2902958424389,418
2021-08-02,77002,15613,0.0780280463651499,13.3662444606303,498
2021-08-09,77002,15613,0.0840049011343251,13.384191672144,519
2021-08-16,77002,15613,0.0875251649504546,13.358384950596,490
2021-08-23,77002,15613,0.0883165561720728,13.304526542826,432
2021-08-30,77002,15613,0.0861067931577138,13.2383186956735,371
2021-09-06,77002,15613,0.0807539411465468,13.1754636559783,321
2021-09-13,77002,15613,0.0726374529002796,13.1279420764726,288
2021-09-20,77002,15613,0.0622671280612551,13.0899735802403,264
2021-09-27,77002,15613,0.050152766271816,13.0504845378401,241
2021-10-04,77002,15613,0.0368041671743049,12.9984003980374,214
2021-10-11,77002,15613,0.0227311304110647,12.9226466095978,179
2021-10-18,77002,15613,0.0087459767399109,12.8122296066494,139
2021-10-25,77002,15613,-0.003128888619449,12.6693869538604,100
2021-11-01,77002,15613,-0.0105685393318352,12.5241547775164,72
2021-11-08,77002,15613,-0.0112480490620674,12.4100783320824,55
2021-11-15,77002,15613,-0.0028424914749652,12.3607028720233,49
2021-11-22,77002,15613,0.0169730597646512,12.4095736518041,55
2021-11-29,77002,15613,0.0491588277824874,12.5831870809243,82
2021-12-06,77002,15613,0.0892162228663502,12.8536274993491,153
2021-12-13,77002,15613,0.131281952094571,13.1676336065403,316
2021-12-20,77002,15613,0.169492722545483,13.471801355331,636
2021-12-27,77002,15613,0.197985241297416,13.7127266985543,1107
2022-01-03,77002,15613,0.210896215428704,13.8370118954489,1474
2022-01-10,77002,15613,0.204262327377148,13.8104355404267,1386
2022-01-17,77002,15613,0.181720161018423,13.6607498494884,982
2022-01-24,77002,15613,0.148806275587677,13.428218386014,575
2022-01-31,77002,15613,0.111057230320056,13.1531047133833,305
2022-02-07,77002,15613,0.0740095844507061,12.8756723949761,161
2022-02-14,77002,15613,0.0431998972147734,12.6344760408897,92
2022-02-21,77002,15613,0.0228569643267843,12.4459581120384,60
2022-02-28,77002,15613,0.0119785274187863,12.3111393295712,44
2022-03-07,77002,15613,0.0082545646022068,12.2307253765217,36
2022-03-14,77002,15613,0.0093750539884733,12.2054219359233,34
2022-03-21,77002,15613,0.0130299736890135,12.2359341399714,37
2022-03-28,77002,15613,0.0169093018152547,12.3191842092146,45
2022-04-04,77002,15613,0.0193445560182431,12.4393192785121,59
2022-04-11,77002,15613,0.0212334121074981,12.5777935837284,81
2022-04-18,77002,15613,0.024115085432158,12.7160613607281,112
2022-04-25,77002,15613,0.0295287913413607,12.8355768453757,147
2022-05-02,77002,15613,0.0390137451842444,12.9184599320222,178
2022-05-09,77002,15613,0.0541091623099472,12.9636247551964,197
2022-05-16,77002,15613,0.0756644496713544,12.9876464287214,208
2022-05-23,77002,15613,0.10176978063634,13.007939200411,218
2022-05-30,77002,15613,0.129825520176527,13.041917318079,236
2022-06-06,77002,15613,0.157232033263536,13.1069950295395,274
2022-06-13,77002,15613,0.18138968486899,13.2142917409403,351
2022-06-20,77002,15613,0.19969883996451,13.3497474917662,480
2022-06-27,77002,15613,0.210169635042948,13.4930074798363,667
2022-07-04,77002,15613,0.213251292682079,13.6237169029692,902
2022-07-11,77002,15613,0.21000280698091,13.7215209589841,1130
2022-07-18,77002,15613,0.201483172038446,13.7666292739341,1253
2022-07-25,77002,15613,0.188751381953693,13.7537468029544,1217
2022-08-01,77002,15613,0.172866430825656,13.692813048593,1057
2022-08-08,77002,15613,0.154850038898779,13.5944730763922,843
2022-08-15,77002,15613,0.135574830999264,13.4693719518945,632
2022-08-22,77002,15613,0.115876158098746,13.3281547406424,457
2022-08-29,77002,15613,0.096589371168866,13.1806219864344,325
2022-09-05,77002,15613,0.0785498211812609,13.0337226470306,232
