nytname,city,county,death,infected,Date
Laredo College,Laredo,Webb,0,-1,2020-10-22
Howard Payne University,Brownwood,Brown,0,-1,2020-10-22
University of St. Thomas,Houston,Harris,0,0,2020-10-22
Texas College,Tyler,Smith,0,1,2020-10-22
East Texas Baptist University,Marshall,Harrison,0,1,2020-10-22
Brazosport College,Richwood,Brazoria,0,1,2020-10-22
Houston Baptist University,Houston,Harris,0,2,2020-10-22
Galveston College,Galveston,Galveston,0,3,2020-10-22
Schreiner University,Kerriville,Kerr,0,4,2020-10-22
Concordia University Texas,Austin,Travis,0,6,2020-10-22
Collin College McKinney,McKinney,Collin,0,6,2020-10-22
University of Texas MD Anderson Cancer Center,Houston,Harris,0,11,2020-10-22
Texas A&M University-Central Texas,Kileen,Bell,0,12,2020-10-22
Trinity University,San Antonia,Bexar,0,15,2020-10-22
Saint Edward's University,Austin,Travis,0,15,2020-10-22
Hill College,Hillsboro,Hill,0,15,2020-10-22
University of North Texas at Dallas,Dallas,Dallas,0,16,2020-10-22
University of Houston-Downtown,Houston,Harris,0,16,2020-10-22
Texas Lutheran University,Seguin,Guadalupe,0,16,2020-10-22
Hardin-Simmons University,Abilene,Taylor,0,16,2020-10-22
Austin Community College District,Austin,Travis,0,17,2020-10-22
University of Dallas,Irving,Dallas,0,19,2020-10-22
Midland College,Midland,Midland,0,19,2020-10-22
Lubbock Christian University,Lubbock,Lubbock,0,25,2020-10-22
Texas Southern University,Houston,Harris,0,26,2020-10-22
Grayson College,Dension,Grayson,0,26,2020-10-22
Texas A&M University-Texarkana,Texarkana,Bowie,0,27,2020-10-22
University of Texas Health Science Center at Tyler,Tyler,Smith,0,28,2020-10-22
St. Mary's University,San Antonio,Bexar,0,28,2020-10-22
Southwestern University,Georgetown,Williamson,0,30,2020-10-22
University of Texas at San Antonio,San Antonio,Bexar,0,31,2020-10-22
University of Houston-Victoria,Victoria,Victoria,0,31,2020-10-22
University of Texas Permian Basin,Odessa,Ector,0,32,2020-10-22
McMurry University,Abilene,Taylor,0,37,2020-10-22
University of North Texas Health Science Center,Fort Worth,Tarrant,0,39,2020-10-22
Texas Woman’s University,Denton,Denton,0,41,2020-10-22
Texas Wesleyan University,Fort Worth,Tarrant,0,42,2020-10-22
Odessa College,Odessa,Ector,0,46,2020-10-22
Dallas Baptist University,Dallas,Dallas,0,46,2020-10-22
LeTourneau University,Longview,Gregg,0,47,2020-10-22
University of Houston-Clear Lake,Houston,Harris,0,50,2020-10-22
Wayland Baptist University,Plainview,Hale,0,51,2020-10-22
University of the Incarnate Word,San Antonio,Bexar,0,52,2020-10-22
University of Texas Medical Branch at Galveston,Galveston,Galveston,0,52,2020-10-22
Texas A&M University-San Antonio,San Antonio,Bexar,0,56,2020-10-22
University of Texas at Dallas,Dallas,Dallas,0,67,2020-10-22
Texas A&M International University,Laredo,Webb,0,83,2020-10-22
Austin College,Sherman,Grayson,0,85,2020-10-22
Midwestern State University,Wichita Falls,Wichita,0,94,2020-10-22
Texas A&M University-Kingsville,Kingsville,Kleberg,0,100,2020-10-22
Sul Ross State University,Alpine,Brewster,0,100,2020-10-22
McLennan Community College,Waco,McLennan,0,113,2020-10-22
Texas Tech University Health Sciences Center El Paso,El Paso,El Paso,0,117,2020-10-22
Tyler Junior College,Tyler,Smith,0,127,2020-10-22
Texas A&M University-Corpus Christi,Corpus Christi,Nueces,0,129,2020-10-22
Rice University,Houston,Harris,0,131,2020-10-22
University of Texas Rio Grande Valley,Edinburg,Hidalgo,0,134,2020-10-22
University of Mary Hardin at Baylor,Belton,Bell,0,136,2020-10-22
University of Texas at Tyler,Tyler,Smith,0,140,2020-10-22
University of Texas at Arlington,Arlington,Tarrant,0,149,2020-10-22
Angelo State University,San Angelo,Tom Green,0,151,2020-10-22
South Texas College,McAllen,Hidalgo,0,154,2020-10-22
Blinn College,Brenham,Washington,0,158,2020-10-22
Lamar University,Beaumont,Jefferson,0,200,2020-10-22
Texas A&M University-Commerce,Commerce,Hunt,0,212,2020-10-22
West Texas A&M University,Canyon,Randall,0,215,2020-10-22
University of Texas Health Science Center at San Antonio,San Antonio,Bexar,0,242,2020-10-22
Abilene Christian University,Abilene,Taylor,0,264,2020-10-22
University of Texas Health Science Center at Houston,Houston,Harris,0,286,2020-10-22
Tarleton State University,Stephenville,Erath,0,301,2020-10-22
Prairie View A&M University,Prairie View,Waller,0,305,2020-10-22
University of Houston,Houston,Harris,0,306,2020-10-22
Texas Tech University Health Sciences Center,Lubbock,Lubbock,0,330,2020-10-22
University of Texas Southwestern Medical Center,Dallas,Dallas,0,354,2020-10-22
University of North Texas,Denton,Denton,0,373,2020-10-22
Stephen F. Austin State University,Nacogdoches,Nacogdoches,0,410,2020-10-22
University of Texas at El Paso,El Paso,El Paso,0,497,2020-10-22
Sam Houston State University,Huntsville,Walker,0,513,2020-10-22
Southern Methodist University,Dallas,Dallas,0,710,2020-10-22
Texas State University,San Marcos,Hays,0,757,2020-10-22
Baylor University,Waco,McLennan,0,1150,2020-10-22
Texas Christian University,Fort Worth,Tarrant,0,1219,2020-10-22
University of Texas at Austin,Austin,Travis,2,1396,2020-10-22
Texas A&M University,College Station,Brazos,0,1851,2020-10-22
Texas Tech University,Lubbock,Lubbock,0,2020,2020-10-22
