nytname,city,county,death,infected,Date
Laredo College,Laredo,Webb,0,-1,2020-11-05
Howard Payne University,Brownwood,Brown,0,-1,2020-11-05
Texas College,Tyler,Smith,0,1,2020-11-05
East Texas Baptist University,Marshall,Harrison,0,1,2020-11-05
Brazosport College,Richwood,Brazoria,0,1,2020-11-05
University of St. Thomas,Houston,Harris,0,2,2020-11-05
Houston Baptist University,Houston,Harris,0,2,2020-11-05
Galveston College,Galveston,Galveston,0,3,2020-11-05
Concordia University Texas,Austin,Travis,0,6,2020-11-05
Schreiner University,Kerriville,Kerr,0,9,2020-11-05
University of Texas MD Anderson Cancer Center,Houston,Harris,0,11,2020-11-05
Texas A&M University-Central Texas,Kileen,Bell,0,12,2020-11-05
Saint Edward's University,Austin,Travis,0,16,2020-11-05
University of North Texas at Dallas,Dallas,Dallas,0,20,2020-11-05
Trinity University,San Antonia,Bexar,0,20,2020-11-05
Hill College,Hillsboro,Hill,0,20,2020-11-05
University of Houston-Downtown,Houston,Harris,0,21,2020-11-05
Midland College,Midland,Midland,0,22,2020-11-05
Austin Community College District,Austin,Travis,0,22,2020-11-05
Texas Lutheran University,Seguin,Guadalupe,0,23,2020-11-05
Lubbock Christian University,Lubbock,Lubbock,0,25,2020-11-05
University of Dallas,Irving,Dallas,0,26,2020-11-05
Southwestern University,Georgetown,Williamson,0,31,2020-11-05
University of Texas Permian Basin,Odessa,Ector,0,32,2020-11-05
University of Houston-Victoria,Victoria,Victoria,0,32,2020-11-05
Grayson College,Dension,Grayson,0,32,2020-11-05
St. Mary's University,San Antonio,Bexar,0,37,2020-11-05
Hardin-Simmons University,Abilene,Taylor,0,37,2020-11-05
Texas A&M University-Texarkana,Texarkana,Bowie,0,38,2020-11-05
University of Texas at San Antonio,San Antonio,Bexar,0,41,2020-11-05
Texas Southern University,Houston,Harris,0,41,2020-11-05
University of Texas Health Science Center at Tyler,Tyler,Smith,0,46,2020-11-05
Dallas Baptist University,Dallas,Dallas,0,46,2020-11-05
University of Texas Medical Branch at Galveston,Galveston,Galveston,0,52,2020-11-05
University of the Incarnate Word,San Antonio,Bexar,0,55,2020-11-05
University of North Texas Health Science Center,Fort Worth,Tarrant,0,55,2020-11-05
University of Houston-Clear Lake,Houston,Harris,0,55,2020-11-05
Texas Woman’s University,Denton,Denton,0,60,2020-11-05
Texas Wesleyan University,Fort Worth,Tarrant,0,64,2020-11-05
McMurry University,Abilene,Taylor,0,66,2020-11-05
Texas A&M University-San Antonio,San Antonio,Bexar,0,71,2020-11-05
LeTourneau University,Longview,Gregg,0,71,2020-11-05
Odessa College,Odessa,Ector,0,75,2020-11-05
University of Texas at Dallas,Dallas,Dallas,0,80,2020-11-05
Texas A&M International University,Laredo,Webb,0,85,2020-11-05
Austin College,Sherman,Grayson,0,87,2020-11-05
Collin College McKinney,McKinney,Collin,1,89,2020-11-05
Texas A&M University-Kingsville,Kingsville,Kleberg,0,122,2020-11-05
Sul Ross State University,Alpine,Brewster,0,125,2020-11-05
Texas Tech University Health Sciences Center El Paso,El Paso,El Paso,0,128,2020-11-05
Texas A&M University-Corpus Christi,Corpus Christi,Nueces,0,129,2020-11-05
McLennan Community College,Waco,McLennan,0,129,2020-11-05
Tyler Junior College,Tyler,Smith,0,132,2020-11-05
Midwestern State University,Wichita Falls,Wichita,0,133,2020-11-05
Rice University,Houston,Harris,0,147,2020-11-05
University of Mary Hardin at Baylor,Belton,Bell,0,149,2020-11-05
South Texas College,McAllen,Hidalgo,0,154,2020-11-05
University of Texas at Tyler,Tyler,Smith,0,170,2020-11-05
Angelo State University,San Angelo,Tom Green,0,178,2020-11-05
Wayland Baptist University,Plainview,Hale,0,179,2020-11-05
University of Texas Rio Grande Valley,Edinburg,Hidalgo,0,180,2020-11-05
University of Texas at Arlington,Arlington,Tarrant,0,184,2020-11-05
Lamar University,Beaumont,Jefferson,0,217,2020-11-05
Texas A&M University-Commerce,Commerce,Hunt,0,241,2020-11-05
Blinn College,Brenham,Washington,0,243,2020-11-05
University of Texas Health Science Center at San Antonio,San Antonio,Bexar,0,251,2020-11-05
Abilene Christian University,Abilene,Taylor,0,297,2020-11-05
University of Texas Health Science Center at Houston,Houston,Harris,0,301,2020-11-05
University of Houston,Houston,Harris,0,341,2020-11-05
Tarleton State University,Stephenville,Erath,0,347,2020-11-05
University of Texas Southwestern Medical Center,Dallas,Dallas,0,392,2020-11-05
Prairie View A&M University,Prairie View,Waller,0,392,2020-11-05
West Texas A&M University,Canyon,Randall,0,408,2020-11-05
Texas Tech University Health Sciences Center,Lubbock,Lubbock,0,428,2020-11-05
Stephen F. Austin State University,Nacogdoches,Nacogdoches,0,433,2020-11-05
University of North Texas,Denton,Denton,0,474,2020-11-05
Sam Houston State University,Huntsville,Walker,0,652,2020-11-05
Southern Methodist University,Dallas,Dallas,0,757,2020-11-05
Texas State University,San Marcos,Hays,0,797,2020-11-05
University of Texas at El Paso,El Paso,El Paso,0,835,2020-11-05
Baylor University,Waco,McLennan,0,1181,2020-11-05
Texas Christian University,Fort Worth,Tarrant,0,1292,2020-11-05
University of Texas at Austin,Austin,Travis,2,1581,2020-11-05
Texas A&M University,College Station,Brazos,0,2037,2020-11-05
Texas Tech University,Lubbock,Lubbock,0,2259,2020-11-05
