nytname,city,county,death,infected,Date
Laredo College,Laredo,Webb,0,-1,2020-12-11
Howard Payne University,Brownwood,Brown,0,-1,2020-12-11
Texas College,Tyler,Smith,0,1,2020-12-11
East Texas Baptist University,Marshall,Harrison,0,1,2020-12-11
Brazosport College,Richwood,Brazoria,0,1,2020-12-11
Houston Baptist University,Houston,Harris,0,2,2020-12-11
Concordia University Texas,Austin,Travis,0,7,2020-12-11
Schreiner University,Kerriville,Kerr,0,9,2020-12-11
Galveston College,Galveston,Galveston,0,9,2020-12-11
University of Texas MD Anderson Cancer Center,Houston,Harris,0,16,2020-12-11
Texas A&M University-Central Texas,Kileen,Bell,0,18,2020-12-11
Saint Edward's University,Austin,Travis,0,20,2020-12-11
Trinity University,San Antonia,Bexar,0,26,2020-12-11
Austin Community College District,Austin,Travis,0,29,2020-12-11
University of North Texas at Dallas,Dallas,Dallas,0,31,2020-12-11
University of Houston-Downtown,Houston,Harris,0,32,2020-12-11
Grayson College,Dension,Grayson,0,32,2020-12-11
Hill College,Hillsboro,Hill,0,35,2020-12-11
Texas Lutheran University,Seguin,Guadalupe,0,36,2020-12-11
Southwestern University,Georgetown,Williamson,0,37,2020-12-11
Hardin-Simmons University,Abilene,Taylor,0,37,2020-12-11
University of Houston-Victoria,Victoria,Victoria,0,40,2020-12-11
Texas Southern University,Houston,Harris,0,54,2020-12-11
Midland College,Midland,Midland,0,57,2020-12-11
St. Mary's University,San Antonio,Bexar,0,59,2020-12-11
Dallas Baptist University,Dallas,Dallas,0,60,2020-12-11
University of St. Thomas,Houston,Harris,0,61,2020-12-11
University of Texas Health Science Center at Tyler,Tyler,Smith,0,71,2020-12-11
LeTourneau University,Longview,Gregg,0,71,2020-12-11
University of Houston-Clear Lake,Houston,Harris,0,72,2020-12-11
University of Dallas,Irving,Dallas,0,73,2020-12-11
University of Texas at San Antonio,San Antonio,Bexar,0,78,2020-12-11
Texarkana College,Texarkana,Bowie,1,78,2020-12-11
Texas Wesleyan University,Fort Worth,Tarrant,0,93,2020-12-11
Texas A&M University-San Antonio,San Antonio,Bexar,0,94,2020-12-11
Austin College,Sherman,Grayson,0,97,2020-12-11
Texas A&M University-Texarkana,Texarkana,Bowie,0,107,2020-12-11
Texas Woman’s University,Denton,Denton,0,125,2020-12-11
McMurry University,Abilene,Taylor,0,125,2020-12-11
University of the Incarnate Word,San Antonio,Bexar,0,128,2020-12-11
Texas A&M International University,Laredo,Webb,0,128,2020-12-11
University of Texas at Dallas,Dallas,Dallas,0,131,2020-12-11
University of North Texas Health Science Center,Fort Worth,Tarrant,0,143,2020-12-11
Tyler Junior College,Tyler,Smith,0,153,2020-12-11
Texas A&M University-Kingsville,Kingsville,Kleberg,0,184,2020-12-11
University of Mary Hardin at Baylor,Belton,Bell,0,186,2020-12-11
Odessa College,Odessa,Ector,0,186,2020-12-11
South Texas College,McAllen,Hidalgo,0,198,2020-12-11
Rice University,Houston,Harris,0,210,2020-12-11
Lubbock Christian University,Lubbock,Lubbock,0,232,2020-12-11
University of Texas Rio Grande Valley,Edinburg,Hidalgo,0,233,2020-12-11
University of Texas Permian Basin,Odessa,Ector,0,237,2020-12-11
Texas Tech University Health Sciences Center El Paso,El Paso,El Paso,0,249,2020-12-11
McLennan Community College,Waco,McLennan,0,252,2020-12-11
Blinn College,Brenham,Washington,0,256,2020-12-11
Midwestern State University,Wichita Falls,Wichita,0,257,2020-12-11
Wayland Baptist University,Plainview,Hale,0,265,2020-12-11
University of Texas at Tyler,Tyler,Smith,0,270,2020-12-11
University of Texas at Arlington,Arlington,Tarrant,0,281,2020-12-11
Angelo State University,San Angelo,Tom Green,0,294,2020-12-11
Texas A&M University-Commerce,Commerce,Hunt,0,296,2020-12-11
University of Texas Health Science Center at Houston,Houston,Harris,0,301,2020-12-11
Lamar University,Beaumont,Jefferson,0,302,2020-12-11
Sul Ross State University,Alpine,Brewster,0,317,2020-12-11
University of Texas Health Science Center at San Antonio,San Antonio,Bexar,0,337,2020-12-11
Texas A&M University-Corpus Christi,Corpus Christi,Nueces,0,344,2020-12-11
Collin College McKinney,McKinney,Collin,2,352,2020-12-11
Prairie View A&M University,Prairie View,Waller,0,444,2020-12-11
University of Houston,Houston,Harris,0,484,2020-12-11
Stephen F. Austin State University,Nacogdoches,Nacogdoches,0,518,2020-12-11
Abilene Christian University,Abilene,Taylor,0,553,2020-12-11
Tarleton State University,Stephenville,Erath,0,570,2020-12-11
University of Texas Southwestern Medical Center,Dallas,Dallas,0,640,2020-12-11
West Texas A&M University,Canyon,Randall,0,801,2020-12-11
Texas Tech University Health Sciences Center,Lubbock,Lubbock,0,834,2020-12-11
University of North Texas,Denton,Denton,0,901,2020-12-11
Southern Methodist University,Dallas,Dallas,0,920,2020-12-11
Sam Houston State University,Huntsville,Walker,0,1016,2020-12-11
University of Texas Medical Branch at Galveston,Galveston,Galveston,1,1165,2020-12-11
Texas State University,San Marcos,Hays,0,1224,2020-12-11
University of Texas at El Paso,El Paso,El Paso,0,1268,2020-12-11
Texas Christian University,Fort Worth,Tarrant,0,1591,2020-12-11
Baylor University,Waco,McLennan,0,1702,2020-12-11
University of Texas at Austin,Austin,Travis,2,2102,2020-12-11
Texas A&M University,College Station,Brazos,0,2767,2020-12-11
Texas Tech University,Lubbock,Lubbock,0,3141,2020-12-11
