"TSA","Date","Cases_Raw","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"L - Central Texas",2020-03-18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-24,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-25,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-28,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-03-31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-01,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-02,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-03,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-04,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-05,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-07,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-08,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L - Central Texas",2020-04-09,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
