"Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
2020-06-04,1449.42857142857,NA,NA,0,3,0,0,1,2,0
2020-06-05,1515.57142857143,NA,NA,0,3,0,0,1,2,0
2020-06-06,1602.57142857143,NA,NA,0,3,0,0,1,2,0
2020-06-07,1527.85714285714,NA,NA,0,3,0,0,1,2,0
2020-06-08,1534.28571428571,NA,NA,0,3,0,0,1,2,0
2020-06-09,1557.85714285714,NA,NA,0,3,0,0,1,2,0
2020-06-10,1673,NA,NA,0,3,0,0,1,2,0
2020-06-11,1698.14285714286,NA,NA,0,3,0,0,1,2,0
2020-06-12,1755.85714285714,NA,NA,0,3,0,0,1,2,0
2020-06-13,1811.42857142857,NA,NA,0,3,0,0,1,2,0
2020-06-14,1871,NA,NA,0,3,0,0,1,2,0
2020-06-15,1959,NA,NA,0,3,0,0,1,2,0
2020-06-16,2279.71428571429,NA,NA,0,3,0,0,1,2,0
2020-06-17,2369.85714285714,NA,NA,0,3,0,0,1,2,0
2020-06-18,2611.28571428571,NA,NA,0,3,0,0,1,2,0
2020-06-19,2805.14285714286,NA,NA,0,3,0,0,1,2,0
2020-06-20,3105,NA,NA,0,3,0,0,1,2,0
2020-06-21,3394,NA,NA,0,3,0,0,1,2,0
2020-06-22,3683.42857142857,NA,NA,0,3,0,0,1,2,0
2020-06-23,3974.96626709138,3923.88529841626,4026.0472357665,0,3,0,0,1,2,0
2020-06-24,4280.10076159246,4202.45898425284,4357.74253893208,0,3,0,0,1,2,0
2020-06-25,4589.41812548671,4477.10172532212,4701.73452565129,0,3,0,0,1,2,0
2020-06-26,4898.73548938095,4739.18246792001,5058.28851084189,0,3,0,0,1,2,0
2020-06-27,5208.0528532752,4992.12702057612,5423.97868597427,0,3,0,0,1,2,0
2020-06-28,5517.37021716944,5237.75528488124,5796.98514945764,0,3,0,0,1,2,0
2020-06-29,5826.68758106369,5477.10505438832,6176.27010773906,0,3,0,0,1,2,0
2020-06-30,6136.00494495793,5710.84214799002,6561.16774192584,0,3,0,0,1,2,0
2020-07-01,6445.32230885218,5939.43691257231,6951.20770513205,0,3,0,0,1,2,0
2020-07-02,6754.63967274642,6163.24557859946,7346.03376689338,0,3,0,0,1,2,0
