"Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
2020-06-03,NA,NA,NA,1,0,0,0,1,2,0
2020-06-04,NA,NA,NA,1,0,0,0,1,2,0
2020-06-05,NA,NA,NA,1,0,0,0,1,2,0
2020-06-06,NA,NA,NA,1,0,0,0,1,2,0
2020-06-07,NA,NA,NA,1,0,0,0,1,2,0
2020-06-08,NA,NA,NA,1,0,0,0,1,2,0
2020-06-09,1557.85714285714,NA,NA,1,0,0,0,1,2,0
2020-06-10,1673,NA,NA,1,0,0,0,1,2,0
2020-06-11,1698.14285714286,NA,NA,1,0,0,0,1,2,0
2020-06-12,1755.85714285714,NA,NA,1,0,0,0,1,2,0
2020-06-13,1811.42857142857,NA,NA,1,0,0,0,1,2,0
2020-06-14,1871,NA,NA,1,0,0,0,1,2,0
2020-06-15,1959,NA,NA,1,0,0,0,1,2,0
2020-06-16,2279.71428571429,NA,NA,1,0,0,0,1,2,0
2020-06-17,2369.85714285714,NA,NA,1,0,0,0,1,2,0
2020-06-18,2611.28571428571,NA,NA,1,0,0,0,1,2,0
2020-06-19,2805.14285714286,NA,NA,1,0,0,0,1,2,0
2020-06-20,3105,NA,NA,1,0,0,0,1,2,0
2020-06-21,3394,NA,NA,1,0,0,0,1,2,0
2020-06-22,3683.42857142857,NA,NA,1,0,0,0,1,2,0
2020-06-23,3972.59021886803,3879.88877712661,4065.29166060945,1,0,0,0,1,2,0
2020-06-24,4261.91811261141,4104.1453384358,4419.69088678701,1,0,0,0,1,2,0
2020-06-25,4551.14246439267,4297.50774169267,4804.77718709268,1,0,0,0,1,2,0
2020-06-26,4840.43130445226,4486.31505366105,5194.54755524348,1,0,0,0,1,2,0
2020-06-27,5129.67997975202,4659.30993128951,5600.05002821453,1,0,0,0,1,2,0
2020-06-28,5418.95367057358,4824.56588609382,6013.34145505334,1,0,0,0,1,2,0
2020-06-29,5708.21178116178,4978.91392856564,6437.50963375792,1,0,0,0,1,2,0
2020-06-30,5997.47959547207,5125.26577683662,6869.69341410752,1,0,0,0,1,2,0
2020-07-01,6286.74136608454,5262.81620520014,7310.66652696894,1,0,0,0,1,2,0
2020-07-02,6576.00690084885,5392.77731629208,7759.23648540562,1,0,0,0,1,2,0
