"Level","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"Anderson",2020-06-03,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-04,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-05,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-06,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-07,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-08,NA,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-09,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-10,2.14285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-11,1.71428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-12,1.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-13,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-14,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-15,2.42857142857143,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-16,128.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-17,128.428571428571,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-18,129.714285714286,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-19,130.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-20,129.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-21,129.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-22,129.285714285714,NA,NA,0,0,0,0,1,1,0
"Anderson",2020-06-23,129.285714285714,93.1024977648513,165.468930806577,0,0,0,0,1,1,0
"Anderson",2020-06-24,129.285714285714,78.1149187516277,180.456509819801,0,0,0,0,1,1,0
"Anderson",2020-06-25,129.285714285714,66.6145448903141,191.956883681114,0,0,0,0,1,1,0
"Anderson",2020-06-26,129.285714285714,56.9192812439884,201.65214732744,0,0,0,0,1,1,0
"Anderson",2020-06-27,129.285714285714,48.3775825004713,210.193846070957,0,0,0,0,1,1,0
"Anderson",2020-06-28,129.285714285714,40.6552965569577,217.916132014471,0,0,0,0,1,1,0
"Anderson",2020-06-29,129.285714285714,33.5539217371072,225.017506834321,0,0,0,0,1,1,0
"Anderson",2020-06-30,129.285714285714,26.9441232175411,231.627305353887,0,0,0,0,1,1,0
"Anderson",2020-07-01,129.285714285714,20.7360647231255,237.835363848303,0,0,0,0,1,1,0
"Anderson",2020-07-02,129.285714285714,14.864337008754,243.707091562675,0,0,0,0,1,1,0
"Andrews",2020-06-03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-04,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-09,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews",2020-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
