"Metro_Area","Date","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Order_Seasonal_Autoreg","Order_Seasonal_Moving_Avg","Period","Differencing","Differencing_Seasonal"
"Metro",2020-05-01,NA,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-02,NA,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-03,NA,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-04,NA,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-05,NA,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-06,NA,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-07,953.857142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-08,967.857142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-09,966.857142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-10,961.142857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-11,995,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-12,1015.14285714286,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-13,1045.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-14,1089.14285714286,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-15,1103.42857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-16,1176,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-17,1153.42857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-18,1134.42857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-19,1138.28571428571,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-20,1140.71428571429,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-21,1086,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-22,1085.28571428571,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-23,978,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-24,989.142857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-25,950,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-26,876,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-27,846.571428571429,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-28,914,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-29,894.857142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-30,923,NA,NA,1,2,0,0,1,2,0
"Metro",2020-05-31,972.714285714286,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-01,970.428571428571,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-02,1082.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-03,1141.14285714286,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-04,1139.85714285714,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-05,1209,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-06,1304.71428571429,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-07,1340.42857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-08,1351.28571428571,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-09,1415,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-10,1542.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-11,1583,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-12,1633.71428571429,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-13,1679.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-14,1734.14285714286,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-15,1817.42857142857,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-16,1999.57142857143,NA,NA,1,2,0,0,1,2,0
"Metro",2020-06-17,2083.57142857143,NA,NA,1,2,0,0,1,2,0
