County,Date,cases_daily
Tarrant,2020-03-14,11
Tarrant,2020-03-21,144
Tarrant,2020-03-28,348
Tarrant,2020-04-04,362
Tarrant,2020-04-11,402
Tarrant,2020-04-18,434
Tarrant,2020-04-25,833
Tarrant,2020-05-02,1013
Tarrant,2020-05-09,736
Tarrant,2020-05-16,673
Tarrant,2020-05-23,624
Tarrant,2020-05-30,696
Tarrant,2020-06-06,887
Tarrant,2020-06-13,1502
Tarrant,2020-06-20,2525
Tarrant,2020-06-27,4613
Tarrant,2020-07-04,5596
Tarrant,2020-07-11,5944
Tarrant,2020-07-18,4104
Tarrant,2020-07-25,3276
Tarrant,2020-08-01,2640
Tarrant,2020-08-08,2116
Tarrant,2020-08-15,1578
Tarrant,2020-08-22,1512
Tarrant,2020-08-29,1816
Tarrant,2020-09-05,1647
Tarrant,2020-09-12,1510
Tarrant,2020-09-19,1994
Tarrant,2020-09-26,2293
Tarrant,2020-10-03,2581
Tarrant,2020-10-10,3618
Tarrant,2020-10-17,4017
Tarrant,2020-10-24,4487
Tarrant,2020-10-31,4587
Tarrant,2020-11-07,7552
Tarrant,2020-11-14,9296
Tarrant,2020-11-21,9789
Tarrant,2020-11-28,7977
Tarrant,2020-12-05,10890
Tarrant,2020-12-12,11340
Tarrant,2020-12-19,13016
Tarrant,2020-12-26,12395
Tarrant,2021-01-02,17405
Tarrant,2021-01-09,19377
Tarrant,2021-01-16,13677
Tarrant,2021-01-23,11762
Tarrant,2021-01-30,9927
Tarrant,2021-02-06,7633
Tarrant,2021-02-13,4831
Tarrant,2021-02-20,1733
Tarrant,2021-02-27,3329
Tarrant,2021-03-06,2005
Tarrant,2021-03-13,1660
Tarrant,2021-03-20,1282
Tarrant,2021-03-27,1252
Tarrant,2021-04-03,1353
Tarrant,2021-04-10,1349
Tarrant,2021-04-17,1220
Tarrant,2021-04-24,1187
Tarrant,2021-05-01,1097
Tarrant,2021-05-08,938
Tarrant,2021-05-15,760
Tarrant,2021-05-22,673
Tarrant,2021-05-29,557
Tarrant,2021-06-05,491
Tarrant,2021-06-12,533
Tarrant,2021-06-19,637
Tarrant,2021-06-26,858
Tarrant,2021-07-03,1148
Tarrant,2021-07-10,1608
Tarrant,2021-07-17,2456
Tarrant,2021-07-24,3867
Tarrant,2021-07-31,5683
Tarrant,2021-08-07,7328
Tarrant,2021-08-14,7937
Tarrant,2021-08-21,8736
Tarrant,2021-08-28,10843
Tarrant,2021-09-04,11670
Tarrant,2021-09-11,9613
Tarrant,2021-09-18,7919
Tarrant,2021-09-25,6039
Tarrant,2021-10-02,4993
Tarrant,2021-10-09,3921
Tarrant,2021-10-16,2972
Tarrant,2021-10-23,2428
Tarrant,2021-10-30,1829
Tarrant,2021-11-06,1746
Tarrant,2021-11-13,2010
Tarrant,2021-11-20,1843
Tarrant,2021-11-27,1617
Tarrant,2021-12-04,2428
Tarrant,2021-12-11,2061
Tarrant,2021-12-18,3289
Tarrant,2021-12-25,9113
Tarrant,2022-01-01,29184
Tarrant,2022-01-08,40372
Tarrant,2022-01-15,44252
Tarrant,2022-01-22,30838
Tarrant,2022-01-29,17160
Tarrant,2022-02-05,6608
Tarrant,2022-02-12,3523
Tarrant,2022-02-19,1738
Tarrant,2022-02-26,945
Tarrant,2022-03-05,655
Tarrant,2022-03-12,632
Tarrant,2022-03-19,393
Tarrant,2022-03-26,379
Tarrant,2022-04-02,326
Tarrant,2022-04-09,404
Tarrant,2022-04-16,467
Tarrant,2022-04-23,532
Tarrant,2022-04-30,622
Tarrant,2022-05-07,839
Tarrant,2022-05-14,1105
Tarrant,2022-05-21,1602
Tarrant,2022-05-28,2081
Tarrant,2022-06-04,2737
Tarrant,2022-06-11,2835
Tarrant,2022-06-18,3266
Tarrant,2022-06-25,4481
Tarrant,2022-07-02,4855
Tarrant,2022-07-09,5799
Tarrant,2022-07-16,6503
Tarrant,2022-07-23,6869
Tarrant,2022-07-30,6329
Tarrant,2022-08-06,5518
Tarrant,2022-08-13,4545
Tarrant,2022-08-20,4110
Tarrant,2022-08-27,4888
Tarrant,2022-09-03,4820
Tarrant,2022-09-10,3180
Tarrant,2022-09-17,2186
Tarrant,2022-09-24,1500
Tarrant,2022-10-01,1009
Tarrant,2022-10-08,930
Tarrant,2022-10-15,834
Tarrant,2022-10-22,847
Tarrant,2022-10-29,925
Tarrant,2022-11-05,1139
Tarrant,2022-11-12,1129
Tarrant,2022-11-19,1143
Tarrant,2022-11-26,1627
Tarrant,2022-12-03,2456
Tarrant,2022-12-10,2512
Tarrant,2022-12-17,2406
Tarrant,2022-12-24,2487
Tarrant,2022-12-31,3169
Tarrant,2023-01-07,2970
Tarrant,2023-01-14,2455
Tarrant,2023-01-21,2017
Tarrant,2023-01-28,1962
Tarrant,2023-02-04,1148
Tarrant,2023-02-11,1189
Tarrant,2023-02-18,1152
Tarrant,2023-02-25,1166
Tarrant,2023-03-04,1247
Tarrant,2023-03-11,1127
Tarrant,2023-03-18,698
Tarrant,2023-03-25,904
Tarrant,2023-04-01,700
Tarrant,2023-04-08,739
Tarrant,2023-04-15,789
Tarrant,2023-04-22,594
Tarrant,2023-04-29,491
Tarrant,2023-05-06,392
Tarrant,2023-05-13,354
Tarrant,2023-05-20,212
