County,Date,cases_daily
Harris,2020-03-05,2
Harris,2020-03-12,2
Harris,2020-03-13,1
Harris,2020-03-15,2
Harris,2020-03-16,6
Harris,2020-03-17,7
Harris,2020-03-18,6
Harris,2020-03-19,9
Harris,2020-03-20,12
Harris,2020-03-21,6
Harris,2020-03-22,6
Harris,2020-03-23,20
Harris,2020-03-24,33
Harris,2020-03-25,16
Harris,2020-03-26,32
Harris,2020-03-28,48
Harris,2020-03-29,20
Harris,2020-03-30,15
Harris,2020-03-31,48
Harris,2020-04-01,81
Harris,2020-04-02,59
Harris,2020-04-03,65
Harris,2020-04-04,73
Harris,2020-04-05,53
Harris,2020-04-06,16
Harris,2020-04-07,161
Harris,2020-04-08,130
Harris,2020-04-09,90
Harris,2020-04-10,143
Harris,2020-04-11,192
Harris,2020-04-12,74
Harris,2020-04-13,8
Harris,2020-04-14,118
Harris,2020-04-15,135
Harris,2020-04-16,82
Harris,2020-04-17,39
Harris,2020-04-18,74
Harris,2020-04-19,38
Harris,2020-04-20,48
Harris,2020-04-21,145
Harris,2020-04-22,40
Harris,2020-04-23,53
Harris,2020-04-24,76
Harris,2020-04-25,40
Harris,2020-04-26,40
Harris,2020-04-27,22
Harris,2020-04-28,107
Harris,2020-04-29,79
Harris,2020-04-30,93
Harris,2020-05-01,86
Harris,2020-05-02,39
Harris,2020-05-03,56
Harris,2020-05-04,47
Harris,2020-05-05,86
Harris,2020-05-06,39
Harris,2020-05-07,43
Harris,2020-05-08,27
Harris,2020-05-09,93
Harris,2020-05-10,75
Harris,2020-05-11,69
Harris,2020-05-12,86
Harris,2020-05-13,85
Harris,2020-05-14,43
Harris,2020-05-15,65
Harris,2020-05-16,75
Harris,2020-05-17,23
Harris,2020-05-18,27
Harris,2020-05-19,113
Harris,2020-05-20,95
Harris,2020-05-21,49
Harris,2020-05-22,91
Harris,2020-05-23,60
Harris,2020-05-24,37
Harris,2020-05-25,73
Harris,2020-05-26,25
Harris,2020-05-27,150
Harris,2020-05-28,119
Harris,2020-05-29,68
Harris,2020-05-30,85
Harris,2020-05-31,58
Harris,2020-06-01,47
Harris,2020-06-02,189
Harris,2020-06-03,100
Harris,2020-06-04,148
Harris,2020-06-05,220
Harris,2020-06-06,248
Harris,2020-06-07,151
Harris,2020-06-08,27
Harris,2020-06-09,159
Harris,2020-06-10,147
Harris,2020-06-11,147
Harris,2020-06-12,179
Harris,2020-06-13,201
Harris,2020-06-14,205
Harris,2020-06-15,128
Harris,2020-06-16,190
Harris,2020-06-17,261
Harris,2020-06-18,183
Harris,2020-06-19,215
Harris,2020-06-20,290
Harris,2020-06-21,170
Harris,2020-06-22,199
Harris,2020-06-23,410
Harris,2020-06-24,372
Harris,2020-06-25,298
Harris,2020-06-26,364
Harris,2020-06-27,272
Harris,2020-06-28,113
Harris,2020-06-29,137
Harris,2020-06-30,409
Harris,2020-07-01,584
Harris,2020-07-02,490
Harris,2020-07-03,442
Harris,2020-07-04,362
Harris,2020-07-05,194
Harris,2020-07-06,217
Harris,2020-07-07,464
Harris,2020-07-08,487
Harris,2020-07-09,483
Harris,2020-07-10,402
Harris,2020-07-11,407
Harris,2020-07-12,216
Harris,2020-07-13,452
Harris,2020-07-14,629
Harris,2020-07-15,615
Harris,2020-07-16,594
Harris,2020-07-17,572
Harris,2020-07-18,531
Harris,2020-07-19,254
Harris,2020-07-20,441
Harris,2020-07-21,607
Harris,2020-07-22,654
Harris,2020-07-23,551
Harris,2020-07-24,551
Harris,2020-07-25,671
Harris,2020-07-26,245
Harris,2020-07-27,510
Harris,2020-07-28,586
Harris,2020-07-29,411
Harris,2020-07-30,408
Harris,2020-07-31,545
Harris,2020-08-01,449
Harris,2020-08-02,386
Harris,2020-08-03,366
Harris,2020-08-04,700
Harris,2020-08-05,638
Harris,2020-08-06,674
Harris,2020-08-07,587
Harris,2020-08-08,653
Harris,2020-08-09,450
Harris,2020-08-10,365
Harris,2020-08-11,625
Harris,2020-08-12,544
Harris,2020-08-13,492
Harris,2020-08-14,694
Harris,2020-08-15,422
Harris,2020-08-16,234
Harris,2020-08-17,339
Harris,2020-08-18,528
Harris,2020-08-19,426
Harris,2020-08-20,447
Harris,2020-08-21,573
Harris,2020-08-22,447
Harris,2020-08-23,316
Harris,2020-08-24,385
Harris,2020-08-25,493
Harris,2020-08-26,534
Harris,2020-08-27,301
Harris,2020-08-28,1061
Harris,2020-08-29,1044
Harris,2020-08-30,643
Harris,2020-08-31,678
Harris,2020-09-01,749
Harris,2020-09-02,428
Harris,2020-09-03,389
Harris,2020-09-04,506
Harris,2020-09-05,426
Harris,2020-09-06,300
Harris,2020-09-07,144
Harris,2020-09-08,54
Harris,2020-09-09,514
Harris,2020-09-10,510
Harris,2020-09-11,577
Harris,2020-09-12,379
Harris,2020-09-13,228
Harris,2020-09-14,330
Harris,2020-09-15,2168
Harris,2020-09-16,226
Harris,2020-09-17,556
Harris,2020-09-18,454
Harris,2020-09-19,437
Harris,2020-09-20,196
Harris,2020-09-21,12361
Harris,2020-09-22,242
Harris,2020-09-23,296
Harris,2020-09-24,316
Harris,2020-09-25,524
Harris,2020-09-26,179
Harris,2020-09-27,289
Harris,2020-09-28,162
Harris,2020-09-29,433
Harris,2020-09-30,185
Harris,2020-10-01,621
Harris,2020-10-02,247
Harris,2020-10-03,335
Harris,2020-10-04,219
Harris,2020-10-05,132
Harris,2020-10-06,282
Harris,2020-10-07,399
Harris,2020-10-08,314
Harris,2020-10-09,94
Harris,2020-10-10,320
Harris,2020-10-11,229
Harris,2020-10-12,70
Harris,2020-10-13,264
Harris,2020-10-14,330
Harris,2020-10-15,172
Harris,2020-10-16,518
Harris,2020-10-17,283
Harris,2020-10-18,189
Harris,2020-10-19,145
Harris,2020-10-20,338
Harris,2020-10-21,345
Harris,2020-10-22,455
Harris,2020-10-23,227
Harris,2020-10-24,466
Harris,2020-10-25,96
Harris,2020-10-26,352
Harris,2020-10-27,342
Harris,2020-10-28,346
Harris,2020-10-29,262
Harris,2020-10-30,369
Harris,2020-10-31,221
Harris,2020-11-01,247
Harris,2020-11-02,233
Harris,2020-11-03,297
Harris,2020-11-04,353
Harris,2020-11-05,550
Harris,2020-11-06,293
Harris,2020-11-07,164
Harris,2020-11-08,478
Harris,2020-11-09,274
Harris,2020-11-10,131
Harris,2020-11-11,2032
Harris,2020-11-12,424
Harris,2020-11-13,457
Harris,2020-11-14,93
Harris,2020-11-15,803
Harris,2020-11-16,796
Harris,2020-11-17,293
Harris,2020-11-18,439
Harris,2020-11-19,657
Harris,2020-11-20,960
Harris,2020-11-21,669
Harris,2020-11-22,520
Harris,2020-11-23,625
Harris,2020-11-24,1523
Harris,2020-11-25,674
Harris,2020-11-26,601
Harris,2020-11-27,107
Harris,2020-11-28,65
Harris,2020-11-29,1371
Harris,2020-11-30,210
Harris,2020-12-01,400
Harris,2020-12-02,545
Harris,2020-12-03,741
Harris,2020-12-04,619
Harris,2020-12-05,988
Harris,2020-12-06,991
Harris,2020-12-07,241
Harris,2020-12-08,755
Harris,2020-12-09,848
Harris,2020-12-10,387
Harris,2020-12-11,1356
Harris,2020-12-12,784
Harris,2020-12-13,798
Harris,2020-12-14,600
Harris,2020-12-15,871
Harris,2020-12-16,903
Harris,2020-12-17,795
Harris,2020-12-18,1354
Harris,2020-12-19,746
Harris,2020-12-20,324
Harris,2020-12-21,1803
Harris,2020-12-22,767
Harris,2020-12-23,801
Harris,2020-12-24,891
Harris,2020-12-25,261
Harris,2020-12-26,83
Harris,2020-12-27,3013
Harris,2020-12-28,872
Harris,2020-12-29,725
Harris,2020-12-30,1248
Harris,2020-12-31,1073
Harris,2021-01-01,1090
