"Metro_Area","Date","Rt","lower","upper"
"Metro",2020-03-15,2.85489970634527,1.85714285714286,3.71428571428571
"Metro",2020-03-16,2.64006524843105,1.5,3.67083333333333
"Metro",2020-03-17,2.678610405597,1.52173913043478,3.65597826086956
"Metro",2020-03-18,2.71267379737997,1.69354838709677,3.7258064516129
"Metro",2020-03-19,2.80518470910071,1.90123456790123,3.62962962962963
"Metro",2020-03-20,2.63346112999598,1.97931034482759,3.23448275862069
"Metro",2020-03-21,2.49352780928772,1.95024875621891,2.99502487562189
"Metro",2020-03-22,2.64027793874451,2.09644670050761,3.16243654822335
"Metro",2020-03-23,2.9659383200506,2.42922374429224,3.54794520547945
"Metro",2020-03-24,2.51931606184277,2.24315619967794,2.79549114331723
"Metro",2020-03-25,2.28788248668112,2.05640423031727,2.50881316098707
"Metro",2020-03-26,2.03111082740263,1.83700081499593,2.20796658516707
"Metro",2020-03-27,1.87397249085303,1.71467025572005,2.03028263795424
"Metro",2020-03-28,1.77869333591563,1.63063583815029,1.91791907514451
"Metro",2020-03-29,1.64594538798467,1.51784080512351,1.7740164684355
"Metro",2020-03-30,1.54066316814748,1.42267206477733,1.6607995951417
"Metro",2020-03-31,1.52164184958265,1.40343698854337,1.63836947626841
"Metro",2020-04-01,1.47306225079292,1.37015029709892,1.58790632645928
"Metro",2020-04-02,1.44057076301037,1.34336569579288,1.54498381877023
"Metro",2020-04-03,1.41402187754564,1.31439483832691,1.50553989913972
"Metro",2020-04-04,1.36673958721974,1.27384464751958,1.45304830287206
"Metro",2020-04-05,1.33777197367284,1.25068527286319,1.42690630451034
"Metro",2020-04-06,1.32762624670818,1.23989093959732,1.40771812080537
"Metro",2020-04-07,1.29227310682375,1.21548752115059,1.36653976311337
"Metro",2020-04-08,1.25398828597201,1.18062365169641,1.32343106491469
"Metro",2020-04-09,1.22988721322918,1.15409340139913,1.29703157496691
"Metro",2020-04-10,1.1669375493576,1.09978523046423,1.22930778126549
"Metro",2020-04-11,1.11928636680867,1.05739396411093,1.18192088091354
"Metro",2020-04-12,1.06715194304848,0.99729612720403,1.12518498110831
"Metro",2020-04-13,1.02341783593594,0.96340493237868,1.08377486077963
"Metro",2020-04-14,0.998088892082973,0.935835148266041,1.06017339587871
"Metro",2020-04-15,0.984509458238307,0.919766730735628,1.04822645465665
"Metro",2020-04-16,0.962693344047349,0.903108178503213,1.02225646813683
