"Date","Rt","lower","upper"
2020-03-15,2.86297345891926,1.91813725490196,3.84313725490196
2020-03-16,2.64301307678681,1.43181818181818,3.65909090909091
2020-03-17,2.68280722858735,1.60416666666667,3.79166666666667
2020-03-18,2.72936943578601,1.75,3.609375
2020-03-19,2.80983015724245,1.95348837209302,3.66279069767442
2020-03-20,2.63426841080507,2.05882352941176,3.2483660130719
2020-03-21,2.48734175449298,1.97183098591549,2.95774647887324
2020-03-22,2.63514829384097,2.1304347826087,3.14492753623188
2020-03-23,2.9572850383676,2.42424242424242,3.48484848484849
2020-03-24,2.52020928628466,2.24345146379045,2.79352850539291
2020-03-25,2.28809024818005,2.06942889137738,2.50075587905935
2020-03-26,2.03217795548299,1.85614307931571,2.21553265940902
2020-03-27,1.87640803146448,1.71401028277635,2.04691516709512
2020-03-28,1.78163104248805,1.62548262548263,1.92664092664093
2020-03-29,1.6502107548243,1.52293577981651,1.76758409785933
2020-03-30,1.54625305078901,1.42597603401624,1.66138384228837
2020-03-31,1.53067689384854,1.41151135473767,1.65270164447925
2020-04-01,1.48051563910086,1.37404832836809,1.58728070175439
2020-04-02,1.44671935481506,1.34607153775604,1.54295322531336
2020-04-03,1.4160023826423,1.31895352073476,1.50793209017534
2020-04-04,1.36717719928004,1.28494094488189,1.45210383858268
2020-04-05,1.33863743026539,1.25112001886348,1.42607875501061
2020-04-06,1.32937783249567,1.24956279809221,1.41176470588235
2020-04-07,1.29374926612261,1.22244448889778,1.36670834166833
2020-04-08,1.25784639406216,1.18426133184107,1.32661816825219
2020-04-09,1.23520043957112,1.16645717363979,1.30601095349255
2020-04-10,1.17578298398293,1.11210832939695,1.23998976539128
2020-04-11,1.13052331760619,1.06524097319076,1.19324345265768
2020-04-12,1.08111027766062,1.02145631067961,1.14281926811053
2020-04-13,1.04092728678353,0.982485300768883,1.09965324890698
2020-04-14,1.01704712009273,0.958168316831683,1.07590759075908
2020-04-15,1.0046568140301,0.942987457240593,1.06157354618016
2020-04-16,0.98304496847104,0.920935742971888,1.04465863453815
2020-04-17,0.987068614431849,0.927162280701754,1.05245614035088
2020-04-18,0.987354769408648,0.927355676434462,1.05141252851377
2020-04-19,1.00083723235771,0.933075933075933,1.06821106821107
2020-04-20,1.00750066980551,0.944344380403458,1.07042507204611
2020-04-21,1.01311635268166,0.947236180904523,1.07792085427136
2020-04-22,1.01840036839342,0.953886498117267,1.08323023130715
2020-04-23,1.02924467158045,0.960077413479053,1.09526411657559
2020-04-24,1.04538645041267,0.983779433406917,1.11258278145695
2020-04-25,1.06102944030381,0.993834995466908,1.12713961922031
2020-04-26,1.07026025232759,1.00630362458414,1.13748467869025
2020-04-27,1.07752172887751,1.01249572064362,1.13953697363916
2020-04-28,1.08251152352239,1.01753512880562,1.1510831381733
2020-04-29,1.0935008896474,1.03188647746244,1.16280050083472
2020-04-30,1.10369555720828,1.03741662599642,1.16381974947129
2020-05-01,1.10743948119669,1.05209662361911,1.16975260619263
2020-05-02,1.10231579725081,1.04502369668246,1.16735781990521
2020-05-03,1.09665656007048,1.03295273883509,1.15640627258274
2020-05-04,1.09259157293454,1.02955805030553,1.15492042063379
2020-05-05,1.08740434045634,1.02861111111111,1.14435416666667
2020-05-06,1.08028634765527,1.02128460912052,1.14293906080347
2020-05-07,1.07379153627049,1.01577309236948,1.12639558232932
2020-05-08,1.06809678582431,1.01099774744932,1.12230025175566
2020-05-09,1.06853350631112,1.01196868754164,1.12111925383078
2020-05-10,1.07483830580975,1.01428952991453,1.13020833333333
2020-05-11,1.07705913393864,1.0203790238837,1.13488772066459
2020-05-12,1.07986990985266,1.01973298496049,1.13486808564874
2020-05-13,1.07665163346848,1.02061855670103,1.13058419243986
2020-05-14,1.06676055793335,1.01181893393216,1.12102588346531
2020-05-15,1.05862831857456,1.00488997555012,1.10920945395273
2020-05-16,1.03150014162026,0.9803944632892,1.08611445453551
2020-05-17,1.0157431874847,0.968909141895681,1.07021873247336
2020-05-18,1.00398716666377,0.954309270172258,1.05269718948323
2020-05-19,0.98990398625081,0.937347698555957,1.03848995938628
2020-05-20,0.970103293002384,0.918926569506727,1.01862948430493
2020-05-21,0.964961158886316,0.912320304146371,1.02045562551978
2020-05-22,0.957063092211881,0.906247743953796,1.0048339549994
2020-05-23,0.972654279150088,0.915432628797887,1.02551849405548
2020-05-24,0.981755510504352,0.930066238195173,1.03569976390346
2020-05-25,0.997967980438793,0.94344508040338,1.05600981193786
2020-05-26,1.03819754536811,0.976405994954741,1.09793737943315
2020-05-27,1.08750828941487,1.02867767977276,1.15331514426671
2020-05-28,1.10524094737519,1.05472101592315,1.16348861692328
2020-05-29,1.13355319825158,1.07742158671587,1.19651752767528
2020-05-30,1.16413233255076,1.1059661620659,1.22355298308103
2020-05-31,1.16024089333002,1.10409374651655,1.21257384906922
2020-06-01,1.17454394597416,1.11954199753943,1.22449110837714
2020-06-02,1.15967879630974,1.10778549305625,1.21342541712459
2020-06-03,1.1442803735961,1.08944304898077,1.19901458796252
2020-06-04,1.14819678369772,1.09560417898679,1.2018701951508
2020-06-05,1.14614906870461,1.09527995098501,1.19492883400886
2020-06-06,1.13090143778015,1.08573943661972,1.1787306115172
2020-06-07,1.14129041310836,1.09041608228144,1.19124357176251
2020-06-08,1.15834704034629,1.10735567970205,1.20969972067039
2020-06-09,1.18137424401229,1.12911508482348,1.22862677670793
2020-06-10,1.19047645504205,1.14043634190078,1.23731320980275
2020-06-11,1.20761959638576,1.15830949777067,1.25666694708505
2020-06-12,1.22671132014012,1.17775811569441,1.27743877634041
2020-06-13,1.25032409609019,1.20347003154574,1.29842271293375
2020-06-14,1.28089616944898,1.23355157669695,1.32763228220203
2020-06-15,1.31892655801319,1.27205206738132,1.36550535987749
2020-06-16,1.321425961693,1.27514882817396,1.36684891590425
2020-06-17,1.33810953642143,1.29670263427573,1.38110645608536
2020-06-18,1.34356259624258,1.30740193664861,1.38629985228951
2020-06-19,1.35086256026321,1.31115425748625,1.38817350784274
2020-06-20,1.34663210422143,1.30724637681159,1.38454911433172
2020-06-21,1.33631543214759,1.29876252209782,1.37094873305834
2020-06-22,1.32148749103974,1.28900965715172,1.35717984021098
2020-06-23,1.31464163691382,1.28123437959424,1.34633196118789
2020-06-24,1.30030318881667,1.2681724568689,1.33009807893582
2020-06-25,1.27924315602985,1.24868843266145,1.31020203121593
2020-06-26,1.25435388679467,1.22446509664648,1.28357446436889
2020-06-27,1.23663100085921,1.20650586025123,1.26460856886496
2020-06-28,1.22163364161505,1.19369734894361,1.24985937289732
2020-06-29,1.21430711362434,1.18436247150381,1.2414164242853
2020-06-30,1.21015088857755,1.18439077645396,1.23617162257674
2020-07-01,1.19856631287352,1.17205690420256,1.22440616027147
2020-07-02,1.18601724186016,1.16073138901498,1.2096726055379
2020-07-03,1.17263337178043,1.14770846039906,1.19665417792106
2020-07-04,1.1495518726693,1.12565721543037,1.17408722947299
2020-07-05,1.15369460664416,1.13134889070427,1.17665265715023
2020-07-06,1.16147276404788,1.13683565734957,1.1851578438177
2020-07-07,1.15839809904209,1.1350790513834,1.18073814229249
2020-07-08,1.15448496095369,1.1321886368398,1.17700940898615
2020-07-09,1.15038334778671,1.12936315983079,1.17212019496046
2020-07-10,1.14408996948177,1.12324142806645,1.16618107104984
2020-07-11,1.13764076601704,1.11647873192356,1.15956086744444
2020-07-12,1.1118953612271,1.09187919208126,1.13229514410076
2020-07-13,1.09397048697657,1.07375862639047,1.11430330237079
2020-07-14,1.07859444630632,1.05817041089977,1.09747853698964
2020-07-15,1.07182349879651,1.0513166181815,1.09199132242501
2020-07-16,1.06954418623201,1.05035101162748,1.08777881119711
2020-07-17,1.04435527959428,1.02624063514627,1.0620049476204
2020-07-18,1.02321073187839,1.0059319825243,1.04210724367985
2020-07-19,1.00895972584942,0.991029960397868,1.02716200302938
2020-07-20,0.985737210412416,0.96786454895719,1.00400104361724
2020-07-21,0.968146475139504,0.950441309125569,0.986878603590262
2020-07-22,0.945272355520364,0.927160007560308,0.963642736446807
