"Date","Cases_Raw","Hospitalizations_Daily","CI_Lower","CI_Upper"
2020-07-10,NA,1925.59513434148,1727.42752089796,2123.76274778501
2020-07-11,NA,1605.84392589384,1255.46685118366,1956.22100060402
2020-07-12,NA,1385.01453399349,879.523967367147,1890.50510061983
2020-07-13,NA,1229.28680160411,575.648621769569,1882.92498143866
2020-07-14,NA,1120.26314909806,326.595930213911,1913.9303679822
2020-07-15,NA,1043.74432355002,118.7342318005,1968.75441529953
2020-07-16,NA,990.086051872817,0,2038.10524933404
2020-07-17,NA,952.447182932319,0,2115.76157085417
2020-07-18,NA,926.047978677592,0,2197.67495069753
2020-07-19,NA,907.531392176484,0,2281.21816485485
