County,Date,cases_daily,deaths_daily
Potter,2020-10-09,85,
Potter,2020-10-10,83,
Potter,2020-10-11,59,
Potter,2020-10-12,47,
Potter,2020-10-13,97,
Potter,2020-10-14,123,
Potter,2020-10-15,141,
Potter,2020-10-16,118,
Potter,2020-10-17,99,
Potter,2020-10-18,62,
Potter,2020-10-19,49,
Potter,2020-10-20,169,
Potter,2020-10-21,188,
Potter,2020-10-22,161,
Potter,2020-10-23,171,
Potter,2020-10-24,122,
Potter,2020-10-25,52,
Potter,2020-10-26,37,
Potter,2020-10-27,127,
Potter,2020-10-28,105,
Potter,2020-10-29,86,
Potter,2020-10-30,153,
Potter,2020-10-31,128,
Potter,2020-11-01,83,
Potter,2020-11-02,62,131
Potter,2020-11-03,285,
Potter,2020-11-04,173,
Potter,2020-11-05,216,
Potter,2020-11-06,256,
Potter,2020-11-07,179,
Potter,2020-11-08,84,
Potter,2020-11-09,78,
Potter,2020-11-10,241,
Potter,2020-11-11,191,
Potter,2020-11-12,154,
Potter,2020-11-13,187,
Potter,2020-11-14,156,
Potter,2020-11-15,78,
Potter,2020-11-16,100,
Potter,2020-11-17,273,
Potter,2020-11-18,236,
Potter,2020-11-19,209,
Potter,2020-11-20,160,
Potter,2020-11-21,141,
Potter,2020-11-22,75,
Potter,2020-11-23,60,
Potter,2020-11-24,199,
Potter,2020-11-25,176,
Potter,2020-11-26,132,
Potter,2020-11-27,28,
Potter,2020-11-28,96,
Potter,2020-11-29,69,
Potter,2020-11-30,65,
Potter,2020-12-01,221,
Potter,2020-12-02,142,74
Potter,2020-12-03,115,
Potter,2020-12-04,88,
Potter,2020-12-05,80,
Potter,2020-12-06,48,
Potter,2020-12-07,27,
Potter,2020-12-08,128,
Potter,2020-12-09,74,
Potter,2020-12-10,82,
Potter,2020-12-11,82,
Potter,2020-12-12,76,
Potter,2020-12-13,33,
Potter,2020-12-14,25,
Potter,2020-12-15,73,
Potter,2020-12-16,48,
Potter,2020-12-17,52,
Potter,2020-12-18,41,
Potter,2020-12-19,66,
Potter,2020-12-20,28,
Potter,2020-12-21,29,
Potter,2020-12-22,74,
Potter,2020-12-23,56,
Potter,2020-12-24,43,
Potter,2020-12-25,36,
Potter,2020-12-26,10,
Potter,2020-12-27,39,
Potter,2020-12-28,27,
Potter,2020-12-29,88,
Potter,2020-12-30,64,
Potter,2020-12-31,65,
Potter,2021-01-01,56,
Potter,2021-01-02,29,70
Potter,2021-01-03,50,
Potter,2021-01-04,26,
Potter,2021-01-05,109,
Potter,2021-01-06,63,
Potter,2021-01-07,54,
Potter,2021-01-08,48,
Potter,2021-01-09,55,
Potter,2021-01-10,28,
Potter,2021-01-11,16,
Potter,2021-01-12,67,
Potter,2021-01-13,43,
Potter,2021-01-14,44,
Potter,2021-01-15,51,
Potter,2021-01-16,40,
Potter,2021-01-17,31,
Potter,2021-01-18,14,
Potter,2021-01-19,42,
Potter,2021-01-20,42,
