OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
704,18360,Elgin ISD,Elgin,11902,011-902,011902,4818360,7,426596332.556519,131402.977945609
705,38080,Round Rock ISD,Round Rock,246909,246-909,246909,4838080,6,253236795.977417,91501.0787671057
706,24100,Hutto ISD,Hutto,246906,246-906,246906,4824100,2,175686119.362183,68725.4146175858
707,26470,Lake Travis ISD,Lake Travis,227913,227-913,227913,4826470,7,301831934.735229,138099.170156457
708,17760,Eanes ISD,Eanes,227909,227-909,227909,4817760,3,88449225.4741821,64245.3268782845
709,08940,Austin ISD,Austin,227901,227-901,227901,4808940,1,592586396.574524,243462.502821989
710,00008,Dripping Springs ISD,Dripping Springs,105904,105-904,105904,4800008,4,511672993.141907,157647.585123475
711,29010,Marble Falls ISD,Marble Falls,27904,027-904,027904,4829010,4,761748597.475342,153660.108682955
712,27030,Leander ISD,Leander,246913,246-913,246913,4827030,2,515860875.499573,153901.806352877
713,26400,Lago Vista ISD,Lago Vista,227912,227-912,227912,4826400,1,89196881.1734619,53283.6835518377
714,24840,Johnson City ISD,Johnson City,16901,016-901,016901,4824840,3,1386156173.48236,213251.884571877
715,45150,West Rusk County Cons ISD,West Rusk County Cons,201914,201-914,201914,4845150,6,254170242.478271,102095.456462577
716,12870,Carlisle ISD,Carlisle,201913,201-913,201913,4812870,3,198633716.910522,88055.9058854943
717,08730,Arp ISD,Arp,212901,212-901,212901,4808730,7,217122907.660278,98774.4311299989
718,32610,New Summerfield ISD,New Summerfield,37908,037-908,037908,4832610,4,152078022.001587,80675.2881794391
719,12060,Bullard ISD,Bullard,212902,212-902,212902,4812060,4,220461672.205933,88459.5081917319
720,45600,Whitehouse ISD,Whitehouse,212906,212-906,212906,4845600,5,199310952.380737,84724.6129977404
721,43470,Tyler ISD,Tyler,212905,212-905,212905,4843470,6,533574615.697266,164762.871918353
722,11640,Brownsboro ISD,Brownsboro,107902,107-902,107902,4811640,5,497135548.060913,166339.602539455
723,19770,Frankston ISD,Frankston,1904,001-904,001904,4819770,3,233526867.129639,123115.681587731
724,43230,Troup ISD,Troup,212904,212-904,212904,4843230,1,285203992.461182,109661.271090875
725,24590,Jacksonville ISD,Jacksonville,37904,037-904,037904,4824590,7,673391772.265869,167832.71465708
726,23880,Hull-Daisetta ISD,Hull-Daisetta,146905,146-905,146905,4823880,5,216022848.514648,85210.6871011373
727,27450,Liberty ISD,Liberty,146906,146-906,146906,4827450,1,343411125.221436,106704.660085159
728,22380,Hardin ISD,Hardin,146904,146-904,146904,4822380,4,547905686.667725,156889.082497021
729,16920,Devers ISD,Devers,146903,146-903,146903,4816920,6,397885349.483887,97129.2856400196
730,45000,West Hardin County Cons ISD,West Hardin County Cons,100908,100-908,100908,4845000,2,630946900.988403,151398.939380735
731,22410,Hardin-Jefferson ISD,Hardin-Jefferson,100905,100-905,100905,4822410,7,779056456.06543,165869.561703121
732,13960,China Spring ISD,China Spring,161920,161-920,161920,4813960,5,185303294.52356,89791.1838112596
733,43760,Valley Mills ISD,Valley Mills,18904,018-904,018904,4843760,2,451943983.61084,156231.306325562
734,37200,Rio Vista ISD,Rio Vista,126907,126-907,126907,4837200,2,201102225.15686,122437.245044556
735,24450,Italy ISD,Italy,70907,070-907,070907,4824450,5,154907308.5271,68407.5027895715
736,09030,Avalon ISD,Avalon,70901,070-901,070901,4809030,1,119942521.562866,64873.8627341848
737,10470,Blooming Grove ISD,Blooming Grove,175902,175-902,175902,4810470,3,427932228.90625,121828.656668474
738,20040,Frost ISD,Frost,175905,175-905,175905,4820040,6,224316436.621704,100426.797609191
739,24480,Itasca ISD,Itasca,109907,109-907,109907,4824480,5,347860021.401489,108464.784862125
740,30780,Milford ISD,Milford,70909,070-909,070909,4830780,7,156145655.451782,85662.4122812815
741,29580,Maypearl ISD,Maypearl,70915,070-915,070915,4829580,2,203980868.249146,71920.0626910064
742,15480,Covington ISD,Covington,109903,109-903,109903,4815480,1,111419958.017578,76484.8376366982
743,45720,Whitney ISD,Whitney,109911,109-911,109911,4845720,2,306482180.057861,116566.002978058
744,10650,Blum ISD,Blum,109913,109-913,109913,4810650,6,263640351.557861,111967.579476232
745,31380,Morgan ISD,Morgan,18903,018-903,018903,4831380,5,160838997.601196,109880.180479997
746,30300,Meridian ISD,Meridian,18902,018-902,018902,4830300,4,372877015.432251,172607.557029694
747,14400,Clifton ISD,Clifton,18901,018-901,018901,4814400,1,566046359.338623,249124.059863337
748,25890,Kopperl ISD,Kopperl,18907,018-907,018907,4825890,7,297105286.716187,143309.465946345
749,16380,Dawson ISD (Navarro),Dawson (Navarro),175904,175-904,175904,4816380,4,435226242.419189,139578.401075586
750,28800,Malone ISD,Malone,109908,109-908,109908,4828800,1,118524594.297852,72300.7082694892
751,15120,Coolidge ISD,Coolidge,147901,147-901,147901,4815120,2,365801288.961792,117435.430724161
752,23730,Hubbard ISD (Hill),Hubbard (Hill),109905,109-905,109905,4823730,6,164390743.241089,70636.8341388728
753,12360,Bynum ISD,Bynum,109902,109-902,109902,4812360,3,209964737.835938,132360.007530006
754,23280,Hillsboro ISD,Hillsboro,109904,109-904,109904,4823280,4,336174130.421265,160494.586260092
755,00003,Rocksprings ISD,Rocksprings,69901,069-901,069901,4800003,2,4194399560.48969,368146.056136182
756,27000,Leakey ISD,Leakey,193902,193-902,193902,4827000,5,1095132346.67163,178240.143883768
757,17400,Doss Cons CSD,Doss Cons CSD,86024,086-024,086024,4817400,5,341888348.042969,121126.439026493
758,25020,Junction ISD,Junction,134901,134-901,134901,4825020,6,2843534432.07343,268667.504981663
759,17190,Divide ISD,Divide,133905,133-905,133905,4817190,3,723976374.647644,163317.593902246
760,25590,Kerrville ISD,Kerrville,133903,133-903,133903,4825590,3,428280268.517517,133876.490528945
761,22590,Harper ISD,Harper,86902,086-902,086902,4822590,7,998786674.720703,249464.481109739
762,19840,Fredericksburg ISD,Fredericksburg,86901,086-901,086901,4819840,2,1960160137.98132,247516.972323976
763,24210,Ingram ISD,Ingram,133904,133-904,133904,4824210,4,538630696.380005,166166.872531001
764,23970,Hunt ISD,Hunt,133902,133-902,133902,4823970,1,450061442.031372,131407.246920642
765,14790,Comfort ISD,Comfort,130902,130-902,130902,4814790,1,982301141.285645,203750.975385391
766,13350,Center Point ISD,Center Point,133901,133-901,133901,4813350,7,247437273.944092,84866.8057137629
767,33660,Olton ISD,Olton,140905,140-905,140905,4833660,1,898973992.980652,180904.727212494
768,22050,Hale Center ISD,Hale Center,95903,095-903,095903,4822050,2,405264441.611023,123508.890715797
769,15360,Cotton Center ISD,Cotton Center,95902,095-902,095902,4815360,5,340899918.042542,113173.190990526
770,08460,Anton ISD,Anton,110901,110-901,110901,4808460,3,213198178.400208,58774.7540697259
771,37830,Ropes ISD,Ropes,110905,110-905,110905,4837830,3,407986149.437073,97525.9070230129
772,40590,Smyer ISD,Smyer,110906,110-906,110906,4840590,4,272427714.771729,78455.7136412903
773,07410,Abernathy ISD,Abernathy,95901,095-901,095901,4807410,7,468618008.334167,127989.253080616
774,34680,Petersburg ISD,Petersburg,95904,095-904,095904,4834680,3,393620236.977173,102990.335008548
775,32490,New Home ISD,New Home,153905,153-905,153905,4832490,4,349533600.558411,84344.9326585272
776,39870,Shallowater ISD,Shallowater,152909,152-909,152909,4839870,1,194774395.159607,61866.8163305006
777,32430,New Deal ISD,New Deal,152902,152-902,152902,4832430,3,310929954.808289,101517.153241997
778,19830,Frenship ISD,Frenship,152907,152-907,152907,4819830,2,315504649.986145,90960.2877824606
779,28500,Lubbock ISD,Lubbock,152901,152-901,152901,4828500,6,225674008.347656,61964.8199658011
780,24120,Idalou ISD,Idalou,152910,152-910,152910,4824120,5,316991494.485168,98064.4091489142
781,40440,Slaton ISD,Slaton,152903,152-903,152903,4840440,1,228542914.859314,74118.4051622236
782,45990,Wilson ISD,Wilson,153907,153-907,153907,4845990,7,357815529.487183,89391.6094178195
783,40890,Southland ISD,Southland,85903,085-903,085903,4840890,4,305493647.899475,103814.422023837
784,37800,Roosevelt ISD,Roosevelt,152908,152-908,152908,4837800,7,281263907.39801,80990.5559006495
785,28230,Lorenzo ISD,Lorenzo,54902,054-902,054902,4828230,6,507702528.768616,180758.227205909
786,15180,Lubbock-Cooper ISD,Lubbock-Cooper,152906,152-906,152906,4815180,3,303042478.037292,83335.1764084742
787,11580,Brooks County ISD,Brooks County,24901,024-901,024901,4811580,3,2446281058.88098,215227.80806781
788,38910,San Isidro ISD,San Isidro,214902,214-902,214902,4838910,5,604177234.621582,112678.563785365
789,25410,Kenedy County-Wide CSD,Kenedy County-Wide CSD,131001,131-001,131001,4825410,1,5027551267.44873,298233.333807308
790,26130,La Joya ISD,La Joya,108912,108-912,108912,4826130,3,543501524.502869,119244.247809922
791,37140,Rio Grande City Cons ISD,Rio Grande City Cons,214901,214-901,214901,4837140,1,1252170343.93326,188325.465104088
792,31040,Mission Cons ISD,Mission Cons,108908,108-908,108908,4831040,7,108747414.710022,66212.7268657739
793,29670,McAllen ISD,McAllen,108906,108-906,108906,4829670,4,91917143.6828613,52127.1697622836
794,43800,Valley View ISD (Hidalgo),Valley View (Hidalgo),108916,108-916,108916,4843800,7,26385524.1530151,26147.2128592664
795,39930,Sharyland ISD,Sharyland,108911,108-911,108911,4839930,1,68375667.1975708,48651.8912583815
796,34860,Pharr-San Juan-Alamo ISD,Pharr-San Juan-Alamo,108909,108-909,108909,4834860,3,143301464.946228,56913.4920845685
797,23100,Hidalgo ISD,Hidalgo,108905,108-905,108905,4823100,5,88384950.2510986,81157.8825619911
798,18180,Edinburg Cons ISD,Edinburg Cons,108904,108-904,108904,4818180,2,2158636426.49719,214831.836195607
799,18060,Edcouch-Elsa ISD,Edcouch-Elsa,108903,108-903,108903,4818060,6,72461390.200592,44894.1026681662
800,35910,Progreso ISD,Progreso,108910,108-910,108910,4835910,2,58955600.9439697,41351.6361712849
801,44960,Weslaco ISD,Weslaco,108913,108-913,108913,4844960,7,141003049.884369,55429.5401060845
802,17390,Donna ISD,Donna,108902,108-902,108902,4817390,6,227876546.342194,81026.9855203128
803,24180,Ingleside ISD,Ingleside,205903,205-903,205903,4824180,6,60682136.5811768,45463.3651098064
804,08580,Aransas Pass ISD,Aransas Pass,205901,205-901,205901,4808580,1,144210174.376343,77398.3966133517
805,08550,Aransas County ISD,Aransas County,4901,004-901,004901,4808550,2,1296661203.84857,223923.838481247
806,42060,Taft ISD,Taft,205907,205-907,205907,4842060,3,250398062.962952,96006.3408599339
807,40350,Sinton ISD,Sinton,205906,205-906,205906,4840350,6,577495668.6828,194931.818058948
808,33360,Odem-Edroy ISD,Odem-Edroy,205905,205-905,205905,4833360,4,296750182.563538,120754.619107574
809,21780,Gregory-Portland ISD,Gregory-Portland,205902,205-902,205902,4821780,7,262709408.429932,95649.8680419017
810,43350,Tuloso-Midway ISD,Tuloso-Midway,178912,178-912,178912,4843350,2,129024420.815674,75624.9201294611
811,15270,Corpus Christi ISD,Corpus Christi,178904,178-904,178904,4815270,5,434035058.373047,143638.636654446
812,45780,Wichita Falls ISD,Wichita Falls,243905,243-905,243905,4845780,3,212011990.22522,83393.493003272
813,22980,Henrietta ISD,Henrietta,39902,039-902,039902,4822980,2,1117268214.91956,224199.726011891
814,34710,Petrolia Cons ISD,Petrolia Cons,39903,039-903,039903,4834710,1,563395712.415894,156590.759500833
815,14130,City View ISD,City View,243906,243-906,243906,4814130,7,36836057.0180664,31888.6330657433
816,12120,Burkburnett ISD,Burkburnett,243901,243-901,243901,4812120,6,457011951.351563,137447.628040742
817,24260,Iowa Park Cons ISD,Iowa Park Cons,243903,243-903,243903,4824260,2,457637380.562134,158558.160288275
818,23400,Holliday ISD,Holliday,5902,005-902,005902,4823400,6,626040964.167358,159426.200450485
819,08610,Archer City ISD,Archer City,5901,005-901,005901,4808610,4,1117764013.16357,222138.122457515
820,45040,West ISD,West,161916,161-916,161916,4845040,6,326576852.164795,101518.515646438
821,31620,Mount Calm ISD,Mount Calm,109910,109-910,109910,4831620,7,128839333.342285,66307.6586935687
822,09150,Axtell ISD,Axtell,161918,161-918,161918,4809150,1,219797850.458008,103521.180941561
823,26280,La Vega ISD,La Vega,161906,161-906,161906,4826280,4,86528429.8852539,65453.9328547802
824,14970,Connally ISD,Connally,161921,161-921,161921,4814970,1,84606223.8653564,54750.1606906587
825,34560,Penelope ISD,Penelope,109914,109-914,109914,4834560,5,125080336.592285,65274.8758294402
826,08520,Aquilla ISD,Aquilla,109912,109-912,109912,4808520,3,177696931.13501,95907.1911162969
827,07380,Abbott ISD,Abbott,109901,109-901,109901,4807380,1,193668700.31604,92347.7451869957
828,20610,Gholson ISD,Gholson,161925,161-925,161925,4820610,4,51992951.7155762,41320.5097982052
829,31760,Mount Pleasant ISD,Mount Pleasant,225902,225-902,225902,4831760,4,695307477.951904,269683.666139577
830,16180,Daingerfield-Lone Star ISD,Daingerfield-Lone Star,172902,172-902,172902,4816180,5,338470095.303101,121104.541914753
831,13680,Chapel Hill ISD (Titus),Chapel Hill (Titus),225906,225-906,225906,4813680,6,137763609.753174,83037.8488844752
832,34800,Pewitt Cons ISD,Pewitt Cons,172905,172-905,172905,4834800,3,582384320.417236,220683.894464103
833,09060,Avery ISD,Avery,194902,194-902,194902,4809060,7,433479786.444092,171616.474645961
834,35010,Pittsburg ISD,Pittsburg,32902,032-902,032902,4835010,7,577662899.541016,177002.330676436
835,22710,Harts Bluff ISD,Harts Bluff,225907,225-907,225907,4822710,5,76276379.4870605,61193.3051530455
836,31770,Mount Vernon ISD,Mount Vernon,80901,080-901,080901,4831770,3,650269065.469482,166977.179244094
837,42120,Rivercrest ISD,Rivercrest,194903,194-903,194903,4842120,5,609079372.680298,176429.422539592
838,14190,Clarksville ISD,Clarksville,194904,194-904,194904,4814190,2,1225687407.13989,227551.04530964
839,24420,Irving ISD,Irving,57912,057-912,057912,4824420,3,131890047.423462,79479.2640314772
840,16230,Dallas ISD,Dallas,57905,057-905,057905,4816230,7,987399920.032593,268210.882434624
841,42870,Tioga ISD,Tioga,91907,091-907,091907,4842870,6,89198489.9383545,54523.3251701625
842,12510,Callisburg ISD,Callisburg,49905,049-905,049905,4812510,5,354507702.379883,144034.003116999
843,21960,Gunter ISD,Gunter,91917,091-917,091917,4821960,4,171234247.449341,69889.234787096
844,13290,Celina ISD,Celina,43903,043-903,043903,4813290,7,248028802.851685,98802.1559055897
845,07890,Allen ISD,Allen,43901,043-901,043901,4807890,3,75462739.8195801,50264.8008992455
