OBJECTID,SDLEA10,NAME,NAME2,DISTRICT_N,DISTRICT,DISTRICT_C,NCES_DISTR,COLOR,Shape__Area,Shape__Length
900,46590,Yantis ISD,Yantis,250905,250-905,250905,4846590,3,192594972.540649,83770.6371733393
901,07650,Alba-Golden ISD,Alba-Golden,250906,250-906,250906,4807650,6,245465946.403687,116724.446821688
902,21450,Grand Saline ISD,Grand Saline,234904,234-904,234904,4821450,3,272698448.8125,122035.534035477
903,20070,Fruitvale ISD,Fruitvale,234909,234-909,234909,4820070,6,75709245.0310059,53878.859728289
904,18120,Edgewood ISD (Van Zandt),Edgewood (Van Zandt),234903,234-903,234903,4818120,5,194350367.067261,94603.1675402828
905,46530,Wylie ISD (Collin),Wylie (Collin),43914,043-914,043914,4846530,5,105120208.723022,58050.9553958843
906,35850,Princeton ISD,Princeton,43911,043-911,043911,4835850,2,159268844.865601,94572.091112084
907,08430,Anthony ISD,Anthony,71906,071-906,071906,4808430,2,18743211.1399841,22463.3776391528
908,18300,El Paso ISD,El Paso,71902,071-902,071902,4818300,6,551728246.06665,149804.400546773
909,12780,Canutillo ISD,Canutillo,71907,071-907,071907,4812780,4,177924722.940735,66393.1161219952
910,46680,Ysleta ISD,Ysleta,71905,071-905,071905,4846680,3,161531617.201813,94385.5183270831
911,40710,Socorro ISD,Socorro,71909,071-909,071909,4840710,2,339998894.419495,107834.486686678
912,38430,Sabinal ISD,Sabinal,232902,232-902,232902,4838430,6,943037772.94397,207444.210919233
913,43720,Uvalde Cons ISD,Uvalde Cons,232903,232-903,232903,4843720,1,2995179834.39886,379241.307216737
914,43680,Utopia ISD,Utopia,232904,232-904,232904,4843680,4,916699107.106201,201772.691081567
915,30030,Medina ISD,Medina,10901,010-901,010901,4830030,2,791017634.917725,179349.571568166
916,21390,Granbury ISD,Granbury,111901,111-901,111901,4821390,1,649001901.140991,175405.680389349
917,11010,Boyd ISD,Boyd,249902,249-902,249902,4811010,3,175523474.84021,90730.7914385836
918,41280,Springtown ISD,Springtown,184902,184-902,184902,4841280,4,264038031.140869,106476.604510036
919,44800,Weatherford ISD,Weatherford,184903,184-903,184903,4844800,6,649977719.386597,185800.655901701
920,25260,Keller ISD,Keller,220907,220-907,220907,4825260,7,130978842.278931,75172.2230882962
921,33180,Northwest ISD,Northwest,61911,061-911,061911,4833180,1,605472814.066895,178540.180289955
922,40740,Somerset ISD,Somerset,15909,015-909,015909,4840740,6,219185221.104858,93529.1652725827
923,16140,D'Hanis ISD,D'Hanis,163902,163-902,163902,4816140,3,991479654.492981,173815.56532139
924,13710,Charlotte ISD,Charlotte,7901,007-901,007901,4813710,1,632853920.563965,149917.341372552
925,34470,Pearsall ISD,Pearsall,82903,082-903,082903,4834470,7,1926566626.94659,301016.169402839
926,23430,Hondo ISD,Hondo,163904,163-904,163904,4823430,1,1376008763.24036,269866.422329787
927,33120,Northside ISD (Bexar),Northside (Bexar),15915,015-915,015915,4833120,1,819792165.310852,192494.023318961
928,40950,Southwest ISD,Southwest,15912,015-912,015912,4840950,5,281302354.211121,132324.556446081
929,09360,Bandera ISD,Bandera,10902,010-902,010902,4809360,4,816245159.973572,158266.606637393
930,10710,Boerne ISD,Boerne,130901,130-901,130901,4810710,6,793763393.579468,253807.205904435
931,32940,North East ISD,North East,15910,015-910,015910,4832940,2,342770040.077759,113966.846833375
932,18150,Edgewood ISD (Bexar),Edgewood (Bexar),15905,015-905,015905,4818150,2,43286277.7529907,29658.5422488544
933,38730,San Antonio ISD,San Antonio,15907,015-907,015907,4838730,5,193696680.17395,97006.6789519379
934,26370,Lackland ISD,Lackland,15913,015-913,015913,4826370,4,26746927.5112305,33227.9771559486
935,32130,Natalia ISD,Natalia,163903,163-903,163903,4832130,1,106953210.650452,61029.5674002165
936,35520,Poteet ISD,Poteet,7906,007-906,007906,4835520,3,444563132.653564,120959.816330474
937,28650,Lytle ISD,Lytle,7904,007-904,007904,4828650,2,112771979.841553,57018.2584585314
938,16950,Devine ISD,Devine,163901,163-901,163901,4816950,5,510910734.827576,164294.337509871
939,30060,Medina Valley ISD,Medina Valley,163908,163-908,163908,4830060,6,753916617.982849,186498.868718039
940,45540,White Settlement ISD,White Settlement,220920,220-920,220920,4845540,5,61018156.9742432,45195.740090265
941,26490,Lake Worth ISD,Lake Worth,220910,220-910,220910,4826490,7,22362429.8435059,37357.1277249439
942,24060,Hurst-Euless-Bedford ISD,Hurst-Euless-Bedford,220916,220-916,220916,4824060,7,121747107.794067,67626.8291890763
943,17700,Eagle Mountain-Saginaw ISD,Eagle Mountain-Saginaw,220918,220-918,220918,4817700,5,191402761.833862,88390.5970615429
944,13170,Castleberry ISD,Castleberry,220917,220-917,220917,4813170,6,14048237.3225098,20667.7661952722
945,10230,Birdville ISD,Birdville,220902,220-902,220902,4810230,3,103954008.488647,55754.5700672263
946,09200,Azle ISD,Azle,220915,220-915,220915,4809200,2,238117492.374023,114911.824498765
947,07780,Aledo ISD,Aledo,184907,184-907,184907,4807780,3,340312228.416504,116140.882904256
948,15910,Crowley ISD,Crowley,220912,220-912,220912,4815910,2,149546931.682495,77901.1240775889
949,19700,Fort Worth ISD,Fort Worth,220905,220-905,220905,4819700,4,541980346.452026,252583.662292722
950,20960,Godley ISD,Godley,126911,126-911,126911,4820960,6,321182990.827881,140023.345361306
951,14310,Cleburne ISD,Cleburne,126903,126-903,126903,4814310,5,505288437.594849,193583.992791976
952,25230,Keene ISD,Keene,126906,126-906,126906,4825230,6,12948716.3052979,21429.4581499912
953,24930,Joshua ISD,Joshua,126905,126-905,126905,4824930,1,196475531.501953,98783.9070042603
954,21540,Grandview ISD,Grandview,126904,126-904,126904,4821540,4,202462791.241089,101849.880107465
955,28920,Mansfield ISD,Mansfield,220908,220-908,220908,4828920,6,242831554.606445,105004.738403224
956,30600,Midlothian ISD,Midlothian,70908,070-908,070908,4830600,4,291479290.412476,83339.8365518978
957,25500,Kennedale ISD,Kennedale,220914,220-914,220914,4825500,4,27410190.1655273,28182.3677602682
958,18810,Everman ISD,Everman,220904,220-904,220904,4818810,5,46405563.1602783,50140.3185133817
959,08700,Arlington ISD,Arlington,220901,220-901,220901,4808700,3,228283979.303223,97924.7718196118
960,21420,Grand Prairie ISD,Grand Prairie,57910,057-910,057910,4821420,2,137968589.008057,74791.5097079291
961,13230,Cedar Hill ISD,Cedar Hill,57904,057-904,057904,4813230,1,108756378.509766,46627.0804354177
962,44010,Venus ISD,Venus,126908,126-908,126908,4844010,1,91988176.0004883,61565.8879582489
963,12180,Burleson ISD,Burleson,126902,126-902,126902,4812180,7,130276395.928711,81908.1731519273
964,00011,Alvarado ISD,Alvarado,126901,126-901,126901,4800011,2,253281900.693237,111073.282026711
965,16020,Cumby ISD,Cumby,112905,112-905,112905,4816020,1,177279801.291504,103425.504908622
966,41820,Sulphur Springs ISD,Sulphur Springs,112901,112-901,112901,4841820,6,665783294.848389,268080.398972586
967,32970,North Hopkins ISD,North Hopkins,112906,112-906,112906,4832970,2,266385489.548828,176934.924942918
968,12660,Campbell ISD,Campbell,116910,116-910,116910,4812660,3,119909150.69751,77841.4130478408
969,15150,Cooper ISD,Cooper,60902,060-902,060902,4815150,7,605864586.366455,264580.70441598
970,30810,Miller Grove ISD,Miller Grove,112907,112-907,112907,4830810,2,173458843.336426,75321.2041107134
971,10740,Boles ISD,Boles,116916,116-916,116916,4810740,3,21848730.5397949,25929.6725023527
972,28020,Lone Oak ISD,Lone Oak,116906,116-906,116906,4828020,7,236244980.169312,97548.3750987357
973,36360,Rains ISD,Rains,190903,190-903,190903,4836360,1,610230774.381592,144252.523288508
974,42450,Terrell ISD,Terrell,129906,129-906,129906,4842450,7,450788773.454956,145159.752470445
975,25200,Kaufman ISD,Kaufman,129903,129-903,129903,4825200,5,428477197.105713,134758.110502416
976,36240,Quinlan ISD,Quinlan,116908,116-908,116908,4836240,2,381748308.640015,173825.396841542
977,45950,Wills Point ISD,Wills Point,234907,234-907,234907,4845950,3,580644457.449463,146054.076622043
978,19560,Forney ISD,Forney,129902,129-902,129902,4819560,1,210424543.700562,73974.0814787446
979,38220,Royse City ISD,Royse City,199902,199-902,199902,4838220,4,195977548.119873,100631.854647092
980,37650,Rockwall ISD,Rockwall,199901,199-901,199901,4837650,6,278478765.812378,79555.3073092885
981,43140,Trenton ISD,Trenton,74912,074-912,074912,4843140,3,120927305.435547,69514.7187059198
982,19050,Fannindel ISD,Fannindel,60914,060-914,060914,4819050,5,259928295.678345,121293.017010972
983,14820,Commerce ISD,Commerce,116903,116-903,116903,4814820,2,295082151.029175,131074.611715573
984,10800,Bonham ISD,Bonham,74903,074-903,074903,4810800,1,591515906.724121,233076.869235598
985,12390,Caddo Mills ISD,Caddo Mills,116901,116-901,116901,4812390,7,177525457.791016,76286.8601441647
986,19080,Farmersville ISD,Farmersville,43904,043-904,043904,4819080,6,227256124.769287,96277.6254232034
987,14850,Community ISD,Community,43918,043-918,043918,4814850,3,187763478.448608,91334.7129069766
988,13260,Celeste ISD,Celeste,116902,116-902,116902,4813260,4,183637243.171753,107119.178377897
989,46350,Wolfe City ISD,Wolfe City,116909,116-909,116909,4846350,3,222446038.231323,109920.411175383
990,27210,Leonard ISD,Leonard,74909,074-909,074909,4827210,5,167956630.87915,91585.5270706461
991,21720,Greenville ISD,Greenville,116905,116-905,116905,4821720,6,349068030.614258,136821.047525081
992,10350,Bland ISD,Bland,116915,116-915,116915,4810350,2,156893278.373169,95521.1043467133
993,10590,Blue Ridge ISD,Blue Ridge,43917,043-917,043917,4810590,1,169148017.043335,91658.8164082197
994,39990,Sheldon ISD,Sheldon,101924,101-924,101924,4839990,7,137620033.818115,62725.5389159316
995,16530,Deer Park ISD,Deer Park,101908,101-908,101908,4816530,6,103238807.184814,87292.8919718367
996,13590,Channelview ISD,Channelview,101905,101-905,101905,4813590,5,52047618.9085693,37628.9801061642
997,09450,Barbers Hill ISD,Barbers Hill,36902,036-902,036902,4809450,6,500547480.095825,187267.844511311
998,16410,Dayton ISD,Dayton,146902,146-902,146902,4816410,3,675902885.516357,178401.221511258
999,17070,Dickinson ISD,Dickinson,84901,084-901,084901,4817070,7,239231813.116333,100713.191150792
1000,14280,Clear Creek ISD,Clear Creek,84910,084-910,084910,4814280,5,272201435.862183,123476.071062891
1001,15750,Crosby ISD,Crosby,101906,101-906,101906,4815750,2,209431574.30603,71390.03255988
1002,26190,La Porte ISD,La Porte,101916,101-916,101916,4826190,2,147068084.660522,60759.7504137177
1003,21150,Goose Creek Consolidated ISD,Goose Creek Cons,101911,101-911,101911,4821150,1,345831623.776123,121117.463911807
1004,08190,Anahuac ISD,Anahuac,36901,036-901,036901,4808190,4,1192239591.82556,229823.599620041
1005,31230,Monte Alto ISD,Monte Alto,108915,108-915,108915,4831230,7,120125191.404602,46710.8819483408
1006,39000,San Perlita ISD,San Perlita,245904,245-904,245904,4839000,5,708478205.489075,136391.304982142
1007,36540,Raymondville ISD,Raymondville,245903,245-903,245903,4836540,3,330217806.174866,105633.717833849
1008,26850,Lasara ISD,Lasara,245901,245-901,245901,4826850,4,171302180.210266,55139.6117699262
1009,26340,La Villa ISD,La Villa,108914,108-914,108914,4826340,5,93500701.0773926,43310.8840677428
1010,30250,Mercedes ISD,Mercedes,108907,108-907,108907,4830250,3,118818074.576996,51985.6041452804
1011,39360,Santa Rosa ISD,Santa Rosa,31914,031-914,031914,4839360,6,69083148.9043579,34782.3240950213
1012,26040,La Feria ISD,La Feria,31905,031-905,031905,4826040,1,91377124.9412842,45100.2410983297
1013,39330,Santa Maria ISD,Santa Maria,31913,031-913,031913,4839330,4,74984545.9619751,50638.6849120272
1014,37170,Rio Hondo ISD,Rio Hondo,31911,031-911,031911,4837170,1,220872145.268555,77682.5399302502
1015,28620,Lyford Cons ISD,Lyford Cons,245902,245-902,245902,4828620,2,926538048.685059,200968.986118833
1016,22530,Harlingen Cons ISD,Harlingen Cons,31903,031-903,031903,4822530,7,218658710.450195,81902.2178152358
1017,11680,Brownsville ISD,Brownsville,31901,031-901,031901,4811680,6,267406899.280426,156806.465424955
1018,38790,San Benito Cons ISD,San Benito Cons,31912,031-912,031912,4838790,5,264404794.000183,113126.136365149
1019,35250,Point Isabel ISD,Point Isabel,31909,031-909,031909,4835250,5,799982555.419586,218449.52905478
1020,28290,Los Fresnos Cons ISD,Los Fresnos Cons,31906,031-906,031906,4828290,4,1258174498.03235,223502.000989081
1021,,Abilene ISD,,,,,,,2312660999.70142,420988.595274932
1022,,Anthony ISD,,,,,,,61017297.5922852,157073.185814507
1023,,Abilene ISD,,,,,,,552815443.903198,235275.843117911
